Antecedent,Antecedent Coverage %,Confidence,Lift
-0.42 < CountClassCoupled <= 1.54,0.29479,1.0,1.04389
CountOutput_Mean <= 1.07,0.1979,1.0,1.04389
0.8 < CountInput_Mean <= 1.88,0.21709,0.99789,1.0417
1.07 < CountOutput_Mean <= 1.94,0.20293,0.99775,1.04154
CountInput_Mean <= 0.8,0.19973,0.99771,1.0415
-0.25 < CountDeclInstanceVariable <= 0.74,0.30484,0.994,1.03763
-0.36 < CountDeclMethodPrivate <= 0.11,0.52102,0.99386,1.03748
-0.011 < OWN_COMMIT <= 0.064,0.34232,0.99199,1.03553
0.76 < AvgCyclomaticModified <= 1.115,0.40174,0.9909,1.03439
-0.28 < CountDeclMethodProtected <= 0.055,0.55073,0.99004,1.0335
