Antecedent,Antecedent Coverage %,Confidence,Lift
-0.019 < OWN_COMMIT <= 0.061,0.35324,1.0,1.07453
CountOutput_Mean <= 1.27,0.20073,1.0,1.07453
1.27 < CountOutput_Mean <= 2.24,0.1989,1.0,1.07453
CountClassCoupled <= -0.74,0.09876,1.0,1.07453
-0.74 < CountClassCoupled <= 1.6,0.30087,0.99695,1.07125
CountInput_Mean <= 0.92,0.20487,0.99552,1.06971
AvgCyclomaticModified <= 0.815,0.09922,0.99537,1.06956
RatioCommentToCode > 2.37,0.20349,0.99323,1.06725
0.92 < CountInput_Mean <= 1.94,0.18971,0.99031,1.06412
0.39 < CountClassDerived <= 1.145,0.17271,0.98936,1.0631
