test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_LINE,OWN_COMMIT,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
41,0,6.0,1.0,1.0,5.0,3.0,4.0,2.0,7.0,21.0,62.0,15.4755859375,0.76,0.0,97.0,1.0,2.0,1.49560546875,1.5,4.73053892215569,0.0,0.0,0.0,0.533424283765348,0.5,1.0,0.5219601825080455,0.4780398174919544,3,7500000000000.0
43,0,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,2.494140625,77.0,0.55,0.0,70.49515455961227,2.0,3.0,18.0,6.0,6.65882352941177,0.0,1.0,0.0,0.568445475638051,0.5,2.0,0.5210211861421654,0.4789788138578346,2,19.23213252218382
48,0,6.0,3.0,1.0,1.0,0.0,4.0,3.0,6.0,8.0,22.0,11.49365234375,0.39,0.0,89.0,1.0,3.0,2.498046875,4.0,4.87272727272727,0.0,1.0,0.0,0.496396396396396,0.95458984375,3.0,0.5254538454440667,0.47454615455593335,3,287923177083.333
58,0,0.0,4.0,1.0,2.0,0.0,8.0,2.0,5.0,22.0,21.0,12.486083984375,1.43,0.0,94.0,1.0,1.0,6.4931640625,6.0,4.24038461538461,0.0,0.0,0.0,0.66008316008316,0.625,1.0,0.5092140229444886,0.49078597705551147,2,20.790385429547428
67,0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,7.0,6.0,23.0,0.1,0.0,87.0,2.0,0.0,28.0,1.0,5.13333333333333,1.0,1.0,0.0,0.464757709251101,0.2272394895553589,1.0,0.711627593216648,0.2883724067833519,1,772760510444.6411
97,0,1.0,0.0,1.0,5.0,0.0,1.0,2.0,6.0,35.0,17.4931640625,157.0,0.27,0.0,98.0,1.0,2.0,6.5,2.0,6.43523316062176,0.0,0.0,0.0,0.465542885473475,0.4,3.0,0.5063437679477514,0.49365623205224857,2,40.96965913933534
110,0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,4.0,2.0,23.0,0.78,0.0,90.0,3.0,0.0,10.49609375,1.0,3.22222222222222,0.0,1.0,0.0,0.690909090909091,1.0,1.0,0.5629784682444978,0.4370215317555021,1,5.565866130444636
111,0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,4.0,14.0,18.0,0.25,0.0,83.0,1.0,0.0,9.498046875,3.0,3.08695652173913,0.0,0.0,0.0,0.551369863013699,0.0,0.0,0.5872096861825398,0.4127903138174602,1,3.5417351696332315
127,0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,23.0,16.0,14.0,0.05,0.0,88.0,3.0,0.0,38.0,2.0,5.10810810810811,0.0,1.0,0.0,0.607072691552063,0.954535186290741,1.0,0.5306925503959599,0.4693074496040401,1,45464813709.25903
133,0,4.0,0.0,1.0,2.0,5.0,2.0,2.0,2.0,2.0,13.0,27.0,0.41,0.0,90.0,1.0,0.0,1.0,2.0,3.6969696969697,1.0,1.0,0.0,0.9415420215885248,0.666666666666667,1.0,0.5035148507343972,0.4964851492656029,1,1.2306238973796
153,0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,7.0,12.0,20.0,0.24,0.0,83.0,1.0,3.0,6.4970703125,2.0,4.40740740740741,0.0,0.0,0.0,0.383474576271186,0.75,1.0,0.5054709721527352,0.4945290278472648,1,6.914518308206221
156,0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,22.49989342689514,49.0,0.62,0.0,95.0,1.0,2.0,15.0,2.0,2.66,1.0,1.0,0.0,0.947368421052632,0.5,0.0,0.604929566395814,0.39507043360418603,1,1.0118080217886458
162,0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,1.0,6.0,11.0,21.0,0.22,0.0,87.0,2.0,0.0,9.499756813049316,2.0,3.22222222222222,0.0,1.0,0.0,0.902743142144638,0.0,0.0,0.5832434449156776,0.4167565550843224,1,1.180440842759174
165,0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,8.0,15.49951171875,0.23,0.0,82.0,2.0,0.0,14.0,1.0,2.37037037037037,0.0,1.0,0.0,0.676923076923077,0.5,0.0,0.5279990047534936,0.4720009952465064,1,2.3608274385646024
212,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,21.498658061027527,65.0,0.41,0.0,96.0,2.0,0.0,25.0,1.0,2.4,1.0,1.0,0.0,0.61100569259962,1.0,1.0,0.5811268407312463,0.4188731592687537,1,5.7340765809839045
228,0,0.0,1.0,2.0,1.0,0.0,3.0,3.0,4.0,4.5,13.0,8.49755859375,0.26,0.0,89.0,2.0,2.0,25.0,2.0,3.775,0.0,0.0,0.0,0.584239130434783,0.857142857142857,1.0,0.5169457815599956,0.4830542184400044,2,4500000000000.0
229,0,10.0,4.0,1.0,2.0,0.0,1.0,3.0,12.0,8.0,22.0,60.0,0.17,0.0,94.0,2.0,1.0,6.4912109375,2.0,4.20731707317073,0.0,0.0,0.0,0.9510563311925282,0.533333333333333,2.0,0.5118338222638422,0.4881661777361578,2,13.400114748278211
236,0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,7.0,19.0,63.0,0.06,0.0,92.0,2.0,1.0,42.0,1.0,4.08571428571429,0.0,0.0,0.0,0.8440853580013737,0.5,1.0,0.5382323113268741,0.4617676886731259,1,1.6926910710500354
243,0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,6.0,3.0,10.0,36.0,0.16,1.0,87.0,2.0,1.0,9.498415470123291,2.0,3.24390243902439,0.0,0.0,0.0,0.419354838709677,0.5,2.0,0.5114688357164479,0.4885311642835521,1,11.298254596609137
259,0,5.0,0.0,1.0,3.0,0.0,1.0,2.0,4.0,13.0,38.0,25.49169921875,0.15,0.0,95.0,1.0,1.0,2.48681640625,4.0,3.12765957446809,0.0,1.0,0.0,0.69479090242113,0.5,1.0,0.5128235890348803,0.48717641096511966,2,25.745484167302813
409,0,4.0,6.0,1.0,17.0,0.0,0.0,2.0,3.0,3.0,3.49755859375,44.0,0.09,0.0,94.0,1.0,1.0,13.0,2.0,4.6140350877193,0.0,1.0,0.0,0.755614266842801,0.5,1.0,0.5875960328553824,0.4124039671446176,1,10.456253477835926
445,0,11.0,10.0,1.0,8.0,2.0,1.0,2.0,1.0,0.0,26.0,30.0,0.18,0.0,92.0,1.0,0.0,10.0,3.0,4.6078431372549,0.0,1.0,0.0,0.9034008685155275,0.0,0.0,0.5263582961950737,0.47364170380492626,1,0.4089103190125647
523,0,2.0,0.0,1.0,2.0,1.0,1.0,3.0,10.0,29.0,37.0,39.0,0.14,0.0,93.0,1.0,2.0,1.490478515625,2.0,4.25714285714286,0.0,0.0,0.0,0.9416109132973145,0.666666666666667,1.0,0.5061730692752453,0.49382693072475464,2,13.780084099283302
739,0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,5.0,11.0,37.0,0.13,0.0,85.0,2.0,0.0,24.0,2.0,2.83720930232558,1.0,1.0,0.0,0.9203605082497666,1.0,1.0,0.5595762724059092,0.4404237275940908,1,1.5796103648225577
745,0,0.0,4.0,1.0,1.0,0.0,1.0,2.0,5.0,2.0,16.0,15.49951171875,0.16,0.0,83.0,1.0,1.0,21.0,2.0,4.59375,0.0,0.0,0.0,0.647584973166369,1.0,1.0,0.5000310025404092,0.4999689974595908,1,2.3608274385646024
746,0,5.0,1.0,1.0,5.0,0.0,1.0,2.0,4.0,10.0,44.0,13.491943359375,0.15,0.0,96.0,1.0,0.0,5.4921875,4.0,2.95744680851064,0.0,1.0,0.0,0.659197012138189,0.666666666666667,2.0,0.5325006646118062,0.46749933538819377,2,18.808095585286274
776,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,22.49951171875,84.0,0.21,0.0,97.0,1.0,0.0,0.0,1.0,2.51190476190476,1.0,1.0,0.0,0.816037735849057,1.0,0.0,0.5369165087748562,0.46308349122514386,1,11.803917632023605
