,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_LINE,OWN_COMMIT,MAJOR_LINE
67,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,
1367,,,,,,,,,,,,,,,,,,,,,,,,,
156,0,0,1,2,0,2,1,1,1,0,49,0.62,0,95,1,2,15,2,2.66,1,1,0,0.947368421052632,0.5,0
1452,2,0,1,1,0,0,1,1,6,11,36,0.07,4,82,4,1,1,1,4.59090909090909,2,1,0,0.593110871905274,1.0,1
1802,0,1,1,0,0,5,4,2,10,8,4,0.32,2,83,3,0,6,2,4.13333333333333,0,1,0,0.518367346938776,0.0,4
1803,,,,,,,,,,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,,,,,,,,,
1818,,,,,,,,,,,,,,,,,,,,,,,,,
111,1,0,1,1,0,1,2,3,4,2,18,0.25,0,83,1,0,20,3,3.08695652173913,0,0,0,0.551369863013699,0.0,0
133,,,,,,,,,,,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,,,,,,,,,,,
153,0,0,1,1,0,2,2,1,7,12,1,0.24,0,83,1,3,27,2,4.40740740740741,0,0,0,0.383474576271186,0.75,1
162,0,0,2,2,0,1,3,1,6,11,21,0.22,0,2,2,0,13,2,3.22222222222222,0,1,0,0.902743142144638,0.0,0
212,0,0,1,1,0,1,1,1,0,30,3,0.41,0,96,2,0,25,1,2.4,1,1,0,0.61100569259962,1.0,1
243,,,,,,,,,,,,,,,,,,,,,,,,,
445,,,,,,,,,,,,,,,,,,,,,,,,,
523,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,
776,0,0,1,0,0,0,1,1,0,40,3,0.21,0,97,1,0,0,1,2.51190476190476,1,1,0,0.816037735849057,1.0,0
791,1,2,1,6,0,0,2,1,4,12,28,0.23,0,92,2,0,24,2,2.4,0,0,0,0.980519480519481,0.0,0
1143,0,0,1,1,2,1,1,8,0,6,3,0.21,2,85,5,0,6,2,3.92105263157895,0,2,0,0.610223642172524,1.0,2
1677,1,0,1,0,0,4,1,1,0,2,3,1.24,0,91,1,0,2,4,1.8780487804878,0,0,0,0.913793103448276,0.0,2
48,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,,,,,,,,,
165,0,0,1,1,0,1,2,1,1,8,26,0.23,0,82,2,0,14,1,2.37037037037037,0,1,0,0.94,0.5,0
41,,,,,,,,,,,,,,,,,,,,,,,,,
790,0,2,1,0,0,0,2,1,2,6,22,0.12,0,80,1,1,12,2,2.19230769230769,0,0,0,0.925925925925926,1.0,0
838,8,0,1,1,0,2,3,1,0,8,22,1.78,1,78,1,1,14,2,6.46666666666667,2,1,0,0.677570093457944,1.0,2
739,,,,,,,,,,,,,,,,,,,,,,,,,
855,,,,,,,,,,,,,,,,,,,,,,,,,
409,,,,,,,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,,,,,,,,
745,,,,,,,,,,,,,,,,,,,,,,,,,
746,,,,,,,,,,,,,,,,,,,,,,,,,
789,3,0,1,3,0,0,2,1,7,12,25,0.12,0,92,1,1,0,2,2.6,0,0,0,0.706744868035191,1.0,0
793,,,,,,,,,,,,,,,,,,,,,,,,,
857,2,1,2,1,0,0,3,4,2,26,0,0.1,1,90,2,0,18,2,2.875,0,1,0,0.584040747028862,1.0,4
893,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,,,,,,,
913,,,,,,,,,,,,,,,,,,,,,,,,,
917,,,,,,,,,,,,,,,,,,,,,,,,,
