,CountDeclMethodPrivate,AvgEssential,AvgLineComment,CountLineComment,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
1695,1,1,1,58,7,0,0.23,2,82,2,3,22,1,4.58823529411765,1,1,1,0.666666666666667,0,0.0,0,2,1
26,,,,,,,,,,,,,,,,,,,,,,,
1855,,,,,,,,,,,,,,,,,,,,,,,
498,,,,,,,,,,,,,,,,,,,,,,,
1458,0,1,2,296,0,5,1.91,0,100,2,3,2,1,2.49438202247191,0,0,0,0.0,0,0.428571428571429,0,6,5
366,2,2,4,3,1,3,0.4,0,100,3,0,12,2,3.83333333333333,0,1,0,2.0,0,0.833333333333333,0,4,5
1795,0,1,0,29,1,7,0.36,2,0,2,0,5,2,4.33333333333333,1,2,1,0.5,0,0.0,0,2,1
766,2,1,4,6,0,2,0.42,0,100,1,0,37,2,6.475,0,1,0,0.840909090909091,0,0.875,0,5,7
1913,0,1,1,41,0,2,0.21,0,76,1,0,3,2,4.64285714285714,0,0,1,1.8125,0,0.6,0,2,1
1798,1,1,3,37,1,0,0.45,1,50,2,0,8,1,3.0,1,1,1,1.0,0,0.0,0,3,0
1922,0,1,2,72,0,0,0.33,1,97,1,0,2,2,5.47619047619048,1,1,1,1.03571428571429,0,0.0,0,2,1
209,,,,,,,,,,,,,,,,,,,,,,,
1934,0,1,1,7,0,0,1.84,0,0,1,0,2,2,0.0,0,0,1,0.0,0,1.0,0,1,1
1604,,,,,,,,,,,,,,,,,,,,,,,
831,4,1,0,8,0,30,0.25,0,96,1,3,19,2,9.04938271604938,0,1,0,0.550561797752809,0,0.454545454545455,0,7,7
1574,1,3,1,8,5,1,0.19,1,86,2,0,17,1,4.82352941176471,0,1,1,1.5,0,0.8,0,2,0
