test_idx,candidate_id,CountDeclMethodPrivate,AvgEssential,AvgLineComment,CountLineComment,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
26.0,0.0,174.0,1.0,0.0,240.0,68.0,235.0,0.02,0.0,99.0,2.0,2.0,35.0,2.0,2.3,0.0,0.0,0.0,0.4,0.0,0.7,0.0,2.0,2.0,0.6725482188006168,0.3274517811993832
1574.0,0.0,1.0,2.0,1.0,37.0,1.0,4.0,0.28,0.0,86.0,2.0,0.0,18.0,2.0,2.6,0.0,1.0,1.0,1.2,0.0,1.0,0.0,4.0,3.0,0.7574861774009454,0.2425138225990546
1604.0,0.0,0.0,1.0,2.0,47.0,0.0,3.0,0.9,0.0,79.0,2.0,0.0,1.0,2.0,1.6,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9189745770342744,0.0810254229657255
1695.0,0.0,1.0,3.0,2.0,49.0,1.0,0.0,0.12,0.0,90.0,1.0,0.0,27.0,1.0,7.9,0.0,1.0,1.0,2.2,0.0,0.0,0.0,4.0,6.0,0.7769756046316614,0.2230243953683386
1789.0,0.0,1.0,1.0,2.0,29.0,0.0,0.0,1.12,1.0,0.0,1.0,0.0,4.0,1.0,3.5,0.0,1.0,1.0,1.6,0.0,0.8,0.0,2.0,0.0,0.5164228673070816,0.4835771326929184
1795.0,0.0,1.0,1.0,2.0,29.0,0.0,0.0,1.12,1.0,0.0,1.0,0.0,4.0,1.0,3.5,0.0,1.0,1.0,1.6,0.0,0.8,0.0,2.0,0.0,0.5164228673070816,0.4835771326929184
1799.0,0.0,0.0,4.0,2.0,39.0,0.0,10.0,0.21,1.0,42.0,1.0,0.0,5.0,2.0,6.8,0.0,2.0,1.0,1.9,0.0,0.0,0.0,3.0,2.0,0.9223411046600992,0.0776588953399008
1805.0,0.0,1.0,1.0,2.0,29.0,0.0,0.0,1.12,1.0,0.0,1.0,0.0,4.0,1.0,3.5,0.0,1.0,1.0,1.6,0.0,0.8,0.0,2.0,0.0,0.5164228673070816,0.4835771326929184
1806.0,0.0,1.0,1.0,2.0,29.0,0.0,0.0,1.12,1.0,0.0,1.0,0.0,4.0,1.0,3.5,0.0,1.0,1.0,1.6,0.0,0.8,0.0,2.0,0.0,0.5164228673070816,0.4835771326929184
1817.0,0.0,0.0,1.0,0.0,41.0,0.0,9.0,0.48,0.0,87.0,1.0,0.0,3.0,1.0,2.5,1.0,1.0,1.0,0.1,0.0,1.0,0.0,3.0,1.0,0.6966874285718649,0.303312571428135
