,CountDeclMethodPrivate,AvgEssential,AvgLineComment,CountLineComment,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
834,1,4,3,47,0,11,0.22,0,48,1,0,5,2,7.75,0,2,1,2.0,0,1.0,0,4,2
1798,1,1,3,37,1,0,0.45,0,50,2,0,8,1,3.0,1,1,1,1.0,0,0.666666666666667,0,3,5.5
2264,0,1,2,39.0,5,0,0.34,1,84,1,2,32,1,3.06666666666667,0,0,1,0.529411764705882,0,0.666666666666667,0,1,0
1695,0,1,1,39.0,0,0,0.23,2,82,2,3,22,1,4.58823529411765,1,1,1,0.666666666666667,0,0.666666666666667,0,2,1
1059,0,1,5,60,0,8,0.26,6,61,2,0,14,1,5.0,2,1,1,1.2,0,0.75,0,3,3
499,0,1,1,32,0,3,0.11,3,89,2,0,21,3,4.09090909090909,0,0,1,1.42857142857143,0,0.75,0,1,7
1574,1,3,1,47,5,1,0.19,1,86,2,0,17,1,4.82352941176471,0,1,1,1.5,0,0.8,0,2,5.5
1795,0,1,0,29,1,7,0.36,0,0,2,0,5,2,4.33333333333333,1,2,1,0.5,0,0.666666666666667,0,2,1
1958,0,1,3,39.0,0,3,0.19,3,88,2,1,43,3,4.76,0,1,1,1.32142857142857,0,0.5,0,8,10
1939,2,1,1,374,1.5,2,1.54,0,84,2,0,2,2,0.896551724137931,0,0,1,0.183333333333333,0,0.333333333333333,0,1,1
1799,1,1,3,45,1,2,0.51,1,50,2,0,8,1,3.66666666666667,1,2,1,1.0,0,0.666666666666667,0,3,7.0
1604,1,1,4,51,1,4,1.27,0,79,1,1,4,1,2.16666666666667,1,1,1,0.875,0,0.666666666666667,0,2,1
1945,10,1,3,255,3.5,4,0.21,2,91,1,0,13,1,3.31578947368421,0,1,1,0.694915254237288,0,0.0,0,3,2
1789,0,1,0,29,1,1,0.33,1,0,2,0,9,2,2.5,1,2,1,0.625,0,0.666666666666667,0,3,0
1802,0,1,0,38,2,3,0.29,0,50,2,0,5,2,3.57142857142857,1,1,0,1.4,0,0.666666666666667,0,2,1
1966,0,1,4,28.5,0,6,0.23,4,88,3,0,17,2,5.33333333333333,0,1,1,1.35714285714286,0,0.8,0,5,10
1965,1,2,2,39.0,0,5,0.2,2,86,2,0,33,2,4.0,0,1,1,1.38888888888889,0,0.777777777777778,0,3,6
565,0,2,4,175,0,0,0.25,1,94,2,1,30,2,2.625,0,1,1,1.75555555555556,0,0.0,0,3,3
1438,0,1,0,39.0,1,14,0.17,0,97,2,2,5,2,1.47058823529412,0,0,1,0.2625,0,1.0,0,3,1
1940,3,1,1,36.0,1,22,0.22,0,90,2,0,20,1,5.71428571428571,0,1,1,0.807692307692308,0,0.666666666666667,0,2,1
1899,3,1,1,53,1.5,1,0.3,3.5,80,1,0,1,1,3.26666666666667,1,1,1,0.882352941176471,0,0.5,0,2,2
1458,0,1,2,296,0,5,1.91,0,100,2,3,6,1,2.49438202247191,0,0,1.5,0.0,0,0.428571428571429,0,6,5
1806,0,1,0,29,0,7,0.34,2,0,2,0,8,2,4.33333333333333,1,2,1,0.5,0,0.666666666666667,0,3,0
1431,0,1,0,16.5,1,16,0.17,0,97,2,1,8,2,1.67469879518072,0,0,1,0.252525252525253,0,0.428571428571429,0,5,9
766,0,1,4,236,0,2,0.42,0,100,1,0,37,2,6.475,0,1,0,0.840909090909091,0,0.875,0,5,3
1883,1,1,0,49,0,0,0.33,0,97,2,0,5,1,2.10714285714286,1,2,1,0.516129032258065,0,0.6,0,2,1
1805,0,1,0,29,1,3,0.39,2,0,2,0,8,2,3.0,1,2,1,0.833333333333333,0,0.666666666666667,0,3,3.5
1855,7,1,1,12.5,2,14.0,0.21,0,90,1,0,4,1,3.70833333333333,1,1,1,0.75,0,1.0,0,1,0
366,0,2,4,28.5,1,3,0.4,0,100,3,0,12,2,3.83333333333333,0,1,0,2.0,0,0.833333333333333,0,4,5
1934,0,1,1,1320,0,0,1.84,7.5,0,1,0,2,2,0.0,0,0,1,0.0,0,1.0,0,1,1
308,7,2,1,28.5,0,213,0.16,0,99,1,0,3,1,9.46153846153846,0,1,0,0.714285714285714,0,0.454545454545455,0,3,3
26,0,1,0,44.5,0,383,0.3,0,100,2,5,4,1,12.6617647058824,0,0,0,0.384615384615385,0,0.5,4,6,16
1851,0,1,1,41,0,2,0.1,3,30,2,0,8.5,2,4.25,0,0,1,1.16666666666667,0,0.8,0,2,1
1913,0,1,1,41,0,2,0.21,0,76,1,0,3,2,4.64285714285714,0,0,1,1.8125,0,0.6,0,2,1
376,8,2,2,12.5,0,0.5,0.2,1,100,2,0,25,3,4.5,0,1,0,1.3448275862069,0,0.636363636363636,0,6,7
1936,1,1,0,39.0,0,2,0.08,0,97,1,0,25,2,0.345945945945946,0,1,1,0.139896373056995,0,0.666666666666667,0,1,1
1817,2,1,0,42,0,11,0.22,7.5,86,1,0,8,2,2.64285714285714,0,1,1,1.3125,0,0.8,0,2,1
1938,2,1,6,39.0,1.5,0,0.73,0,86,1,0,3,2,3.30769230769231,0,1,1,0.866666666666667,0,0.666666666666667,0,2,1
1852,0,1,1,24,0,0,0.15,0,44,2,0,11,1,3.33333333333333,1,9,1,1.25,0,0.8,0,2,1
851,0,1,0,39.0,0,23,0.27,1,100,2,0,15,1,6.63636363636364,0,1,1,0.933333333333333,0,0.666666666666667,0,1,4
1933,12,1,0,46,2,7,0.05,0,12.0,1,2,13,2,0.628712871287129,0,0,1,0.189320388349515,0,0.75,0,1,1
350,4.5,2,1,12.5,1,31,0.15,0,100,3,1,28,2,4.61111111111111,0,1,1,1.225,0,0.6,0,4,6
1853,1,1,1,42,0,3,0.09,3,66,2,0,10.5,2,4.41176470588235,0,0,1,1.17391304347826,0,0.666666666666667,0,1,1
208,0,2,4,20.5,0,0,0.31,0,78.5,1,0,26,2,5.50943396226415,1,1,1,1.36206896551724,0,0.625,0,4,9
1955,1,1,3,105,3,8,0.46,7.5,80,2,0,9,2,4.30769230769231,0,0,1,1.73333333333333,0,0.6,0,2,3.5
1850,0,1,2,28.5,0,2,0.12,0,38,2,0,27,2,4.41666666666667,0,0,1,1.23529411764706,0,0.8,0,2,1
1922,0,1,2,72,0,0,0.33,1,78.5,1,0,2,2,5.47619047619048,1,1,1,1.03571428571429,0,0.6,0,2,1
305,0,1,2,81.0,0,26,0.42,0,94,1,0,10,1,5.03846153846154,1,1,1,0.574074074074074,0,0.333333333333333,0,6,9
2049,0,4,9,166,0,1,0.44,4,80,2,0,29,2,4.6,2,2,1,2.5,0,0.615384615384615,0,3,2
498,0,1,2,20.5,3,84,0.51,3.5,100,1,1,13,2,6.11363636363636,0,1,1,0.865979381443299,0,0.6,0,5,3
831,4,1,0,122.0,0,30,0.25,0,96,1,3,19,2,9.04938271604938,0,1,9.5,0.550561797752809,0,0.454545454545455,0,7,7
677,0.5,2,7,68.5,5,46,0.22,4,97,2,1,190,2,8.65071770334928,1,1,1,1.85321100917431,0,0.6,3,6,12
209,87,1,1,20.5,3,22,0.06,1,100,1,1,7.0,3,6.48815165876777,0,1,0,1.59174311926605,0,0.916666666666667,0,5,11
1944,0,2,1,39.0,0,7,0.38,0,86,1,0,3,1,4.05,1,1,1,0.608695652173913,0,0.6,0,2,0
429,0.5,1,4,20.5,17,7,0.34,0,100,3,6,7.0,2,5.06578947368421,0,1,0,1.08620689655172,0,0.72,1,7,8
