test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE,proba0,proba1,num_features_changed
80,0,1.0,45.0,1.0,6.0,1.0,2.0,1.0,269.0,2.0,7.0,34.0,0.53,0.0,97.0,2.0,3.0,19.0,6.0,8.46153846153846,0.0,1.0,0.0,1.0,0.539735099337748,4.0,0.7853658836689904,0.2146341163310098,1
80,1,1.0,45.0,1.0,0.0,1.0,2.0,1.0,269.0,2.0,7.0,34.0,0.53,0.0,97.0,2.0,3.0,19.0,6.0,8.46153846153846,0.0,1.0,0.0,1.0,0.539735099337748,4.0,0.7857894130424177,0.21421058695758224,2
80,2,1.0,45.0,1.0,0.0,1.0,2.0,1.0,269.0,2.0,7.0,34.0,0.53,0.0,97.0,2.0,3.0,19.0,6.0,8.46153846153846,0.0,1.0,0.0,0.0,0.539735099337748,4.0,0.7858105025534724,0.21418949744652752,3
80,3,1.0,45.0,1.0,0.0,1.0,2.0,1.0,269.0,2.0,7.0,34.0,0.53,0.0,97.0,2.0,3.0,19.0,6.0,8.46153846153846,0.0,0.0,0.0,0.0,0.539735099337748,4.0,0.7858212175187086,0.21417878248129144,4
80,4,1.0,0.0,1.0,96.0,1.0,2.0,1.0,269.0,2.0,7.0,34.0,0.53,0.0,97.0,2.0,3.0,19.0,6.0,8.46153846153846,0.0,1.0,0.0,1.0,0.539735099337748,4.0,0.7850244630819126,0.21497553691808716,1
80,5,1.0,0.0,1.0,96.0,1.0,2.0,1.0,269.0,2.0,7.0,34.0,0.53,0.0,97.0,2.0,3.0,19.0,1.0,8.46153846153846,0.0,1.0,0.0,1.0,0.539735099337748,4.0,0.7858899690201098,0.21411003097989004,2
80,6,1.0,0.0,1.0,96.0,1.0,2.0,1.0,269.0,2.0,7.0,0.0,0.53,0.0,97.0,2.0,3.0,19.0,1.0,8.46153846153846,0.0,1.0,0.0,1.0,0.539735099337748,4.0,0.7880494563662906,0.21195054363370933,3
80,7,1.0,0.0,1.0,96.0,1.0,2.0,1.0,269.0,1.0,7.0,0.0,0.53,0.0,97.0,2.0,3.0,19.0,1.0,8.46153846153846,0.0,1.0,0.0,1.0,0.539735099337748,4.0,0.7881128377604347,0.2118871622395651,4
80,8,1.0,0.0,1.0,96.0,0.0,2.0,1.0,269.0,1.0,7.0,0.0,0.53,0.0,97.0,2.0,3.0,19.0,1.0,8.46153846153846,0.0,1.0,0.0,1.0,0.539735099337748,4.0,0.7881199227770644,0.21188007722293542,5
80,9,1.0,45.0,1.0,6.0,1.0,2.0,1.0,269.0,2.0,7.0,34.0,8.67,0.0,97.0,2.0,3.0,19.0,6.0,8.46153846153846,0.0,1.0,0.0,1.0,0.539735099337748,4.0,0.7879076815384326,0.21209231846156743,2
80,10,0.0,45.0,1.0,6.0,1.0,2.0,1.0,269.0,2.0,7.0,34.0,8.67,0.0,97.0,2.0,3.0,19.0,6.0,8.46153846153846,0.0,1.0,0.0,1.0,0.539735099337748,4.0,0.7879554244863568,0.21204457551364317,3
80,11,1.0,0.0,1.0,96.0,1.0,2.0,1.0,269.0,2.0,0.0,34.0,0.53,0.0,97.0,2.0,3.0,19.0,6.0,8.46153846153846,0.0,1.0,0.0,1.0,0.539735099337748,4.0,0.7850593415355492,0.21494065846445082,2
80,12,1.0,0.0,1.0,96.0,1.0,2.0,0.0,269.0,2.0,0.0,34.0,0.53,0.0,97.0,2.0,3.0,19.0,6.0,8.46153846153846,0.0,1.0,0.0,1.0,0.539735099337748,4.0,0.7850688698036179,0.21493113019638194,3
80,13,1.0,0.0,1.0,96.0,1.0,2.0,0.0,269.0,1.0,0.0,34.0,0.53,0.0,97.0,2.0,3.0,19.0,6.0,8.46153846153846,0.0,1.0,0.0,1.0,0.539735099337748,4.0,0.7850734359937694,0.21492656400623075,4
80,14,1.0,0.0,1.0,96.0,0.0,2.0,0.0,269.0,1.0,0.0,34.0,0.53,0.0,97.0,2.0,3.0,19.0,6.0,8.46153846153846,0.0,1.0,0.0,1.0,0.539735099337748,4.0,0.7850739464778338,0.21492605352216618,5
80,15,1.0,0.0,1.0,6.0,1.0,2.0,1.0,269.0,2.0,7.0,34.0,0.53,0.0,97.0,2.0,3.0,19.0,6.0,8.46153846153846,0.0,40.0,0.0,1.0,0.539735099337748,4.0,0.784900258218733,0.21509974178126723,1
80,16,1.0,0.0,1.0,6.0,1.0,2.0,1.0,51.0,2.0,7.0,34.0,0.53,0.0,97.0,2.0,3.0,19.0,6.0,8.46153846153846,0.0,1.0,0.0,1.0,0.539735099337748,4.0,0.512859469296785,0.4871405307032148,1
80,17,1.0,0.0,1.0,6.0,1.0,2.0,1.0,19.0,2.0,7.0,34.0,0.53,0.0,97.0,2.0,3.0,19.0,6.0,3.2,0.0,40.0,0.0,1.0,0.539735099337748,4.0,0.785535116796932,0.21446488320306803,3
80,18,1.0,0.0,1.0,6.0,1.0,2.0,2.0,19.0,2.0,7.0,34.0,0.53,0.0,97.0,2.0,3.0,19.0,6.0,3.2,0.0,40.0,0.0,1.0,0.539735099337748,4.0,0.7856007433789678,0.21439925662103237,4
80,19,0.0,0.0,1.0,6.0,1.0,2.0,2.0,19.0,2.0,7.0,34.0,0.53,0.0,97.0,2.0,3.0,19.0,6.0,3.2,0.0,40.0,0.0,1.0,0.539735099337748,4.0,0.7856291822064261,0.21437081779357373,5
104,0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,38.0,1.0,7.0,6.0,0.1,0.0,87.0,2.0,0.0,10.0,1.0,5.16666666666667,1.0,1.0,0.0,2.0,0.470715835140998,2.0,0.7930411981413604,0.2069588018586395,1
104,1,0.0,0.0,1.0,2.0,0.0,0.0,2.0,38.0,1.0,7.0,6.0,0.1,0.0,87.0,2.0,0.0,0.0,1.0,5.16666666666667,1.0,1.0,0.0,0.0,0.470715835140998,2.0,0.9325281512711097,0.06747184872889032,2
104,2,0.0,0.0,1.0,2.0,0.0,0.0,0.0,38.0,1.0,7.0,6.0,0.1,0.0,87.0,2.0,0.0,0.0,1.0,5.16666666666667,1.0,1.0,0.0,0.0,0.470715835140998,2.0,0.9482466685414932,0.05175333145850686,3
104,3,0.0,0.0,1.0,2.0,0.0,0.0,0.0,38.0,1.0,7.0,6.0,0.1,0.0,87.0,2.0,0.0,0.0,1.0,5.16666666666667,1.0,0.0,0.0,0.0,0.470715835140998,2.0,0.9489055086204831,0.05109449137951687,4
104,4,0.0,0.0,1.0,2.0,0.0,0.0,2.0,38.0,1.0,7.0,6.0,0.1,0.0,87.0,2.0,0.0,29.0,1.0,5.16666666666667,1.0,40.0,0.0,2.0,0.470715835140998,2.0,0.8129749799810015,0.18702502001899846,1
104,5,0.0,0.0,1.0,2.0,0.0,0.0,2.0,38.0,1.0,7.0,6.0,0.1,2.0,87.0,2.0,0.0,29.0,1.0,5.16666666666667,1.0,40.0,0.0,2.0,0.470715835140998,2.0,0.8201015784773606,0.1798984215226393,2
104,6,0.0,0.0,1.0,2.0,0.0,0.0,2.0,38.0,1.0,7.0,6.0,0.1,2.0,87.0,4.0,0.0,29.0,1.0,5.16666666666667,1.0,40.0,0.0,2.0,0.470715835140998,2.0,0.8218944419170295,0.17810555808297035,3
