Antecedent,Antecedent Coverage %,Confidence,Lift
CountClassCoupled <= 1.05,0.20625,0.98701,1.17227
MAJOR_LINE <= -0.03,0.09866,0.97738,1.16083
1.05 < CountClassCoupled <= 3.4,0.18839,0.97393,1.15674
Del_lines <= -13.4,0.07009,0.96815,1.14987
PercentLackOfCohesion <= 19.8,0.20045,0.96437,1.14538
OWN_COMMIT > 1.004,0.09375,0.95714,1.1368
CountOutput_Mean <= 1.88,0.19598,0.95444,1.13359
0.872 < OWN_COMMIT <= 1.004,0.30312,0.95287,1.13172
CountDeclClassMethod <= -0.26,0.1058,0.94937,1.12756
3.4 < CountClassCoupled <= 6.6,0.20446,0.94323,1.12027
