Antecedent,Antecedent Coverage %,Confidence,Lift
CountClassCoupled <= 0.8,0.18304,0.98293,1.15336
0.8 < CountClassCoupled <= 3.3,0.22991,0.96893,1.13693
MAJOR_LINE <= -0.02,0.10045,0.96444,1.13167
1.68 < CountOutput_Mean <= 3.3 & -0.107 < MINOR_COMMIT <= 0.0145,0.19643,0.96364,1.13072
AvgLineComment <= 0.08,0.25134,0.96092,1.12754
-28 < Del_lines <= 1,0.36563,0.95849,1.12468
OWN_COMMIT > 1.008,0.10089,0.95575,1.12147
0.904 < OWN_COMMIT <= 1.008,0.29955,0.95529,1.12093
-0.02 < MAJOR_LINE <= 0.49,0.30179,0.94822,1.11264
CountOutput_Mean <= 1.68,0.2,0.94643,1.11053
