feature,mean_abs_weight,mean_weight,count,fraction_selected
CountClassCoupled,0.07713675781090948,-0.06632117516800153,36,1.0
CountDeclInstanceVariable,0.05812637352332203,-0.0357261284861513,36,1.0
MAJOR_LINE,0.05309931263605275,-0.04827769518155686,36,1.0
AvgCyclomaticModified,0.051052861776241215,-0.023971040765152083,36,1.0
CountDeclMethodPublic,0.039498152902544964,-0.03014253568689585,36,1.0
CountDeclMethodDefault,0.03867598742613251,0.01901173849402396,36,1.0
CountDeclMethodProtected,0.03224057547449822,-0.012859973250520566,36,1.0
CountDeclMethodPrivate,0.02954219300471975,-0.019460614880268266,36,1.0
MINOR_COMMIT,0.02087988373541632,-0.0018500142498382032,27,0.75
OWN_COMMIT,0.02081632933247388,-0.013693207559272134,36,1.0
CountClassDerived,0.01791880184482221,0.000397889129435371,36,1.0
AvgLineComment,0.01753837071181283,-0.011037497351563893,36,1.0
CountOutput_Mean,0.015252735992616312,-0.011374657455291181,36,1.0
CountClassBase,0.013838877907009883,-0.005826631325856233,36,1.0
AvgEssential,0.013233755242959853,0.004043378365804618,36,1.0
AvgLineBlank,0.011266999413814769,0.0013939885862197252,36,1.0
CountDeclClassVariable,0.01109437110702046,-0.004431895305851048,36,1.0
CountLineComment,0.006689780632570173,0.004317862219232205,36,1.0
MaxNesting_Min,0.0061893826562859,-0.0006023951793096384,36,1.0
CountDeclClassMethod,0.005966708316363213,0.0003006829606722656,35,0.9722222222222222
CountDeclClass,0.005601159588665437,0.0014443986032322735,36,1.0
MINOR_LINE,0.004370067117750631,-0.0027302922131955502,36,1.0
CountInput_Min,0.004256612156772603,0.0017652876802589233,36,1.0
CountPath_Min,0.004070843397734821,-0.0007113050892109496,36,1.0
MaxInheritanceTree,0.002953472674482416,-0.0015235064545119654,36,1.0
CountOutput_Min,0.002742619419012799,-0.0005154115547247149,36,1.0
