"Rule ID","Antecedent","Consequent","Antecedent Coverage %","Antecedent Coverage","Support %","Support","Confidence","Leverage","Lift","p-value","Consequent Coverage %","Consequent Coverage"
"b'000000'","b'-0.008 < OWN_COMMIT <= 0.051'","b'target = 0'",0.34688,777,0.3433,769,0.9897,0.07881,1.29797,5.74817e-101,0.7625,1708
"b'000001'","b'OWN_COMMIT <= -0.008'","b'target = 0'",0.07768,174,0.07545,169,0.97126,0.01622,1.27379,2.32905e-15,0.7625,1708
"b'000002'","b'CountClassCoupled <= 0.95'","b'target = 0'",0.17277,387,0.15937,357,0.92248,0.02764,1.20981,4.58689e-19,0.7625,1708
"b'000003'","b'-0.23 < AvgLineBlank <= 0.15 & -0.79 < CountDeclMethodDefault <= 0.02'","b'target = 0'",0.26429,592,0.23929,536,0.90541,0.03777,1.18742,4.94183e-15,0.7625,1708
"b'000004'","b'RatioCommentToCode > 1.42'","b'target = 0'",0.19821,444,0.17589,394,0.88739,0.02475,1.16379,1.74343e-13,0.7625,1708
"b'000005'","b'MAJOR_LINE <= -0.02'","b'target = 0'",0.09509,213,0.08438,189,0.88732,0.01187,1.1637,1.15389e-06,0.7625,1708
"b'000006'","b'MaxInheritanceTree <= 1.05'","b'target = 0'",0.23973,537,0.21205,475,0.88454,0.02926,1.16006,6.60497e-16,0.7625,1708
"b'000007'","b'3.15 < CountClassCoupled <= 6.35'","b'target = 0'",0.19241,431,0.16875,378,0.87703,0.02204,1.1502,4.06465e-11,0.7625,1708
"b'000008'","b'1.72 < MaxInheritanceTree <= 2.125'","b'target = 0'",0.21563,483,0.18839,422,0.87371,0.02398,1.14584,7.09167e-12,0.7625,1708
"b'000009'","b'CountInput_Min > 2.24'","b'target = 0'",0.18482,414,0.16027,359,0.86715,0.01934,1.13725,4.46774e-09,0.7625,1708
