,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_LINE,OWN_COMMIT,MAJOR_LINE
41,6.0,1.0,1.0,5.0,3.0,4.0,2.0,7.0,21.0,4.0,139.0,0.76,0.0,97.0,1.0,2.0,59.0,9.0,4.73053892215569,0.0,0.0,0.0,0.533424283765348,0.5,1.0
43,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,31.0,77.0,0.55,0.0,97.0,2.0,3.0,1.0,6.0,6.65882352941177,0.0,1.0,0.0,0.568445475638051,0.5,2.0
48,6.0,3.0,1.0,1.0,0.0,4.0,3.0,6.0,8.0,1.0,38.0,0.39,0.0,89.0,1.0,3.0,27.0,4.0,4.87272727272727,0.0,1.0,0.0,0.496396396396396,0.666666666666667,3.0
58,0.0,4.0,1.0,2.0,0.0,8.0,2.0,5.0,22.0,21.0,78.0,1.43,0.0,94.0,1.0,1.0,5.0,6.0,4.24038461538461,0.0,0.0,0.0,0.66008316008316,0.625,1.0
67,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,7.0,6.0,23.0,1.16,0.0,87.0,2.0,0.0,28.0,4.0,5.13333333333333,1.0,1.0,0.0,0.464757709251101,1.0,1.0
97,1.0,0.0,1.0,5.0,0.0,1.0,2.0,6.0,35.0,71.0,157.0,0.27,0.0,56.0,1.0,2.0,64.0,2.0,6.43523316062176,0.0,0.0,0.0,0.465542885473475,0.4,3.0
111,1.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,4.0,14.0,18.0,0.25,0.0,83.0,1.0,0.0,20.0,3.0,13.5,0.0,0.0,0.0,0.551369863013699,0.0,0.0
133,4.0,0.0,1.0,2.0,5.0,2.0,2.0,1.0,2.0,13.0,27.0,0.41,0.0,90.0,1.0,6.0,1.0,2.0,3.6969696969697,1.0,1.0,0.0,0.583529411764706,0.666666666666667,1.0
153,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,7.0,1.0,20.0,0.24,0.0,83.0,1.0,3.0,27.0,2.0,4.40740740740741,0.0,0.0,0.0,0.383474576271186,0.75,1.0
165,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,8.0,26.0,0.23,0.0,82.0,2.0,0.0,14.0,1.0,7.9,0.0,1.0,0.0,0.676923076923077,0.5,0.0
212,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,30.0,65.0,3.19,0.0,96.0,2.0,0.0,25.0,1.0,2.4,1.0,1.0,0.0,0.61100569259962,1.0,1.0
228,0.0,1.0,2.0,1.0,0.0,3.0,3.0,4.0,9.0,13.0,30.0,0.26,0.0,89.0,2.0,2.0,1.0,2.0,3.775,0.0,0.0,0.0,0.584239130434783,0.857142857142857,1.0
229,10.0,4.0,1.0,2.0,0.0,1.0,3.0,12.0,8.0,3.0,60.0,0.17,0.0,94.0,2.0,25.0,46.0,2.0,4.20731707317073,0.0,0.0,0.0,0.536567164179104,0.533333333333333,2.0
236,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,7.0,19.0,63.0,0.24,0.0,92.0,2.0,1.0,42.0,1.0,1.5,0.0,0.0,0.0,0.351648351648352,0.5,1.0
243,1.0,1.0,1.0,1.0,0.0,1.0,2.0,6.0,3.0,10.0,36.0,0.16,1.0,87.0,2.0,1.0,43.0,2.0,3.24390243902439,0.0,15.0,2.0,0.419354838709677,0.5,2.0
259,5.0,0.0,1.0,3.0,0.0,1.0,2.0,4.0,13.0,38.0,76.0,0.15,0.0,35.0,1.0,1.0,71.0,4.0,3.12765957446809,15.0,1.0,0.0,0.69479090242113,0.5,1.0
409,4.0,6.0,1.0,17.0,0.0,0.0,2.0,3.0,3.0,19.0,44.0,0.24,0.0,94.0,1.0,1.0,13.0,2.0,1.5,0.0,1.0,0.0,0.755614266842801,0.5,1.0
520,0.0,0.0,1.0,1.0,0.0,8.0,3.0,1.0,3.0,0.0,1.0,0.63,0.0,75.0,3.0,1.0,6.0,1.0,3.75,1.0,4.0,0.0,0.540816326530612,0.75,0.0
523,2.0,0.0,1.0,2.0,1.0,1.0,3.0,10.0,29.0,37.0,4.0,0.14,0.0,93.0,1.0,2.0,42.0,2.0,4.25714285714286,0.0,0.0,0.0,0.417142857142857,0.666666666666667,1.0
