,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_LINE,OWN_COMMIT,MAJOR_LINE
41,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,
48,6,3,1,1,0,4,3,6,8,21,19,0.39,0,66,1,3,9,4,4.87272727272727,0,1,0,0.496396396396396,0.666666666666667,2
58,,,,,,,,,,,,,,,,,,,,,,,,,
67,0,0,1,2,0,0,2,1,7,5,19,0.1,0,66,2,0,27,1,5.13333333333333,1,1,0,0.464757709251101,1.0,1
97,,,,,,,,,,,,,,,,,,,,,,,,,
111,1,0,1,1,0,1,2,3,4,10,13,0.25,0,66,1,0,9,3,3.08695652173913,0,0,0,0.551369863013699,0.0,0
133,,,,,,,,,,,,,,,,,,,,,,,,,
153,0,0,1,1,0,2,2,1,7,10,19,0.24,0,66,1,3,9,2,4.40740740740741,0,0,0,0.383474576271186,0.75,1
165,0,0,1,1,0,1,2,1,1,6,19,0.23,0,66,2,0,9,1,2.37037037037037,0,1,0,0.676923076923077,0.5,0
212,0,0,1,1,0,1,1,1,0,21,19,0.41,0,89,2,0,9,1,2.4,1,1,0,0.61100569259962,1.0,1
228,0,1,2,1,0,3,3,4,9,10,19,0.26,0,66,2,2,9,2,3.775,0,0,0,0.584239130434783,0.857142857142857,1
229,,,,,,,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,,,,,,,,,
409,4,6,1,17,0,0,2,3,3,10,19,0.09,0,89,1,1,9,2,4.6140350877193,0,1,0,0.755614266842801,0.5,1
520,0,0,1,1,0,3,3,1,3,1,2,0.63,0,66,3,1,5,1,3.75,1,2,0,0.540816326530612,0.75,0
523,,,,,,,,,,,,,,,,,,,,,,,,,
739,1,0,1,1,0,0,3,3,5,10,19,0.13,0,66,2,0,9,2,2.83720930232558,1,1,0,0.460820895522388,1.0,1
745,0,4,1,1,0,1,2,5,2,10,19,0.16,0,66,1,1,9,2,4.59375,0,0,0,0.647584973166369,1.0,1
746,,,,,,,,,,,,,,,,,,,,,,,,,
757,2,0,2,1,2,0,3,1,2,1,19,0.12,0,39,1,7,5,2,5.38235294117647,1,1,0,0.639791937581274,1.0,1
789,3,0,1,3,0,0,2,1,7,10,19,0.12,0,89,1,1,9,2,2.6,0,0,0,0.706744868035191,1.0,0
790,0,2,1,0,0,0,2,1,2,5,19,0.12,0,66,1,1,9,2,2.19230769230769,0,0,0,0.501930501930502,1.0,0
793,1,0,1,1,0,0,3,1,4,1,13,0.1,0,66,2,0,9,2,4.54545454545455,0,0,0,0.580555555555556,1.0,0
838,8,0,1,1,0,2,3,1,0,6,19,0.35,1,66,1,1,9,2,6.46666666666667,2,1,0,0.677570093457944,1.0,1
855,2,3,1,1,0,0,3,4,1,21,19,0.1,0,89,1,0,9,2,2.76785714285714,0,1,0,0.463030303030303,0.8,1
857,2,1,2,1,0,0,3,4,2,21,19,0.1,1,89,2,0,9,2,2.875,0,1,0,0.584040747028862,1.0,3
893,0,0,1,1,0,1,3,4,16,10,10,0.12,2,89,1,0,38,2,6.85714285714286,3,1,0,0.86970684039088,1.0,1
911,0,0,1,2,0,1,2,3,9,21,19,0.39,0,89,4,3,5,4,2.4375,1,1,0,0.492779783393502,1.0,1
912,0,0,1,1,0,3,2,1,6,1,11,0.51,1,66,2,4,9,1,3.0,1,1,0,0.572327044025157,0.333333333333333,1
913,1,0,1,1,0,1,2,2,5,10,19,0.36,0,89,4,3,9,2,2.07142857142857,0,0,0,0.470212765957447,0.5,2
917,1,0,1,5,9,4,2,1,4,0,13,0.61,0,89,1,8,9,1,5.47619047619048,1,1,0,0.555932203389831,0.5,2
1452,2,0,1,1,0,0,1,1,6,10,19,0.07,4,66,4,1,9,1,4.59090909090909,2,1,0,0.593110871905274,1.0,1
1677,1,0,1,0,0,4,1,1,0,1,19,1.24,0,89,1,0,2,4,1.8780487804878,0,0,0,0.913793103448276,0.0,1
1803,0,0,2,1,2,1,3,1,16,9,11,0.22,0,89,2,3,6,1,3.84210526315789,1,2,0,0.595505617977528,0.0,2
