test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
852,0,4.0,6.0,1.0,34.0,9.0,0.0,143.0,18.213816046714783,0.0,8.0,0.23,0.0,100.0,2.0,17.0,63.0,2.0,4.25757575757576,0.0,1.0,1.0,0.339805825242718,0.0,152.0,1.0,0.0,1.0,0.0,0.5,0.5,1,17786183953285.22
233,0,1.0,0.0,1.0,3.0,21.208640217781067,0.0,50.0,8.0,1.0,6.0,0.13,0.0,93.0,2.0,0.0,16.0,2.0,3.325,1.0,1.0,1.0,0.857142857142857,0.0,142.0,1.0,0.0,3.0,4.0,0.5,0.5,1,7791359782218.934
237,0,3.0,1.0,1.0,11.0,12.86669921875,0.0,51.0,5.0,1.0,3.0,0.1,1.0,95.0,5.0,0.0,19.0,2.0,4.0,1.0,1.0,1.0,0.918918918918919,0.0,124.0,0.363636363636364,0.0,4.0,6.0,0.5,0.5,1,13133300781250.0
285,0,9.7138671875,15.280694544315338,1.0,12.0,19.0,0.0,144.0,1.0,2.0,35.0,0.1,0.0,98.0,4.0,4.0,42.0,2.0,3.1497005988024,0.0,0.0,0.0,0.755434782608696,0.0,2.0,0.5,0.0,5.0,5.0,0.5,0.5,3,33363479423616.66
289,0,8.76708984375,0.0,1.0,1.0,7.0,0.0,63.0,1.0,2.0,3.0,0.12,0.0,78.0,5.0,0.0,21.0,1.0,4.890625,0.0,1.0,1.0,0.681818181818182,0.0,906.0,0.894736842105263,0.0,4.0,6.0,0.5,0.5,1,12232910156250.0
357,0,6.0,0.0,2.0,0.0,12.241943359375,0.0,45.0,2.0,0.0,6.0,0.09,1.0,66.0,1.0,0.0,22.0,1.0,4.8695652173913,1.0,2.0,1.0,1.06122448979592,0.0,811.0,0.6,0.0,4.0,5.0,0.5,0.5,1,28758056640625.0
359,0,13.29345703125,0.0,2.0,27.0,0.0,0.0,138.0,3.0,0.0,4.0,0.11,0.0,97.0,4.0,0.0,17.0,2.0,3.88461538461538,0.0,1.0,1.0,0.712962962962963,0.0,165.0,1.0,0.0,3.0,4.0,0.5,0.5,2,29535535136157.426
363,0,6.0,0.0,1.0,5.0,9.0,1.0,44.485595703125,8.0,6.0,14.0,0.19,0.0,96.0,4.0,3.0,29.0,2.0,6.52252252252252,0.0,1.0,1.0,0.725,0.0,0.0,0.714285714285714,0.0,3.0,5.0,0.5,0.5,2,180.36679372734167
929,0,12.0,9.0,1.0,3.0,16.71271777153015,2.0,206.0,3.0,0.0,2.0,0.3,0.0,80.0,4.0,0.0,21.0,2.0,4.13698630136986,1.0,1.0,1.0,0.636363636363636,0.0,58.0,0.777777777777778,0.0,1.0,2.0,0.5,0.5,1,19287282228469.848
367,0,11.0,0.0,1.0,3.0,9.0,0.0,42.0,10.08349609375,0.0,1.0,0.13,0.0,85.0,3.0,0.0,9.0,2.0,2.0,0.0,1.0,1.0,0.385964912280702,0.0,85.0,0.8,0.0,3.0,3.0,0.5,0.5,1,3916503906250.0
368,0,8.37100338935852,0.0,1.0,1.0,0.0,1.0,140.0,2.0,4.0,5.0,0.33,1.0,94.0,3.0,0.0,22.0,2.0,3.28571428571429,0.0,2.0,1.0,0.653846153846154,0.0,465.0,0.25,0.0,4.0,0.0,0.5,0.5,3,34193122355234.645
369,0,5.0,0.0,1.0,0.0,62.75103759765625,0.0,36.0,1.0,0.0,16.0,0.03,0.0,16.0,1.0,0.0,0.00537109375,0.0,4.47457627118644,1.0,0.0,1.0,0.644970414201183,0.0,314.0,0.648648648648649,0.0,5.0,1.0,0.5,0.5,5,49265136572392.97
370,0,6.0,3.0,1.0,1.0,10.300220549106598,0.0,39.0,8.0,3.0,6.0,0.14,0.0,86.0,3.0,0.0,18.0,2.0,6.83333333333333,1.0,2.0,1.0,0.411764705882353,0.0,586.0,0.5,0.0,5.0,1.0,0.5,0.5,1,14699779450893.402
373,0,17.0,1.0,2.0,11.0,11.6318359375,2.0,3.059326171875,5.0,3.0,2.0,0.2,2.0,96.0,4.0,1.0,34.0,2.0,4.0,0.0,1.0,1.0,1.15853658536585,0.0,378.0,0.333333333333333,0.0,4.0,0.0,0.5,0.5,3,31368164062500.0
376,0,36.0,0.0,1.0,8.0,16.0,0.0,170.0,3.0,0.0,2.0,0.21,0.0,92.0,1.314697265625,0.0,24.0,2.0,6.24409448818898,0.0,1.0,1.0,0.603053435114504,0.0,92.0,0.4,0.0,4.0,0.0,0.5,0.5,2,5.335791324804015
379,0,2.0,0.0,1.0,0.0,2.0,0.0,75.0,15.317717552185059,0.0,0.0,0.16,0.0,0.0,4.0,0.0,43.0,1.0,2.67241379310345,0.0,2.0,1.0,0.345679012345679,0.0,106.0,0.583333333333333,0.0,5.0,5.0,0.5,0.5,1,6682282447814.941
380,0,33.0,6.0,1.0,20.0,13.0,0.0,274.0,1.2470703125,1.0,26.0,0.19,0.0,97.0,4.0,26.0,37.0,2.0,3.47619047619048,0.0,0.0,1.0,0.437275985663082,0.0,593.0,0.394736842105263,0.0,4.0,0.0,0.5,0.5,2,45752929687500.0
385,0,3.0,0.0,1.0,4.0,14.9248046875,0.0,35.0,1.00341796875,4.0,2.0,0.06,0.0,100.0,4.0,2.0,36.0,2.0,2.83673469387755,0.0,1.0,1.0,0.784615384615385,0.0,743.0,0.407407407407407,0.0,5.0,3.0,0.5,0.5,2,21314694764235.598
