test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
799,0,0.0,0.0,1.0,2.0,1.0,4.0,2.0,0.0,3.0,6.0,1.07,0.0,50.0,2.0,0.0,9.0,1.0,2.83333333333333,8.0,3.0,1.0,0.7,0.75,0.0,2.0,0.0,0.5984165488805431,0.4015834511194569
4,0,1.0,0.0,4.0,6.0,16.0,5.0,1.0,0.0,10.0,7.0,0.63,2.0,80.0,4.0,0.0,4.0,1.0,5.8,1.0,1.0,1.0,2.1,0.375,0.0,4.0,3.0,0.5049202440525784,0.4950797559474216
820,0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,11.0,8.7,0.0,80.0,3.0,2.0,8.0,1.0,3.5,13.0,1.0,1.0,0.8125,0.666666666666667,0.0,2.0,1.0,0.8224542015819384,0.1775457984180616
19,0,1.0,0.0,2.0,43.0,1.0,29.0,2.0,1.0,9.0,8.0,0.53,0.0,79.0,4.0,0.0,4.0,1.0,4.0,0.0,1.0,1.0,1.07142857142857,0.5,0.0,3.0,0.0,0.6892739932762565,0.3107260067237435
21,0,0.0,0.0,2.0,2.0,5.0,10.0,1.0,0.0,8.0,6.0,0.52,0.0,75.0,4.0,0.0,3.0,1.0,4.33333333333333,0.0,2.0,1.0,1.25,0.5,0.0,3.0,0.0,0.8244531524358735,0.17554684756412653
830,0,3.0,0.0,2.0,3.0,0.0,5.0,1.0,0.0,15.0,10.0,0.56,1.0,82.0,4.0,0.0,4.0,1.0,5.0,0.0,1.0,1.0,1.13333333333333,0.4,1.0,2.0,4.0,0.5376254835631572,0.4623745164368428
831,0,6.0,0.0,1.0,7.0,0.0,2.0,10.0,0.0,35.0,60.0,0.63,1.0,87.0,3.0,3.0,14.0,2.0,2.78787878787879,0.0,0.0,1.0,0.519480519480519,0.0,0.0,1.0,3.0,0.5478113191445688,0.45218868085543124
834,0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,1.19,1.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.3,0.0,2.0,3.0,0.5061190421152801,0.4938809578847199
837,0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,6.26,0.0,0.0,4.0,0.0,2.0,1.0,1.42857142857143,0.0,1.0,1.0,0.0,0.5,0.0,3.0,1.0,0.9341560225924207,0.06584397740757927
840,0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,0.87,0.0,2.0,4.0,0.0,3.0,1.0,0.2,0.0,1.0,1.0,0.0,0.4,0.0,7.0,1.0,0.860731269964297,0.13926873003570298
43,0,2.0,0.0,1.0,0.0,7.0,0.0,2.0,0.0,21.0,5.0,0.54,0.0,0.0,4.0,0.0,3.0,1.0,1.42857142857143,0.0,1.0,1.0,0.6,0.5,0.0,4.0,1.0,0.6627920470693859,0.3372079529306141
