,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
845,2,0,1,0,1,0,1,0,0,1,0.41,2,0,4,0,8,1,3.33333333333333,0,3,1,0.0,0.0,0,3,1
1273,0,1,1,0,0,1,2,0,1,6,0.5,1,33,2,0,2,1,1.14285714285714,0,1,1,0.0,0.666666666666667,0,1,1
916,0,0,1,0,0,3,1,0,0,22,0.18,3,0,2,0,7,1,2.86363636363636,0,5,1,0.0,0.5,0,1,1
1103,0,1,1,1,0,1,1,0,3,1,0.61,1,37,2,0,7,1,4.0,3,3,1,1.5,0.6,0,2,2
424,7,1,1,2,5,5,8,1,50,9,0.38,0,78,4,0,7.0,1,6.55555555555556,0,1,1,1.25925925925926,0.714285714285714,0,2,2
1312,0,1,1,0,0,1,1,0,1,4,0.21,2,40,2,0,4,1,2.5,0,0,1,1.58333333333333,1.0,0,2,0
786,0,0,1,0,0,7,1,0,0,1,0.69,4,0,2,0,18,1,6.0,6,17,2,1.0,0.5,0,5,1
1195,1,5,1,0,1,3,4,3,8,4,0.8,1,66,2,2,6,1,4.53846153846154,0,1,1,0.722222222222222,0.714285714285714,0,1,1
623,2,0,1,1,0,4,2,0,3,10,0.62,1,76.0,2,0,2,1,3.58333333333333,1,1,1,1.73333333333333,0.333333333333333,0,3,1
705,7,0,1,1,1,1,5,5,6,25.5,0.15,1,96,4,0,37,2,2.67241379310345,0,1,1,0.453125,0.285714285714286,0,8,6
831,6,0,1,7,0,2,10,0,35,60,0.63,1,87,3,3,14,2,2.78787878787879,0,0,1,0.519480519480519,0.0,0,2,3
925,7,0,1,0,0,4,2,0,3,12,0.34,1,83,2,0,13.5,1,3.26315789473684,1,1,1,1.36363636363636,0.714285714285714,0,1,3
710,4,2,1,0,0,1,3,0,0,11,0.32,1,0,2,0,15,1,3.76470588235294,0,1,1,0.428571428571429,1.0,0,1,0
1268,1,1,2,3,6,1,5,0,11,22,0.13,0,85,3,0,12.0,2,5.08333333333333,0,2,1,1.43333333333333,0.333333333333333,0,1,2
642,1,0,1,0,0,1,2,0,4,2,0.29,4,50,4,0,11.0,2,4.0,2,4,1,0.833333333333333,0.5,0,1,2
662,6,0,1,0,1,1,1,0,1,13,0.2,3,78,2,0,22,1,4.68421052631579,0,1,1,1.42857142857143,1.0,0,2,2
678,5,0,2,0,0,2,3,0,3,17,0.15,5,0,2,0,21,2,3.0,0,1,1,2.0,1.0,0,1,1
377,1,0,3,0,3,2,3,0,3,9,0.21,3,50,2,0,16,2,2.7,0,1,1,1.35714285714286,0.5,0,3,4
745,1,0,1,0,0,2,1,0,1,2,0.33,5,66,2,0,24,1,4.0,0,5,1,0.0,1.0,0,5,1
799,0,0,1,2,0,4,2,0,3,6,1.07,0,50,4,0,9,1,2.83333333333333,1,3,1,0.7,0.75,0,2,0
200,16,0,1,19,12,2,11,6,26,22.5,0.52,0,95,4,0,16,2,3.29896907216495,0,0,1,0.724770642201835,0.5,0,2,7
920,1,0,1,0,0,0,1,1,0,7,0.2,0,0,2,0,12.0,1,3.55555555555556,2,4,1,0.0,0.666666666666667,0,2,0
1043,0,0,1,0,0,0,1,0,6.0,1,1.0,1,0,2,0,18,1,3.0,3,17,1,0.0,0.666666666666667,0,2,0
1017,0,0,1,0,0,2,1,0,0,1,1.3,2,0,2,0,12,1,2.0,2,5,1,0.0,0.5,0,2,0
720,0,0,1,2,0,0,1,2,2,14,0.22,0,75,2,0,21,1,3.25,1,1,1,0.166666666666667,0.666666666666667,0,2,2
1283,4,0,1,0,0,1,3,0,5,9,0.31,1,61,2,0,25,2,3.30769230769231,0,1,1,0.294117647058824,0.75,0,1,0
1302,1,0,1,0,0,0,1,0,0,7,0.23,1,0,2,0,0.5,1,0.625,0,2,1,1.5,0.5,0,2,1
532,1,1,1,0,0,6,1,0,4,10,1.84,0,85,4,9,1,1,3.16666666666667,2,1,1,0.428571428571429,0.5,0,2,2
834,0,0,1,0,0,4,1,0,0,4,1.19,1,0,4,0,1,1,1.8973684210526298,0,1,1,0.0,0.5,0,2,1
690,4,10,1,0,0,2,7,0,19,10,0.18,0,50,4,0,13.5,2,4.0,0,1,1,1.125,0.333333333333333,0,1,1
323,1,0,1,1,0,3,1,0,0,6,0.1,9,71,4,0,7,1,4.42857142857143,1,2,1,0.666666666666667,0.0,0,2,1
80,2,1,1,6,0,3,3,2,24,9,0.36,1,81,4,11.5,11,1,8.78571428571429,2,1,1,1.11111111111111,0.666666666666667,0,3,0
649,0,0,1,0,0,0,1,1,2,4,0.23,0,70,2,0,6,1,1.6,1,2,1,1.28571428571429,0.5,0,7,2
1040,0,0,1,0,0,2,1,3,0,1,0.53,5,0,2,0,12.0,1,3.0,1,1,1,1.5,0.666666666666667,0,1,1
675,11,0,1,0,2,3,1,0,0,23.5,0.18,1,0,2,0,45,1,3.26923076923077,0,1,1,0.925925925925926,0.928571428571429,0,3,10
696,1,1,1,2,0,1,4,0,8,8,0.3,0,62,2,2,12,1,3.0,0,0,1,0.933333333333333,1.0,0,1,0
676,6,4,1,0,3,1,16,19,7,25.5,0.09,1,91,2,8,4.0,2,2.75862068965517,0,0,1,0.746666666666667,0.9,0,3,2
1292,0,0,1,0,0,5,1,0,0,1,0.42,8,0,2,0,20,1,6.0,6,19,1,0.0,0.75,0,2,0
782,1,0,1,0,0,1,5,0,10,25,0.23,2,66,2,0,1.0,1,1.92307692307692,0,0,1,0.84375,0.5,0,3,3
1307,0,0,1,0,0,2,1,0,0,3,0.28,1,0,2,0,6,1,1.0,1,12,1,0.6,0.5,0,2,0
4,1,0,4,0,0,5,1,0,10,7,0.63,2,80,4,0,4,1,4.125,1,1,1,2.1,0.375,0,4,3
1061,7,0,1,1,1,2,5,5,6,25.5,0.22,1,97,4,11.5,37,1,2.72131147540984,0,0,1,0.522388059701492,0.5,0,1,1
447,53,4.5,1,18,7,10,4,3,50,22.5,0.94,0,96,4,8,40,1,15.5329949238579,1,0,1,1.06435643564356,0.909090909090909,1,1,13
1288,0,1,1,1,6,2,2,0,3,24,0.17,6,88,2,0,27,2,5.68,0,1,1,0.321428571428571,0.75,0,1,1
908,8,9,2,0,0,0,2,0,10,10,0.41,0,82,1,0,7,1,6.62962962962963,1,1,1,1.26666666666667,0.0,0,1,1
840,0,1.5,1,0,0,0,2,0,2,5,4.0,0.0,87,4,0,3,1,0.2,0,1,1,0.0,0.0,0,2,1
43,2,0,1,0,0,0,2,0,26.0,5,0.395,0.0,0,4,0,3,1,1.42857142857143,0,1,1,0.6,0.0,0,4,1
754,0,0,1,0,0,2,6,0,14,9,0.16,1,25,4,0,27,2,3.33333333333333,0,1,1,0.9375,0.6,0,5,4
847,1,0,1,0,0,16.5,2,0,2,6,0.29,1.5,91,4,0.0,3,1,0.714285714285714,0,1,1,0.0,0.4,1,3,0
915,0,0,1,0,17.0,0,1,0,34.0,13,0.18,1,0,0,0,5,1,3.15384615384615,3,9,1,0.0,0.8,0,1,0
384,10,1,1,1,1,1,3,0,5,22,1.23,15.0,72,2,1,2,2,3.3030303030303,0,0,1,0.810810810810811,0.5357142857142855,1,3,0
500,28,20.0,5,10,3,0,1,1,11,7,0.01,14.0,88,1,0,3,2,5.11111111111111,0,1,1,0.5250626566416039,0.333333333333333,0,5,4
613,3,1,1,7,13,4,5,3,6,4.0,0.81,9.5,92,4,43.0,16,2,4.95238095238095,0,1,1,0.75,0.333333333333333,1,7,4
651,0,0,1,0,0,19.5,1,0,38.0,9,0.12,1,0,0,0,3,1,0.444444444444444,0,2,1,0.363636363636364,0.8,0,2,0
872,0,0,1,0,0,0,1,0,0,13,0.66,0,0,4,0,2,1,2.4494949494949454,0,2,1,0.0,1.0,0,3,2
442,4,3,1,1,0,3,3,0,23,18,0.49,1,81,4,0.0,9,2,4.96969696969697,1,1,1,1.40540540540541,0.964285714285714,0,1,2
726,0,0,1,1,15.0,23.0,3,0,2,17,0.22,0,82,0,1,24,2,2.64705882352941,0,0,1,0.476190476190476,0.8,0,3,1
205,8,0,1,1,3,1,1,0,0,2,0.24,1,90,2,0.0,9,1,3.5,1,1,1,2.22222222222222,0.0,0,2,5
402,0,0,1,2,0,3,2,0,6,12,0.395,0.0,47,2,0,7,1,2.58333333333333,1,4,1,0.466666666666667,0.0,0,4,0
408,5,1,1,5,4,6,3,3,6,11,1.15,15.0,72,5,4.5,13,1,17.05,1,0,1,0.666666666666667,0.333333333333333,0,3,2
196,7,5,1,3,2,1,34,4,36,22.5,0.13,1,85,4,27,49,2,3.58653846153846,0,0,1,0.352517985611511,0.7,0,2,6
504,0,0,2,2,6,4,4,0,5,7.0,0.55,0,82,5,18.0,12,2,11.4705882352941,0,1,1,0.871794871794872,0.333333333333333,0,7,4
1046,1,1,1,5,1,1,2,7,7,36,0.32,1,100,2,2,34,1,3.37777777777778,0,0,1,0.5,0.0,0,2,0
