CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,target
0.0,0.0,1.0,8.0,7.0,1.0,157.0,1.0,1.0,3.0,1.67,0.0,86.0,4.0,0.0,7.0,1.0,2.53,1.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0
0.0,0.0,1.0,8.0,9.0,1.0,147.0,1.0,0.0,1.0,2.19,0.0,86.0,7.0,0.0,5.0,2.0,3.09,1.0,1.0,0.0,1.0,0.33,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,9.0,2.0,147.0,1.0,9.0,1.0,0.57,1.0,73.0,2.0,0.0,15.0,2.0,2.54,1.0,0.0,0.0,217.0,0.69,0.0,2.0,0.0,1
0.0,0.0,1.0,0.0,4.0,1.0,37.0,1.0,0.0,1.0,1.76,0.0,33.0,6.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.5,0.0,3.0,0.0,0
0.0,0.0,1.0,0.0,4.0,1.0,63.0,2.0,4.0,0.0,1.26,0.0,100.0,6.0,1.0,7.0,2.0,2.75,0.0,0.0,0.0,0.0,0.5,0.0,3.0,1.0,0
0.0,0.0,1.0,0.0,4.0,1.0,41.0,2.0,3.0,0.0,1.24,1.0,100.0,8.0,0.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.5,0.0,3.0,0.0,0
0.0,0.0,1.0,0.0,6.0,2.0,56.0,1.0,0.0,1.0,1.12,0.0,50.0,1.0,0.0,2.0,2.0,3.2,3.0,1.0,1.0,0.0,0.5,0.0,3.0,0.0,0
1.0,0.0,2.0,0.0,6.0,3.0,42.0,1.0,0.0,1.0,0.82,1.0,66.0,1.0,0.0,2.0,2.0,4.0,3.0,2.0,1.0,0.0,0.5,0.0,3.0,0.0,0
3.0,0.0,2.0,0.0,2.0,3.0,44.0,1.0,3.0,3.0,0.32,0.0,82.0,8.0,1.0,5.0,1.0,2.2,0.0,1.0,0.0,3.0,0.5,0.0,3.0,3.0,0
0.0,0.0,1.0,0.0,4.0,2.0,39.0,1.0,1.0,0.0,1.05,2.0,100.0,4.0,1.0,4.0,1.0,2.33,1.0,2.0,0.0,1.0,0.67,0.0,3.0,2.0,0
1.0,0.0,1.0,0.0,5.0,1.0,159.0,4.0,6.0,4.0,1.15,0.0,100.0,6.0,2.0,11.0,2.0,3.1,0.0,0.0,0.0,2.0,0.33,0.0,2.0,2.0,0
0.0,2.0,1.0,0.0,4.0,1.0,51.0,1.0,0.0,0.0,7.29,0.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.5,0.0,3.0,2.0,0
0.0,0.0,1.0,0.0,8.0,1.0,56.0,1.0,2.0,1.0,1.65,0.0,75.0,7.0,1.0,6.0,1.0,2.75,1.0,2.0,0.0,0.0,0.5,0.0,3.0,1.0,0
0.0,0.0,1.0,0.0,2.0,1.0,48.0,1.0,0.0,0.0,1.09,0.0,100.0,1.0,0.0,1.0,2.0,0.4,0.0,0.0,0.0,0.0,0.5,0.0,4.0,0.0,0
1.0,0.0,1.0,0.0,9.0,1.0,262.0,3.0,7.0,4.0,1.88,0.0,100.0,6.0,2.0,9.0,2.0,2.78,1.0,0.0,0.0,0.0,0.5,0.0,2.0,1.0,0
0.0,0.0,1.0,1.0,2.0,1.0,40.0,1.0,2.0,0.0,0.39,0.0,77.0,4.0,0.0,0.0,1.0,1.33,0.0,1.0,0.0,150.0,0.33,0.0,2.0,1.0,0
0.0,1.0,1.0,0.0,6.0,1.0,35.0,1.0,0.0,0.0,7.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,2.0,1.0,0
0.0,0.0,1.0,0.0,5.0,1.0,44.0,1.0,1.0,0.0,1.33,0.0,100.0,7.0,0.0,5.0,1.0,0.75,0.0,2.0,0.0,5.0,0.4,0.0,3.0,1.0,0
0.0,0.0,1.0,0.0,5.0,1.0,56.0,1.0,3.0,1.0,2.33,0.0,60.0,6.0,5.0,3.0,1.0,4.4,0.0,0.0,0.0,0.0,0.5,0.0,3.0,1.0,0
0.0,0.0,1.0,0.0,4.0,1.0,22.0,1.0,0.0,0.0,3.14,0.0,100.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,33.0,0.33,0.0,3.0,0.0,0
2.0,0.0,1.0,0.0,5.0,2.0,39.0,1.0,0.0,0.0,0.71,0.0,100.0,6.0,0.0,1.0,1.0,1.67,0.0,2.0,0.0,102.0,0.33,0.0,3.0,0.0,0
0.0,0.0,1.0,0.0,2.0,2.0,42.0,1.0,3.0,4.0,0.34,1.0,46.0,2.0,0.0,2.0,1.0,3.62,2.0,1.0,0.0,191.0,0.33,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,1.0,1.0,28.0,3.0,1.0,0.0,0.58,1.0,50.0,2.0,0.0,5.0,2.0,1.0,0.0,1.0,0.0,93.0,0.33,0.0,3.0,1.0,0
0.0,1.0,1.0,0.0,3.0,1.0,25.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,31.0,0.33,0.0,2.0,1.0,0
1.0,0.0,1.0,1.0,8.0,2.0,112.0,1.0,6.0,0.0,0.89,1.0,95.0,3.0,7.0,15.0,1.0,3.1,1.0,0.0,0.0,47.0,0.3,0.0,3.0,5.0,1
0.0,0.0,1.0,0.0,4.0,1.0,59.0,1.0,0.0,1.0,1.59,0.0,42.0,1.0,2.0,0.0,2.0,2.14,2.0,1.0,0.0,0.0,0.5,0.0,2.0,1.0,0
0.0,0.0,1.0,0.0,4.0,1.0,39.0,2.0,2.0,0.0,1.44,0.0,100.0,6.0,1.0,2.0,2.0,1.5,1.0,0.0,0.0,0.0,0.5,0.0,4.0,0.0,0
0.0,0.0,1.0,0.0,3.0,1.0,63.0,2.0,7.0,1.0,1.12,0.0,100.0,6.0,4.0,4.0,2.0,1.3,0.0,0.0,0.0,87.0,0.2,0.0,3.0,2.0,0
