test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MAJOR_LINE,proba0,proba1
19,0,0.0,0.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,9.0,10.69,88.0,7.0,0.0,5.0,1.0,5.22222222222222,2.0,2.0,0.363636363636364,0.0,11.0,0.363636363636364,1.0,0.0,0.0,0.8206451,0.17935494
19,1,0.0,0.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,9.0,0.52,88.0,3.0,0.0,5.0,1.0,5.22222222222222,2.0,2.0,0.363636363636364,3.0,11.0,0.363636363636364,1.0,0.0,0.0,0.53949535,0.46050465
19,2,0.0,0.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,9.0,18.34,88.0,4.0,0.0,5.0,1.0,5.22222222222222,2.0,2.0,0.363636363636364,0.0,11.0,0.363636363636364,0.7,0.0,0.0,0.6242589,0.37574112
19,3,0.0,0.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,9.0,0.52,88.0,4.0,0.0,5.0,1.0,5.22222222222222,2.0,2.0,0.363636363636364,4.0,11.0,0.6,1.0,0.0,0.0,0.54303336,0.45696664
19,4,0.0,0.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,9.0,11.63,88.0,4.0,0.0,5.0,1.0,5.22222222222222,2.0,2.0,0.363636363636364,0.0,11.0,0.363636363636364,1.0,6.0,0.0,0.71053785,0.28946215
19,5,0.0,0.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,9.0,0.52,88.0,4.0,0.0,5.0,1.0,5.22222222222222,2.0,2.0,0.363636363636364,2.0,11.0,0.363636363636364,1.0,0.0,0.0,0.55310196,0.44689804
19,6,0.0,0.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,9.0,6.6,88.0,4.0,0.0,5.0,1.0,5.22222222222222,2.0,12.0,0.363636363636364,0.0,11.0,0.363636363636364,1.0,0.0,0.0,0.7459178,0.25408223
19,7,0.0,0.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,9.0,18.15,88.0,4.0,0.0,5.0,1.0,5.22222222222222,2.0,2.0,0.363636363636364,0.0,11.0,0.363636363636364,1.0,0.0,0.0,0.71053785,0.28946215
19,8,0.0,0.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,9.0,0.52,88.0,4.0,0.0,5.0,1.0,5.22222222222222,2.0,2.0,0.363636363636364,2.0,11.0,1.0,1.0,0.0,0.0,0.8966085,0.10339152
19,9,0.0,0.0,1.0,1.0,3.0,0.0,30.0,1.0,50.0,0.0,9.0,0.52,88.0,4.0,0.0,5.0,1.0,5.22222222222222,2.0,2.0,0.363636363636364,0.0,11.0,0.363636363636364,1.0,0.0,0.0,0.5195294,0.4804706
20,0,3.0,2.0,1.0,0.0,0.0,5.0,175.0,1.0,3.0,9.0,19.0,0.35,70.0,2.0,0.0,11.0,2.0,6.77777777777778,1.0,1.0,1.41379310344828,0.0,2.0,1.1,1.0,0.0,6.0,0.5190824,0.48091754
20,1,3.0,2.0,1.0,0.0,0.0,5.0,175.0,1.0,75.0,3.0,19.0,0.35,70.0,2.0,0.0,11.0,2.0,313.3,1.0,1.0,1.41379310344828,0.0,2.0,1.0,1.0,0.0,6.0,0.582854,0.41714603
20,2,3.0,2.0,1.0,0.0,0.0,5.0,175.0,1.0,3.0,3.0,96.0,0.35,70.0,2.0,0.0,11.0,2.0,6.77777777777778,1.0,1.0,1.41379310344828,0.0,2.0,1.0,1.0,0.0,2.0,0.7274657,0.2725343
20,3,3.0,2.0,1.0,0.0,0.0,5.0,175.0,1.0,3.0,3.0,19.0,0.35,42.0,2.0,0.0,11.0,2.0,6.77777777777778,1.0,1.0,1.41379310344828,0.0,2.0,1.0,1.0,3.0,6.0,0.6506309,0.3493691
20,4,3.0,2.0,1.0,0.0,0.0,5.0,175.0,1.0,3.0,3.0,96.0,0.35,70.0,2.0,0.0,2.0,2.0,6.77777777777778,1.0,1.0,1.41379310344828,0.0,2.0,1.0,1.0,0.0,2.0,0.6001999,0.39980012
