test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
57,0,17.0,7.0,1.0,1.0,0.0,2.0,1.0,418.0,26.0,17.0,32.0,151.0,0.0,3.0,19.0,14.0,2.0,0.0,2.08474576271186,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8167256366799022,0.18327436332009778,1,10.117361392142104
115,0,4.0,0.0,2.0,1.0,0.0,4.0,3.0,132.0,4.0,0.0,13.0,25.0,1.0,3.0,0.0,19.0,2.0,0.0,5.02631578947368,1.0,1.0,0.0,0.333333333333333,0.0,3.0,7.0,0.6127281425083587,0.3872718574916412,1,6.070416835285262
141,0,0.0,0.0,3.0,0.0,1.0,6.0,5.0,393.0,1.0,1.0,1.0,3.0,3.0,6.0,1.0,10.0,1.0,1.0,14.25,2.0,1.0,0.0,1.0,0.0,3.0,3.0,0.8500720185452064,0.14992798145479358,1,117.69863752862618
148,0,2.0,0.0,2.0,0.0,0.0,6.0,3.0,178.0,2.0,0.0,9.0,9.0,2.0,5.0,2.0,20.0,2.0,1.0,5.78260869565217,0.0,1.0,0.0,0.75,0.0,1.0,5.0,0.6407223552700142,0.3592776447299857,1,8.093889113713683
152,0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,115.0,2.0,7.0,40.0,101.0,0.0,4.0,2.0,28.0,6.0,0.0,1.88181818181818,1.0,1.0,0.0,1.0,0.0,1.0,5.0,0.6827531908748207,0.31724680912517955,1,4000000000000.0
491,0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,164.0,1.0,4.0,25.0,2.0,0.0,3.0,0.0,17.0,2.0,0.0,2.03092783505155,1.0,1.0,0.0,0.5,0.0,3.0,7.0,0.8379550756074448,0.1620449243925552,1,30.014838796698363
584,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,87.0,1.0,8.0,11.0,42.0,0.0,4.0,0.0,8.0,2.0,0.0,1.65116279069767,1.0,1.0,0.0,1.0,0.0,3.0,4.0,0.9293833444711882,0.07061665552881179,1,4.721435316332982
589,0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,300.0,1.0,4.0,17.0,26.0,0.0,3.0,0.0,21.0,1.0,0.0,2.52577319587629,1.0,1.0,0.0,0.666666666666667,0.0,3.0,5.0,0.7809927795048119,0.21900722049518817,1,21.246458923505582
599,0,1.0,2.0,1.0,0.0,0.0,8.0,1.0,1598.0,1.0,0.0,7.0,181.0,0.0,3.0,27.0,94.0,2.0,0.0,3.57435897435897,0.0,1.0,0.0,0.545454545454545,0.0,4.0,9.0,0.5810007011838021,0.41899929881619796,1,7.419398354237543
601,0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,104.0,2.0,9.0,13.0,52.0,0.0,5.0,0.0,10.0,2.0,0.0,1.88679245283019,1.0,1.0,0.0,0.8,0.0,3.0,5.0,0.5917302003510018,0.40826979964899823,1,6.070416835285262
637,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,97.0,1.0,1.0,12.0,47.0,0.0,1.0,0.0,13.0,2.0,0.0,1.95833333333333,1.0,1.0,0.0,0.666666666666667,0.0,1.0,3.0,0.5,0.5,1,2.0234722784284207
655,0,7.0,0.0,1.0,2.0,0.0,2.0,2.0,175.0,7.0,7.0,35.0,49.0,1.0,3.0,0.0,31.0,5.0,0.0,4.33333333333333,1.0,1.0,0.0,1.0,3.0,1.0,5.0,0.8799535094759686,0.12004649052403137,1,3000000000000.0
731,0,5.0,0.0,1.0,1.0,1.0,5.0,3.0,270.0,6.0,19.0,25.0,91.0,1.0,2.0,3.0,31.0,4.0,0.0,5.19607843137255,0.0,1.0,0.0,0.888888888888889,0.0,1.0,8.0,0.6117594791575285,0.3882405208424715,1,21.583704303243763
