test_idx,candidate_id,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,CountLineComment,CountDeclMethodProtected,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,proba0,proba1
1628,0,3.0,1.0,1.0,5.0,237.0,7.0,0.54,1.0,86.0,1.0,2.0,22.0,2.0,6.6,17.0,5.9,0.0,1.0,1.13513513513514,0.0,0.5,0.0,1.0,5.0,4.0,0.5520716907030359,0.44792830929696414
10,0,132.0,2.0,0.0,7.0,133.0,5.0,0.47,0.0,81.0,2.0,0.0,23.0,1.0,5.71428571428571,28.0,7.0,1.0,1.0,1.625,0.0,0.533333333333333,0.0,4.0,6.0,4.0,0.5187333766731882,0.48126662332681186
21,0,45.0,1.0,1.0,4.0,326.0,0.0,156.62,0.0,100.0,2.0,2.0,14.0,2.0,2.84745762711864,0.0,0.779661016949153,0.0,1.0,0.0,0.0,0.470588235294118,0.0,4.0,7.0,7.0,0.5383536001759397,0.4616463998240603
23,0,85.0,1.0,1.0,4.0,553.0,1.0,0.59,0.0,91.0,2.0,1.0,40.0,2.0,17.1,1.0,4.21818181818182,1.0,274.0,0.438848920863309,0.0,0.428571428571429,5.0,6.0,4.0,10.0,0.5187338678032766,0.4812661321967234
30,0,209.0,1.0,393.0,5.0,100.0,1.0,0.68,0.0,89.0,4.0,0.0,7.0,2.0,4.85714285714286,0.0,4.85714285714286,1.0,1.0,1.0625,0.0,0.444444444444444,0.0,2.0,4.0,4.0,0.5187851162706533,0.4812148837293469
39,0,4.0,3.0,2.0,4.0,148.0,1.0,0.7,0.0,86.0,3.0,46.0,10.0,4.0,10.8333333333333,1.0,3.25,1.0,1.0,0.769230769230769,0.0,0.461538461538462,0.0,3.0,6.0,5.0,0.5363020207265214,0.4636979792734787
44,0,0.0,2.0,0.0,7.0,148.0,0.0,205.66,0.0,0.0,4.0,0.0,6.0,3.0,56.7142857142857,2.0,4.57142857142857,2.0,1.0,0.8125,0.0,0.8,0.0,3.0,6.0,3.0,0.5187557869993755,0.4812442130006245
54,0,0.0,1.0,4.0,4.0,80.0,2.0,0.33,0.0,81.0,2.0,0.0,22.0,1.0,4.76923076923077,17.0,6.07692307692308,1.0,1.0,1.93333333333333,0.0,0.583333333333333,0.0,5.0,5.0,3.0,0.5199438762851373,0.4800561237148628
1640,0,13.0,2.0,13.0,4.0,455.0,23.0,0.4,13.0,94.0,2.0,1.0,31.0,2.0,5.62025316455696,0.0,6.13924050632911,1.0,1.0,0.91304347826087,0.0,0.538461538461538,0.0,2.0,5.0,8.0,0.5070535018508928,0.49294649814910724
186,0,0.0,1.0,0.0,7.0,516.0,0.0,168.66,0.0,0.0,1.0,0.0,146.0,1.0,4.72857142857143,0.0,17.7,1.0,1.0,0.472972972972973,0.0,0.538461538461538,0.0,3.0,6.0,7.0,0.518951236583616,0.48104876341638403
224,0,0.0,3.0,5.0,2.0,131.0,0.0,0.24,0.0,84.0,1.0,0.0,3.0,1.0,9.03571428571429,1.0,17.0,1.0,1.0,2.53333333333333,0.0,0.7,0.0,4.0,3.0,5.0,0.5391714576453899,0.4608285423546103
231,0,0.0,2.0,9.0,6.0,666.0,1.0,0.6,0.0,88.0,2.0,3.0,13.0,1.0,10.2934782608696,0.0,4.71739130434783,1.0,1.0,0.94,0.0,0.545454545454545,9.0,2.0,5.0,11.0,0.5082034370842974,0.4917965629157025
257,0,0.0,1.0,197.0,0.0,402.0,205.0,205.83,0.0,100.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.407407407407407,9.0,4.0,3.0,16.0,0.5187517693725239,0.48124823062747596
349,0,0.0,2.0,38.0,2.0,74.0,0.0,0.37,13.0,66.0,2.0,0.0,23.0,3.0,4.125,0.0,6.375,0.0,1.0,2.58333333333333,0.0,0.333333333333333,0.0,1.0,3.0,3.0,0.570844727374567,0.42915527262543285
455,0,0.0,1.0,6.0,2.0,75.0,2.0,0.27,1.0,74.0,2.0,0.0,16.0,3.0,31.3,0.0,5.70588235294118,0.0,1.0,0.708333333333333,0.0,0.333333333333333,0.0,3.0,5.0,2.0,0.5647681599640617,0.4352318400359382
456,0,1.0,1.0,18.0,0.0,149.0,10.0,205.83,1.0,100.0,3.0,0.0,15.0,2.0,3.87037037037037,0.0,6.01851851851852,0.0,0.0,0.64,0.0,0.363636363636364,0.0,2.0,5.0,2.0,0.5817455976063862,0.4182544023936137
545,0,262.0,1.0,223.0,0.0,399.0,109.0,0.02,0.0,99.0,2.0,3.0,55.0,2.0,2.61400778210117,23.0,3.49066147859922,0.0,0.0,0.448443944506937,0.0,0.6,0.0,3.0,5.0,17.0,0.5181968392675043,0.48180316073249596
574,0,236.0,1.0,1.0,6.0,209.0,0.0,0.74,0.0,66.0,1.0,0.0,19.0,1.0,6.11111111111111,3.0,4.7037037037037,1.0,1.0,0.620689655172414,0.0,0.222222222222222,0.0,4.0,6.0,13.0,0.518767091252763,0.48123290874723695
589,0,2.0,1.0,7.0,1.0,159.0,5.0,0.32,13.0,89.0,2.0,4.0,17.0,2.0,7.21538461538462,0.0,2.83076923076923,1.0,1.0,0.363636363636364,0.0,0.2,0.0,4.0,5.0,3.0,0.5137289317646828,0.486271068235317
593,0,0.0,1.0,0.0,4.0,3082.0,0.0,0.85,0.0,50.0,2.0,0.0,14.0,3.0,1.75,0.0,4.5,0.0,476.0,2.16666666666667,0.0,0.333333333333333,0.0,2.0,3.0,2.0,0.5187517823687662,0.48124821763123377
597,0,50.0,1.0,0.0,11.0,700.0,0.0,3.47,0.0,0.0,1.0,1.0,23.0,1.0,32.1,0.0,0.423728813559322,0.0,1.0,0.0,0.0,0.4,0.0,5.0,3.0,5.0,0.5259562451997898,0.47404375480021044
661,0,6.0,1.0,12.0,2.0,236.0,2.0,0.43,0.0,92.0,2.0,0.0,18.0,3.0,5.09090909090909,1.0,4.23636363636364,1.0,296.0,0.683333333333333,0.0,0.666666666666667,0.0,2.0,3.0,11.0,0.5187472626806114,0.48125273731938856
682,0,17.0,2.0,20.0,3.0,505.0,12.0,0.27,0.0,95.0,2.0,1.0,29.0,2.0,5.5929203539823,0.0,6.69026548672566,1.0,296.0,1.25,0.0,0.705882352941177,0.0,1.0,6.0,6.0,0.5187555799597316,0.48124442004026813
717,0,203.0,2.0,4.0,4.0,143.0,4.0,0.24,2.0,88.0,2.0,9.0,34.0,2.0,5.875,1.0,10.5,1.0,1.0,1.4,0.0,0.666666666666667,0.0,3.0,5.0,10.0,0.5187858843302561,0.4812141156697438
733,0,2.0,1.0,1.0,12.0,314.0,0.0,0.89,1.0,83.0,1.0,0.0,24.0,1.0,7.125,2.0,6.0,1.0,1.0,1.0,6.0,0.444444444444444,0.0,6.0,5.0,2.0,0.5165459989807811,0.483454001019219
744,0,19.0,2.0,2.0,8.0,918.0,4.0,0.42,1.0,92.0,3.0,2.0,58.0,2.0,8.4950495049505,0.0,7.76237623762376,9.0,1.0,1.5,0.0,0.387096774193548,10.0,4.0,4.0,14.0,0.5163415703257048,0.483658429674295
749,0,3.0,6.0,2.0,20.0,161.0,0.0,260.43,3.0,50.0,2.0,2.0,8.0,1.0,3.16666666666667,2.0,8.66666666666667,1.0,1.0,1.11111111111111,0.0,0.5,0.0,1.0,2.0,4.0,0.5191953818559916,0.48080461814400854
754,0,27.0,1.0,26.0,1.0,199.0,13.0,0.34,1.0,78.0,3.0,13.0,26.0,1.0,4.38,22.0,3.7,1.0,1.0,0.909090909090909,0.0,0.25,0.0,2.0,6.0,3.0,0.5343826712311839,0.4656173287688161
757,0,195.0,2.0,365.0,6.0,131.0,2.0,0.47,0.0,68.0,3.0,0.0,23.0,2.0,4.8125,1.0,8.5,2.0,1.0,1.3,0.0,0.375,0.0,3.0,5.0,3.0,0.5189165486646529,0.48108345133534697
771,0,0.0,1.0,1.0,5.0,66.0,2.0,0.36,1.0,55.0,2.0,2.0,23.0,1.0,7.875,25.0,9.5,2.0,1.0,1.8,0.0,0.3,1.0,4.0,7.0,5.0,0.5244380789399934,0.4755619210600068
772,0,0.0,2.0,503.0,1.0,27.0,3.0,0.25,1.0,60.0,3.0,0.0,18.0,1.0,3.6,0.0,8.8,1.0,1.0,1.57142857142857,0.0,0.25,0.0,5.0,6.0,4.0,0.5187517587870343,0.48124824121296567
777,0,1.0,2.0,1.0,4.0,45.0,0.0,0.32,1.0,50.0,3.0,0.0,11.0,1.0,4.66666666666667,0.0,8.0,1.0,1.0,2.125,3.0,0.5,0.0,3.0,5.0,2.0,0.6654324830404658,0.33456751695953424
780,0,236.0,3.0,1.0,9.0,99.0,0.0,0.41,1.0,67.0,2.0,1.0,22.0,1.0,6.375,1.0,12.5,1.0,1.0,2.2,0.0,0.4,0.0,5.0,5.0,13.0,0.5187571091009531,0.48124289089904687
784,0,1.0,1.0,1.0,1.0,46.0,4.0,145.26,0.0,67.0,2.0,6.0,18.0,1.0,6.27272727272727,1.0,5.81818181818182,0.0,1.0,1.46153846153846,0.0,0.333333333333333,0.0,3.0,5.0,5.0,0.5880262268006006,0.41197377319939943
787,0,13.0,1.0,2.0,3.0,568.0,3.0,0.25,13.0,100.0,2.0,6.0,249.0,6.0,5.81528662420382,0.0,6.81528662420382,1.0,0.0,0.914634146341463,0.0,0.306122448979592,7.0,4.0,7.0,8.0,0.5168460119456136,0.4831539880543863
790,0,21.0,4.0,1.0,0.0,28.0,1.0,0.02,0.0,97.0,2.0,0.0,15.0,2.0,4.44117647058824,21.0,5.27941176470588,1.0,217.0,2.77464788732394,0.0,0.333333333333333,0.0,5.0,3.0,3.0,0.5190589292979998,0.4809410707020001
792,0,2.0,1.0,3.0,4.0,2272.0,0.0,0.43,0.0,87.0,1.0,0.0,31.0,2.0,7.17647058823529,0.0,5.61764705882353,18.0,1.0,1.05263157894737,0.0,0.4,0.0,5.0,7.0,9.0,0.5241917465757285,0.4758082534242714
793,0,20.0,1.0,0.0,5.0,161.0,0.0,3.04,0.0,0.0,2.0,2.0,154.0,1.0,3.51851851851852,0.0,0.518518518518518,0.0,1.0,0.0,6.0,0.583333333333333,0.0,3.0,6.0,6.0,0.5186973115439868,0.4813026884560134
800,0,12.0,1.0,506.0,5.0,323.0,0.0,0.59,0.0,90.0,1.0,0.0,26.0,1.0,5.88636363636364,1.0,4.84090909090909,1.0,1.0,1.02173913043478,0.0,0.363636363636364,0.0,4.0,7.0,15.0,0.5187517631213779,0.48124823687862206
805,0,0.0,1.0,1.0,1.0,40.0,2.0,0.31,0.0,67.0,3.0,0.0,21.0,2.0,3.1,29.0,6.6,1.0,1.0,0.666666666666667,0.0,0.375,0.0,2.0,6.0,5.0,0.5168041711253241,0.4831958288746757
809,0,4.0,1.0,251.0,8.0,313.0,0.0,0.55,2.0,84.0,1.0,0.0,46.0,2.0,6.07142857142857,1.0,9.60714285714286,0.0,1.0,1.1,0.0,0.25,0.0,2.0,6.0,10.0,0.5169778952316199,0.4830221047683799
812,0,9.0,2.0,5.0,3.0,371.0,1.0,0.3,1.0,100.0,3.0,1.0,36.0,2.0,6.79411764705882,0.0,6.01470588235294,1.0,0.0,1.4390243902439,6.0,0.5,0.0,2.0,6.0,8.0,0.518818642917015,0.4811813570829849
842,0,1.0,1.0,0.0,4.0,46.0,0.0,0.34,0.0,55.0,1.0,42.0,25.0,2.0,2.14285714285714,1.0,11.2857142857143,1.0,1.0,1.7,0.0,0.5,0.0,4.0,4.0,1.0,0.5785917286582748,0.42140827134172515
853,0,2.0,2.0,1.0,3.0,66.0,8.0,0.4,0.0,80.0,1.0,2.0,24.0,1.0,4.46153846153846,1.0,5.84615384615385,0.0,1.0,1.17647058823529,4.0,0.3,0.0,3.0,5.0,3.0,0.5506390565928204,0.44936094340717964
872,0,7.0,2.0,1.0,6.0,152.0,1.0,157.35,0.0,71.0,2.0,6.0,13.0,2.0,6.05,0.0,7.45,1.0,1.0,1.16666666666667,0.0,0.285714285714286,0.0,3.0,5.0,7.0,0.5490902297241756,0.4509097702758243
875,0,43.0,1.0,13.0,6.0,1645.0,117.0,0.46,1.0,4.0,1.0,4.0,97.0,2.0,10.1880733944954,0.0,6.60091743119266,0.0,0.0,1.03846153846154,0.0,0.327868852459016,8.0,4.0,6.0,23.0,0.5184716015548918,0.48152839844510814
877,0,17.0,1.0,9.0,4.0,932.0,31.0,0.3,0.0,96.0,3.0,38.0,238.0,7.0,6.29411764705882,0.0,8.17058823529412,1.0,1.0,1.23076923076923,0.0,0.8,9.0,3.0,7.0,23.0,0.518561829627706,0.481438170372294
880,0,8.0,1.0,10.0,2.0,423.0,4.0,0.33,0.0,94.0,1.0,1.0,59.0,2.0,51.9,0.0,6.49019607843137,1.0,1.0,0.906542056074766,0.0,0.4,5.0,5.0,5.0,8.0,0.5092634371405624,0.4907365628594375
893,0,150.0,2.0,6.0,4.0,354.0,0.0,0.6,0.0,88.0,2.0,0.0,230.0,2.0,5.78260869565217,0.0,6.10869565217391,1.0,1.0,1.16,0.0,0.25,0.0,6.0,6.0,9.0,0.5187328027013484,0.48126719729865175
895,0,7.0,2.0,5.0,2.0,141.0,0.0,36.16,0.0,87.0,2.0,2.0,19.0,2.0,4.08571428571429,23.0,5.42857142857143,1.0,1.0,1.29268292682927,0.0,0.222222222222222,0.0,4.0,6.0,10.0,0.515994718618141,0.484005281381859
