test_idx,candidate_id,CountDeclMethodPrivate,AvgEssential,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed
1,0,1.0,1.0,1.0,0.0,28.0,4.0,15.0,0.22,0.0,90.0,2.0,1.0,3.0,2.0,1.82352941176471,1.0,1.0,1.0,0.487179487179487,0.0,1.0,0.0,3.0,4.0,0.5234439554068452,0.4765560445931548,1
1,1,1.0,1.0,1.0,0.0,21.0,4.0,15.0,43.0,0.0,90.0,2.0,1.0,3.0,2.0,1.82352941176471,1.0,1.0,1.0,0.487179487179487,0.0,1.0,0.0,3.0,4.0,0.9939472276217061,0.0060527723782939635,2
1,2,1.0,1.0,1.0,0.0,21.0,4.0,15.0,43.0,0.0,90.0,2.0,1.0,3.0,2.0,1.82352941176471,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,0.9975097394798413,0.0024902605201586546,3
1,3,1.0,1.0,1.0,0.0,21.0,4.0,15.0,43.0,0.0,0.0,2.0,1.0,3.0,2.0,1.82352941176471,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,0.9985372245893748,0.0014627754106252761,4
1,4,1.0,1.0,1.0,0.0,21.0,4.0,15.0,43.0,0.0,0.0,2.0,1.0,3.0,2.0,1.82352941176471,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.9992267894201415,0.0007732105798584375,5
1,5,1.0,1.0,1.0,0.0,21.0,4.0,15.0,43.0,0.0,90.0,2.0,104.0,3.0,2.0,1.82352941176471,1.0,1.0,1.0,0.487179487179487,0.0,1.0,0.0,3.0,4.0,0.9978156611141082,0.0021843388858917723,3
1,6,1.0,1.0,1.0,0.0,21.0,4.0,15.0,43.0,0.0,90.0,2.0,104.0,3.0,2.0,1.82352941176471,1.0,1.0,1.0,0.487179487179487,0.0,1.0,0.0,3.0,1.0,0.9986493743593485,0.0013506256406514631,4
1,7,1.0,1.0,1.0,0.0,28.0,4.0,15.0,43.0,0.0,90.0,2.0,1.0,207.0,2.0,1.82352941176471,1.0,1.0,1.0,0.487179487179487,0.0,1.0,0.0,3.0,4.0,0.9944149359950565,0.005585064004943492,2
1,8,1.0,1.0,1.0,0.0,28.0,4.0,15.0,43.0,0.0,90.0,2.0,1.0,207.0,2.0,1.82352941176471,1.0,1.0,1.0,4.0,0.0,1.0,0.0,3.0,4.0,0.9971444576811147,0.002855542318885325,3
1,9,1.0,1.0,1.0,0.0,28.0,4.0,15.0,43.0,1.0,90.0,2.0,1.0,207.0,2.0,1.82352941176471,1.0,1.0,1.0,4.0,0.0,1.0,0.0,3.0,4.0,0.9979531585302179,0.0020468414697820845,4
1,10,1.0,1.0,1.0,0.0,28.0,4.0,15.0,43.0,1.0,0.0,2.0,1.0,207.0,2.0,1.82352941176471,1.0,1.0,1.0,4.0,0.0,1.0,0.0,3.0,4.0,0.9984996807095287,0.0015003192904713444,5
1,11,1.0,1.0,1.0,0.0,21.0,4.0,15.0,43.0,0.0,0.0,2.0,1.0,3.0,2.0,1.82352941176471,1.0,1.0,1.0,0.487179487179487,0.0,1.0,0.0,3.0,4.0,0.9967461726464744,0.0032538273535256666,3
1,12,1.0,1.0,1.0,0.0,21.0,4.0,15.0,43.0,0.0,0.0,2.0,1.0,3.0,2.0,1.82352941176471,1.0,1.0,1.0,0.487179487179487,0.0,1.0,0.0,3.0,1.0,0.9982180327304658,0.0017819672695341996,4
1,13,1.0,1.0,1.0,0.0,18.0,4.0,15.0,43.0,0.0,90.0,2.0,1.0,207.0,2.0,1.82352941176471,1.0,1.0,1.0,0.487179487179487,0.0,1.0,0.0,3.0,4.0,0.9974896657890979,0.002510334210902085,3
1,14,1.0,1.0,1.0,0.0,18.0,0.0,15.0,43.0,0.0,90.0,2.0,1.0,207.0,2.0,1.82352941176471,1.0,1.0,1.0,0.487179487179487,0.0,1.0,0.0,3.0,4.0,0.9988143959408513,0.0011856040591486671,4
1,15,1.0,1.0,1.0,0.0,18.0,0.0,15.0,43.0,0.0,90.0,2.0,1.0,19.0,2.0,1.82352941176471,1.0,1.0,1.0,0.487179487179487,0.0,1.0,0.0,3.0,4.0,0.9990948635111502,0.0009051364888497912,4
1,16,1.0,1.0,1.0,0.0,18.0,0.0,15.0,43.0,0.0,90.0,2.0,1.0,19.0,2.0,1.82352941176471,1.0,1.0,1.0,0.487179487179487,0.0,1.0,0.0,3.0,13.0,0.9992847305409183,0.0007152694590817782,5
1,17,1.0,1.0,1.0,0.0,28.0,4.0,15.0,43.0,0.0,90.0,2.0,1.0,3.0,2.0,1.82352941176471,1.0,1.0,1.0,4.0,0.0,1.0,0.0,3.0,4.0,0.9918059501565761,0.008194049843423876,2
1,18,1.0,1.0,1.0,0.0,28.0,4.0,15.0,43.0,0.0,90.0,2.0,1.0,3.0,2.0,1.82352941176471,1.0,1.0,1.0,4.0,0.0,1.0,0.0,3.0,13.0,0.9958184520953149,0.004181547904685053,3
1,19,1.0,1.0,0.0,0.0,28.0,4.0,15.0,43.0,0.0,90.0,2.0,1.0,3.0,2.0,1.82352941176471,1.0,1.0,1.0,4.0,0.0,1.0,0.0,3.0,13.0,0.996353698959881,0.0036463010401190064,4
24,0,6.0,1.0,22.0,0.0,59.556,8.0,318.0,0.29,0.0,100.0,2.0,5.0,3.0,1.0,8.8030303030303,0.0,0.0,0.0,0.368421052631579,0.0,0.37037037037037,1.0,4.0,14.0,0.6893198058694157,0.3106801941305844,1
24,1,6.0,1.0,22.0,0.0,18.0,8.0,318.0,0.29,0.0,100.0,2.0,5.0,3.0,1.0,8.8030303030303,0.0,0.0,0.0,0.368421052631579,0.0,1.0,1.0,4.0,14.0,0.9742341425782853,0.02576585742171464,2
24,2,6.0,1.0,22.0,0.0,18.0,8.0,318.0,43.0,0.0,100.0,2.0,5.0,3.0,1.0,8.8030303030303,0.0,0.0,0.0,0.368421052631579,0.0,1.0,1.0,4.0,14.0,0.9949100418220934,0.005089958177906621,3
24,3,6.0,1.0,22.0,0.0,18.0,8.0,318.0,43.0,0.0,100.0,2.0,5.0,3.0,1.0,8.8030303030303,0.0,0.0,0.0,0.368421052631579,0.0,1.0,1.0,1.0,14.0,0.9984801352930406,0.0015198647069594262,4
24,4,6.0,1.0,22.0,0.0,18.0,8.0,318.0,43.0,0.0,100.0,2.0,5.0,3.0,1.0,8.8030303030303,0.0,35.0,0.0,0.368421052631579,0.0,1.0,1.0,1.0,14.0,0.9988730067486055,0.0011269932513945566,5
24,5,6.0,1.0,22.0,0.0,18.0,8.0,318.0,43.0,0.0,100.0,2.0,5.0,11.0,1.0,8.8030303030303,0.0,0.0,0.0,0.368421052631579,0.0,1.0,1.0,4.0,14.0,0.9979285466652128,0.0020714533347871503,4
24,6,6.0,1.0,22.0,0.0,18.0,8.0,318.0,43.0,0.0,100.0,2.0,5.0,11.0,1.0,2.0,0.0,0.0,0.0,0.368421052631579,0.0,1.0,1.0,4.0,14.0,0.9984899859102414,0.0015100140897586272,5
24,7,6.0,1.0,22.0,0.0,18.0,8.0,318.0,1.06,0.0,100.0,2.0,5.0,11.0,1.0,2.0,0.0,0.0,0.0,0.368421052631579,0.0,1.0,1.0,4.0,14.0,0.9989637049692595,0.0010362950307405622,5
24,8,6.0,1.0,22.0,0.0,18.0,8.0,318.0,43.0,0.0,100.0,2.0,5.0,11.0,1.0,8.8030303030303,0.0,0.0,0.0,0.368421052631579,0.0,1.0,1.0,1.0,14.0,0.9993827761916969,0.0006172238083030633,5
24,9,6.0,1.0,22.0,0.0,18.0,8.0,318.0,43.0,0.0,100.0,2.0,5.0,3.0,1.0,2.0,0.0,0.0,0.0,0.368421052631579,0.0,1.0,1.0,4.0,14.0,0.9967646682382706,0.0032353317617293833,4
24,10,6.0,1.0,22.0,0.0,18.0,8.0,318.0,0.55,0.0,100.0,2.0,5.0,3.0,1.0,2.0,0.0,0.0,0.0,0.368421052631579,0.0,1.0,1.0,4.0,14.0,0.9979888321200666,0.00201116787993337,4
24,11,6.0,1.0,22.0,0.0,18.0,8.0,318.0,0.55,0.0,100.0,2.0,5.0,3.0,1.0,2.0,0.0,35.0,0.0,0.368421052631579,0.0,1.0,1.0,4.0,14.0,0.9987219178505784,0.0012780821494215548,5
24,12,6.0,1.0,22.0,0.0,18.0,8.0,318.0,0.55,0.0,100.0,2.0,5.0,3.0,1.0,2.6,0.0,35.0,0.0,0.368421052631579,0.0,1.0,1.0,4.0,14.0,0.9987518714961455,0.0012481285038544979,5
24,13,6.0,1.0,22.0,0.0,18.0,8.0,318.0,43.0,0.0,100.0,2.0,5.0,3.0,1.0,8.8030303030303,0.0,0.0,0.0,1.7,0.0,1.0,1.0,4.0,14.0,0.9963773984922172,0.003622601507782857,4
24,14,6.0,1.0,22.0,3.0,18.0,8.0,318.0,43.0,0.0,100.0,2.0,5.0,3.0,1.0,8.8030303030303,0.0,0.0,0.0,1.7,0.0,1.0,1.0,4.0,14.0,0.9965776008966211,0.00342239910337891,5
24,15,6.0,1.0,22.0,3.0,18.0,8.0,318.0,1.06,0.0,100.0,2.0,5.0,3.0,1.0,8.8030303030303,0.0,0.0,0.0,1.7,0.0,1.0,1.0,4.0,14.0,0.9973878215213633,0.0026121784786366695,5
24,16,6.0,1.0,22.0,3.0,21.0,8.0,318.0,1.06,0.0,100.0,2.0,5.0,3.0,1.0,8.8030303030303,0.0,0.0,0.0,1.7,0.0,1.0,1.0,4.0,14.0,0.997751874378227,0.0022481256217730594,5
24,17,6.0,1.0,22.0,0.0,18.0,8.0,318.0,43.0,0.0,100.0,0.0,5.0,3.0,1.0,8.8030303030303,0.0,0.0,0.0,1.7,0.0,1.0,1.0,4.0,14.0,0.997158417315816,0.002841582684183954,5
24,18,6.0,1.0,22.0,0.0,18.0,8.0,318.0,1.06,0.0,100.0,0.0,5.0,3.0,1.0,8.8030303030303,0.0,0.0,0.0,1.7,0.0,1.0,1.0,4.0,14.0,0.9971820916729712,0.0028179083270288047,5
24,19,6.0,1.0,22.0,0.0,21.0,8.0,318.0,1.06,0.0,100.0,0.0,5.0,3.0,1.0,8.8030303030303,0.0,0.0,0.0,1.7,0.0,1.0,1.0,4.0,14.0,0.9975747468710867,0.0024252531289133,5
64,0,3.0,1.0,1.0,0.0,22.0,6.0,0.0,0.39,1.0,0.0,2.0,0.0,3.0,2.0,1.35714285714286,0.0,1.0,1.0,0.523809523809524,0.0,1.0,0.0,3.0,0.0,0.8867224964686866,0.1132775035313134,1
64,1,3.0,1.0,1.0,0.0,22.0,6.0,0.0,43.0,1.0,0.0,2.0,0.0,3.0,2.0,1.35714285714286,0.0,1.0,1.0,4.0,0.0,1.0,0.0,3.0,0.0,0.9978637748740317,0.0021362251259683784,2
64,2,3.0,1.0,1.0,0.0,22.0,6.0,0.0,0.23,1.0,0.0,2.0,0.0,3.0,2.0,1.35714285714286,0.0,1.0,1.0,0.7,0.0,1.0,0.0,3.0,0.0,0.5022385330494404,0.49776146695055956,1
