test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
19,0,0.0,0.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,9.0,0.52,88.0,4.0,0.0,5.0,1.0,5.22222222222222,2.0,2.0,0.363636363636364,0.0,11.0,0.8983931107954546,1.0,0.0,0.0,0.5,0.5,1,7.936444436943589
20,0,3.0,2.0,1.0,0.0,0.0,5.0,175.0,1.0,3.0,3.0,19.0,0.35,70.0,2.0,0.0,11.0,2.0,6.77777777777778,1.0,1.0,1.41379310344828,0.0,2.0,0.897126677852349,1.0,0.0,6.0,0.5,0.5,1,7.158836005628238
30,0,4.0,3.0,1.0,0.0,0.0,4.0,231.0,1.0,2.0,6.0,30.0,0.33,84.0,2.0,0.0,16.0,2.0,7.1025641025641,1.0,1.0,1.21951219512195,0.0,3.495361328125,0.9980598710788973,0.666666666666667,0.0,5.0,0.5,0.5,2,23504638671875.0
41,0,12.0,9.0,1.0,9.0,0.0,2.0,255.994873046875,1.0,35.0,36.0,94.0,0.28,96.0,1.0,1.0,36.0,3.0,5.4,0.0,0.0,0.907894736842105,0.0,10.0,0.9895547749455187,1.0,0.0,1.4990234375,0.5,0.5,3,10.448934193358296
44,0,25.0,19.0,2.0,13.0,0.0,1.0,108.498046875,1.0,6.0,28.0,35.0,0.24,94.0,1.0,1.0,29.0,1.0,8.36470588235294,0.0,0.0,0.632183908045977,0.0,0.0,0.9825,0.0,0.0,7.0,0.5,0.5,2,6.254787078149597
59,0,0.0,8.0,1.0,9.0,1.0,4.0,156.0,1.0,8.0,9.0,8.0,0.8,94.0,1.0,2.0,9.0,2.0,7.75,0.0,0.0,0.615384615384615,0.0,2.0,0.5055078604883296,1.0,0.0,3.0,0.5,0.5,1,1.1574586103356266
67,0,25.0,24.0,1.0,22.0,2.0,3.0,108.46728515625,2.0,4.0,12.0,77.0,0.25,93.0,2.0,2.0,37.0,3.0,7.99230769230769,0.0,1.0,1.11278195488722,0.0,0.0,0.9988543933924914,0.0,0.0,9.0,0.5,0.5,2,12.864463828896248
71,0,76.0,12.0,1.0,29.0,0.0,2.0,100.4229793548584,1.0,16.0,53.0,206.0,0.23,96.0,1.0,1.0,40.0,3.0,7.35161290322581,0.0,0.0,1.38461538461538,0.0,0.0,0.384935231089077,0.0,0.0,0.4990234375,0.5,0.5,2,17.874693513877972
80,0,2.0,4.0,1.0,4.0,3.0,2.0,198.0,3.0,2.0,11.0,28.0,0.72,92.0,3.0,4.0,11.0,2.0,29.3055555555556,1.0,1.0,0.45,0.0,0.0,0.9874476322897304,0.0,0.0,3.0,0.5,0.5,1,5.303305068188771
85,0,21.0,32.0,1.0,16.0,1.0,2.0,108.4453125,1.0,12.0,43.0,82.0,0.28,95.0,1.0,2.0,23.0,3.0,6.39455782312925,0.0,0.0,1.24832214765101,0.0,0.0,0.530458590006845,0.0,0.0,1.5,0.5,0.5,2,9.910364595316121
88,0,1.0,0.0,8.0,18.0,2.0,4.0,59.0,1.0,0.0,0.0,2.0,0.52,37.0,1.0,0.0,5.0,1.0,27.6666666666667,0.0,1.0,1.4,0.0,0.0,0.8177415882520529,0.0,0.0,1.0,0.51,0.49,1,4.7156739468280255
98,0,2.0,0.0,1.0,0.0,0.0,9.0,195.0,1.0,2.0,10.0,12.0,0.83,79.0,1.0,2.0,21.0,2.0,4.5625,1.0,0.0,1.38888888888889,0.0,0.0,0.9261820299274598,0.0,0.0,3.0,0.5,0.5,1,9.024869566503543
120,0,18.496218025684357,7.0,1.0,1.0,0.0,2.0,52.455322265625,1.0,32.0,34.0,12.493408203125,0.34,96.0,2.0,1.0,40.0,1.0,5.20454545454545,0.0,0.0,0.477611940298507,0.0,14.0,0.669376693766938,1.0,0.0,10.0,0.5,0.5,3,21503781974315.645
