test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
59,0,17.0,7.0,1.0,1.0,0.0,2.0,1.0,417.0,26.0,2.0,32.0,8.0,0.0,3.0,19.0,14.0,2.0,0.0,2.19318181818182,0.0,0.0,0.0,0.5,1.0,2.0,0.5587385,0.44126147
59,1,17.0,7.0,1.0,1.0,0.0,2.0,1.0,417.0,26.0,2.0,32.0,31.0,0.0,3.0,19.0,14.0,2.0,0.0,2.19318181818182,0.0,0.0,0.0,0.0,1.0,2.0,0.83814716,0.16185284
59,2,17.0,7.0,1.0,1.0,0.0,2.0,1.0,417.0,26.0,2.0,32.0,4.0,0.0,3.0,19.0,14.0,2.0,0.0,2.19318181818182,15.0,0.0,0.0,0.5,1.0,2.0,0.68630165,0.31369835
59,3,17.0,7.0,1.0,1.0,0.0,8.0,1.0,417.0,26.0,2.0,32.0,150.0,0.0,3.0,19.0,14.0,2.0,0.0,2.19318181818182,0.0,0.0,0.0,0.0,1.0,2.0,0.62185144,0.3781486
59,4,17.0,7.0,1.0,1.0,0.0,2.0,1.0,417.0,26.0,2.0,32.0,8.0,0.0,3.0,2257.0,14.0,2.0,0.0,2.19318181818182,0.0,0.0,0.0,0.5,1.0,2.0,0.5587385,0.44126147
59,5,17.0,7.0,1.0,1.0,0.0,15.0,1.0,417.0,26.0,2.0,32.0,15.0,0.0,3.0,19.0,14.0,2.0,0.0,2.19318181818182,0.0,0.0,0.0,0.5,1.0,2.0,0.794195,0.205805
59,6,17.0,7.0,1.0,1.0,0.0,2.0,1.0,417.0,26.0,2.0,32.0,7.0,0.0,3.0,19.0,14.0,2.0,0.0,2.19318181818182,0.0,0.0,0.0,0.5,1.0,2.0,0.58329713,0.41670284
59,7,17.0,7.0,1.0,1.0,0.0,2.0,1.0,417.0,26.0,2.0,32.0,6.0,0.0,3.0,19.0,14.0,2.0,0.0,2.19318181818182,6.0,0.0,0.0,0.5,1.0,2.0,0.7832708,0.21672921
59,8,17.0,7.0,1.0,1.0,39.0,2.0,1.0,417.0,26.0,2.0,32.0,150.0,0.0,3.0,19.0,14.0,2.0,0.0,2.19318181818182,19.0,0.0,0.0,0.5,1.0,2.0,0.5631809,0.43681908
59,9,17.0,7.0,1.0,1.0,7.0,2.0,1.0,417.0,26.0,2.0,32.0,150.0,0.0,3.0,19.0,14.0,2.0,0.0,2.19318181818182,0.0,0.0,0.0,0.5,3.0,2.0,0.64700574,0.35299426
106,0,16.0,0.0,3.0,3.0,4.0,5.0,5.0,204.0,2.0,18.0,11.0,13.0,2.0,1.0,2843.0,35.0,2.0,2.0,8.52941176470588,1.0,1.0,0.0,0.1,2.0,7.0,0.5093763,0.49062374
