Antecedent,Antecedent Coverage %,Confidence,Lift
0.8 < CountClassCoupled <= 2.9,0.21964,0.9878,1.15424
CountClassCoupled <= 0.8,0.18705,0.98091,1.14618
RatioCommentToCode > 1.8,0.19375,0.97235,1.13618
2.9 < CountClassCoupled <= 6,0.20179,0.97124,1.13489
CountDeclClass <= 0.765,0.07634,0.96491,1.12749
Added_lines <= 0,0.18527,0.96145,1.12344
CountOutput_Mean <= 1.72,0.20536,0.96087,1.12277
MaxInheritanceTree <= 1.09,0.22768,0.96078,1.12267
1.15 < CountDeclMethodPublic <= 3.65,0.21473,0.95634,1.11748
1.72 < CountOutput_Mean <= 2.76,0.19688,0.95465,1.1155
