Antecedent,Antecedent Coverage %,Confidence,Lift
CountClassCoupled <= 1.05,0.2125,0.98109,1.12182
RatioCommentToCode > 1.46,0.18884,0.97872,1.11911
1.3 < CountDeclMethodPublic <= 3.45,0.18571,0.96394,1.10221
OWN_COMMIT <= 0.14,0.20268,0.96035,1.09811
1.05 < CountClassCoupled <= 3.2,0.19598,0.959,1.09656
3.2 < CountClassCoupled <= 6.2,0.19464,0.95642,1.09361
0.6 < Added_lines <= 19,0.19375,0.95161,1.08811
1.96 < CountOutput_Mean <= 3.32,0.19464,0.94954,1.08574
Added_lines <= 0.6,0.21875,0.94898,1.0851
1.1 < MaxInheritanceTree <= 1.91,0.1567,0.94872,1.0848
