Antecedent,Antecedent Coverage %,Confidence,Lift
CountClassCoupled <= 0.9,0.19911,0.98879,1.1645
0.9 < CountClassCoupled <= 3.25,0.2125,0.97269,1.14554
-0.23 < AvgLineBlank <= 0.16 & 0.76 < CountDeclClass <= 1.07,0.2567,0.97217,1.14494
CountOutput_Mean <= 1.56,0.19464,0.95642,1.12639
3.25 < CountClassCoupled <= 6,0.18884,0.95508,1.12481
RatioCommentToCode > 1.805,0.20179,0.95354,1.12299
-0.05 < MAJOR_LINE <= 0.56,0.31116,0.94692,1.11519
CountDeclMethodPublic <= 1.3,0.20446,0.94541,1.11342
0.99 < RatioCommentToCode <= 1.805,0.18304,0.93902,1.1059
1.56 < CountOutput_Mean <= 2.96,0.21205,0.93895,1.10581
