feature,mean_abs_weight,mean_weight,count,fraction_selected
CountDeclInstanceVariable,0.04020154567637442,-0.032429376161906664,82,1.0
Del_lines,0.036912130635049265,-0.024169198011285104,82,1.0
OWN_LINE,0.02483250212404514,-0.01826162540428785,82,1.0
CountDeclMethodProtected,0.023852430033568874,-0.01179332002819616,82,1.0
CountClassCoupled,0.017437064683993433,-0.0120079363270732,82,1.0
MAJOR_LINE,0.01565151006833752,-0.0036288839790727125,82,1.0
CountDeclClassVariable,0.015227849800764331,0.010238849340684471,82,1.0
PercentLackOfCohesion,0.014435709102249958,-0.01212947027894932,82,1.0
AvgLineComment,0.01133551085261208,-0.003757674373579454,82,1.0
CountClassDerived,0.009324409239728932,-0.0003409651362443328,82,1.0
AvgCyclomaticModified,0.008598715834416647,0.0023180314833743257,82,1.0
CountDeclClass,0.007799742216470073,0.0022232247192769173,82,1.0
CountInput_Min,0.007484675437368782,0.0020971220534517425,82,1.0
CountOutput_Min,0.007409676912163428,-0.002501693539617051,82,1.0
CountClassBase,0.006240889304039495,-0.002647976976490875,82,1.0
AvgLineBlank,0.006041167531463471,-0.0028268168832332923,82,1.0
CountDeclMethodPrivate,0.005945130726511058,-0.002149180666880365,82,1.0
RatioCommentToCode,0.004763449847570055,-0.003946187694582608,82,1.0
MaxNesting_Min,0.0039457450757415385,0.001486702928585614,81,0.9878048780487805
CountDeclClassMethod,0.003854110462285001,0.0019258903928225035,82,1.0
CountDeclMethodDefault,0.003770118837869148,-0.0007798393263655727,82,1.0
CountInput_Mean,0.003444426136750371,0.002859224020966866,82,1.0
AvgEssential,0.0031370963870471042,-7.733583168408177e-05,82,1.0
CountLineComment,0.002518019797550182,7.667007476080949e-05,82,1.0
MaxInheritanceTree,0.0023633928176512438,0.0015635030902495135,82,1.0
