,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MAJOR_LINE
80,2,4,1,4,0,2,198,3,2,11,28,0.72,92,3,4,11,2,29.3055555555556,1,1,0.45,0,0,0.630111524163569,0.0,0,3
59,0,8,1,9,1,4,156,1,8,9,4,0.8,94,1,2,9,2,7.75,0,0,0.615384615384615,0,2,0.427518427518428,1.0,0,3
41,12,9,1,9,0,2,29,1,35,36,94,0.28,96,1,1,36,3,5.4,0,0,0.907894736842105,0,10,0.403259506895111,1.0,0,8
67,25,24,1,22,2,3,23,2,4,12,77,0.25,93,2,2,37,3,7.99230769230769,0,1,1.11278195488722,0,0,0.329656476520643,0.0,0,9
71,76,12,1,29,0,2,26,1,16,53,206,0.23,96,1,1,40,3,7.35161290322581,0,0,1.38461538461538,0,0,0.384935231089077,0.0,0,7
20,3,2,1,0,0,5,36,1,3,3,19,0.35,70,2,0,11,2,6.77777777777778,1,1,1.41379310344828,0,2,0.414765100671141,1.0,0,6
88,1,0,8,18,2,4,59,1,0,0,2,0,37,1,0,5,1,27.6666666666667,0,1,1.4,0,1.88,0.5,0.0,0,1
30,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,14,46,1,1,1,1,368,1,25,12,2,0.33,85,1,1,21,1,7.73563218390805,1,1,0.775280898876405,0,60,0.605780346820809,1.0,0,0
156,8,7,1,33,23,3,26,2,0,20,54,0.85,98,1,1,12,3,4.39130434782609,0,1,0.602739726027397,0,109,0.488311688311688,0.666666666666667,0,8
194,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,155,6,2,26,6,13,23,2,26,37,4,0.52,96,2,0,73,1,9.35078534031414,0,1,1.52061855670103,0,25,0.82404181184669,1.0,0,15
140,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,4,0,1,13,3,9,194,3,4,3,2,0.73,80,1,0,1,2,5.4,0,1,2.28571428571429,0,1,0.84394250513347,1.0,0,2
145,6,0,2,22,1,10,281,1,3,15,14,0.41,91,1,0,17,2,10.4782608695652,2,1,0.15000000000000002,0,0,0.720081135902637,1.0,0,4
218,0,0,10,39,2,9,30,1,2,0,0,0.46,97,1,0,4,1,28.0,4,1,0.75,0,0,0.958847736625514,0.0,0,3
224,1,1,1,9,0,5,24,1,12,16,0,0.79,88,1,0,7,1,5.07142857142857,1,1,1.125,0,0,0.713310580204778,0.0,0,1
226,1,0,11,0,3,14,29,1,3,0,0,0.55,0,1,0,4,1,22.75,0,1,1.16666666666667,0,0,0.962264150943396,0.0,0,2
383,9,0,2,0,7,8,30,1,0,3,31,0.92,65,1,0,4,3,19.7,1,0,0.80952380952381,0,0,0.682012847965739,0.0,0,2
463,0,0,1,23,0,6,76,1,0,0,6,2.05,0,100,1,2,0,2.66666666666667,0,0,0.111111111111111,0,0,0.594202898550725,0.0,0,3
465,0,33,1,14,0,6,31,1,0,0,90,4.43,100,1,1,25,1,4.31707317073171,0,0,0.0,0,44,0.802161263507897,0.5,0,6
483,0,2,1,4,0,9,356,1,0,9,33,1.12,92,2,2,19,4,5.42857142857143,0,1,0.648648648648649,0,0,0.915006640106242,0.0,0,3
486,0,1,1,46,0,10,29,1,0,1,122,3.39,100,0,2,35,0,4.30894308943089,0,0,0.0,0,13,0.762361251261352,0.5,0,10
617,0,2,1,43,0,12,715,1,0,1,35,4.64,100,1,1,11,1,1.91891891891892,0,0,0.0,0,5,0.754146341463415,0.0,0,0
511,4,0,1,10,0,6,22,2,1,14,64,0.84,95,2,0,28,3,9.97101449275362,0,1,0.694444444444444,0,18,0.882778581765557,1.0,0,5
221,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,6,0,2,4,22,12,29,1,0,3,55,0.93,87,1,0,21,2,10.672131147541,0,1,0.777777777777778,0,0,0.746910263299301,0.0,0,9
