test_idx,candidate_id,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,CountDeclMethodProtected,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
42,0,1.0,2.0,0.0,7.0,0.0,0.92,0.0,78.0,1.0,0.0,14.0,2.0,6.8125,0.0,3.875,0.0,1.0,1.15,0.0,166.98193359375,0.666666666666667,0.0,2.0,5.0,0.6014098259171554,0.39859017408284453,1,61.39084473640132
52,0,0.0,2.0,0.0,6.0,5.0,0.43,0.0,80.0,2.0,0.0,20.0,1.0,5.23076923076923,1.0,7.0,1.0,1.0,1.6076658937666126,0.0,0.0,1.0,0.0,2.0,2.0,0.5052215406436595,0.4947784593563404,1,0.17171516195999037
62,0,1.0,1.0,1.0,6.0,0.0,0.7,0.0,91.0,1.0,19.0,29.484375,3.0,8.25174825174825,0.0,4.52447552447552,1.0,1.0,0.56,0.0,43.0,0.272727272727273,0.0,4.0,15.0,0.6211460579001548,0.37885394209984524,1,11.21604360582571
63,0,1.0,1.0,0.0,6.0,0.0,0.9848486328125,0.0,0.0,2.0,1.0,14.0,2.0,3.05263157894737,0.0,0.842105263157895,0.0,1.0,0.0,0.0,2.0,0.333333333333333,0.0,6.0,5.0,0.582875397659101,0.41712460234089893,1,4.9265560674841815
64,0,16.0,2.0,12.0,2.0,7.0,0.29,0.0,95.0,3.0,12.0,19.49609375,3.0,4.72222222222222,0.0,5.05555555555556,1.0,1.0,1.0,0.0,199.0,0.3,0.0,3.0,15.0,0.5248180995765017,0.4751819004234983,1,7.167123001819917
65,0,1.0,1.0,8.0,4.0,0.0,0.53,0.0,88.0,2.0,1.0,1.5,2.0,17.8736842105263,0.0,3.95789473684211,1.0,1.0,0.5,0.0,1.5,0.571428571428571,0.0,5.0,7.0,0.5289701562948701,0.47102984370512996,2,31.810414581408047
79,0,4.0,1.0,1.5,4.0,1.0,0.73,0.0,84.0,3.0,4.0,9.0,4.0,11.5714285714286,1.0,3.19047619047619,1.0,1.0,0.739130434782609,0.0,24.0,0.6,0.0,1.0,6.0,0.9212187582972684,0.07878124170273161,1,500000000000.0
177,0,1.0,2.0,2.301685392856598,5.0,0.0,0.63,0.0,92.0,1.0,2.0,17.0,2.0,20.9672131147541,0.0,4.32786885245902,1.0,1.0,0.650793650793651,0.0,21.0,0.333333333333333,0.0,2.0,10.0,0.5387391037696341,0.4612608962303659,1,20698314607143.402
247,0,9.0,1.0,8.0,4.0,21.0,0.4,0.0,92.0,2.0,0.0,17.5,2.0,5.32835820895522,0.0,6.41791044776119,1.0,1.0,0.987179487179487,0.0,0.4833984375,0.25,0.0,3.0,6.0,0.5090244865623318,0.4909755134376682,2,222.2733168904242
1125,0,1.0,1.0,64.0,7.0,0.0,0.4,0.0,97.0,2.0,0.0,6.486328125,1.0,9.41538461538462,0.0,12.5692307692308,1.0,1.0,1.78571428571429,0.0,1.450927734375,0.571428571428571,0.0,2.0,10.0,0.6132722439279201,0.3867277560720798,2,190.91585136627924
1126,0,0.0,1.0,64.0,6.0,0.0,0.67,0.0,0.0,1.0,0.0,27.5,1.0,4.72307692307692,0.0,7.10769230769231,1.0,1.0,0.434782608695652,0.0,41.0,0.333333333333333,0.0,3.0,4.0,0.5236176267212576,0.4763823732787425,1,18.29556185079956
1127,0,0.0,1.0,15.0,5.0,0.0,0.73,0.0,0.0,1.0,0.0,24.499755859375,1.0,3.4375,0.0,5.375,1.0,1.0,0.944444444444444,0.0,3.497314453125,0.5,0.0,3.0,1.0,0.5639370739132685,0.43606292608673153,2,7.86086003436033
500,0,10.0,2.0,12.0,5.0,0.0,0.58,0.0,87.0,1.0,0.0,1.495361328125,2.0,5.55357142857143,1.0,4.98214285714286,1.0,1.0,1.03448275862069,0.0,378.0,0.25,0.0,4.0,1.0,0.5726737769171587,0.4273262230828413,1,3.9634153972533115
701,0,0.0,2.0,1.49853515625,6.0,1.0,0.62,0.0,87.0,2.0,3.0,18.0,1.0,9.52272727272727,0.0,4.5,1.0,1.0,0.927083333333333,0.0,9.0,0.75,0.0,2.0,11.0,0.7741066137176892,0.2258933862823108,1,64501464843750.0
175,0,0.0,1.0,0.0,0.0,0.0,1.43,0.0,100.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,74.0,0.9166729266826923,8.0,5.0,14.0,0.8126549169434312,0.18734508305656886,1,1.3468344677230855
1328,0,131.0,1.0,547.0,0.0,133.0,0.02,0.0,99.0,2.0,2.0,27.496826171875,2.0,2.18934646374217,0.0,3.19964189794091,0.0,0.0,0.417198808003406,0.0,80.0,0.5,0.0,2.0,3.0,0.5755312361635734,0.42446876383642657,1,6.6611314292658745
1331,0,263.0,1.0,431.0,0.0,105.0,0.02,0.0,99.0,2.0,2.0,24.494384765625,2.0,2.60681728101467,0.0,3.50614347998415,0.0,0.0,0.452390057361377,0.0,6460.0,0.555555555555556,0.0,3.0,3.0,0.571668395855901,0.428331604144099,1,4.806693517194489
43,0,5.0,1.0,28.0,6.0,0.0,0.74,0.0,64.0,1.0,0.0,19.0,1.0,5.96428571428571,2.0,4.78571428571429,1.0,1.0,0.6,0.0,70.0,0.9167724609375001,0.0,4.0,2.0,0.8610342475926254,0.1389657524073746,1,1.456025639603502
1363,0,1.0,2.0,0.0,4.0,0.0,0.47,0.0,78.50134134292603,2.0,1.0,9.0,3.0,3.2,0.0,4.8,0.0,1.0,1.22222222222222,0.0,13.0,0.333333333333333,0.0,2.0,2.0,0.5658499574560916,0.43415004254390843,1,0.6567886196697612
120,0,0.0,1.0,0.0,4.0,0.0,0.2749890500307083,0.0,50.0,2.0,0.0,14.0,3.0,1.75,0.0,4.5,0.0,1.0,2.16666666666667,0.0,36.0,0.5,0.0,2.0,2.0,0.506976024143451,0.493023975856549,1,1.3610523741302216
125,0,59.0,1.0,0.0,11.0,0.0,3.48,0.0,0.0,1.0,1.0,19.499879360198975,1.0,0.88135593220339,0.0,0.423728813559322,0.0,1.0,0.0,0.0,72.0,0.333333333333333,0.0,5.0,5.0,0.5306140047148529,0.4693859952851471,1,0.42157706728055544
218,0,37.0,1.0,20.0,1.0,1.0,0.58,0.0,96.0,2.0,2.0,19.49951457977295,2.0,5.23863636363636,0.0,2.18181818181818,0.0,1.0,0.189473684210526,0.0,39.0,0.25,0.0,3.0,10.0,0.6662178835659136,0.33378211643408634,1,0.42163857753720313
299,0,3.0,2.0,5.0,4.0,4.0,0.25,2.0,88.0,2.0,4.0,1.49853515625,2.0,5.91666666666667,1.0,9.83333333333333,1.0,1.0,1.4,0.0,17.0,0.4,0.0,3.0,8.0,0.5531169518423976,0.4468830481576024,1,4.974616357032414
310,0,2.0,1.0,10.5,13.0,0.0,0.99,0.0,85.0,1.0,0.0,1.499755859375,1.0,7.52380952380952,2.0,5.42857142857143,1.0,1.0,0.826086956521739,0.0,95.0,0.416666666666667,0.0,6.0,2.0,0.5357940414937931,0.46420595850620694,2,10500000000000.0
321,0,13.0,2.0,0.0,8.0,4.0,0.43,1.0,91.0,3.0,2.0,16.499880075454712,2.0,8.18279569892473,0.0,7.67741935483871,1.0,1.0,1.57692307692308,0.0,4.287353515625,0.434782608695652,3.0,4.0,11.0,0.5283797163888169,0.4716202836111832,2,693.8829958311918
1397,0,3.0,6.0,0.0,20.0,0.0,0.65,3.0,50.0,2.0,2.0,1.4990234375,1.0,3.16666666666667,2.0,9.16666666666667,1.0,1.0,1.11111111111111,0.0,4.0,0.5,0.0,1.0,2.0,0.6279298625875838,0.37207013741241624,1,1.0962121547448578
328,0,0.0,1.0,0.0,5.0,2.0,0.38,1.0,58.0,2.0,2.0,19.499636471271515,1.0,7.0,2.0,8.625,2.0,1.0,1.7,0.0,235.0,0.4,0.0,4.0,4.0,0.5288174194373914,0.4711825805626087,1,0.2529953339957225
331,0,1.0,1.0,0.0,1.0,2.0,0.19,0.0,50.0,2.0,0.0,19.49987804889679,2.0,6.08333333333333,1.0,7.58333333333333,1.0,1.0,1.75,0.0,31.0,0.333333333333333,0.0,5.0,2.0,0.5465059699653189,0.45349403003468114,1,0.2529545985267365
335,0,2.0,3.0,1.0,0.49951171875,0.0,0.5,0.0,65.0,2.0,1.0,19.0,1.0,5.71428571428571,1.0,12.5714285714286,1.0,1.0,2.44444444444444,0.0,452.0,0.214285714285714,0.0,4.0,5.0,0.5893664228311752,0.41063357716882476,1,3.541241157846506
342,0,10.0,1.0,7.0,3.0,3.0,0.27,0.0,100.0,2.0,6.0,16.477783203125,6.0,5.85606060606061,0.0,6.59848484848485,1.0,0.0,0.863309352517986,0.0,669.0,0.269230769230769,5.0,5.0,17.0,0.5957395361465938,0.4042604638534062,1,33.13810481533149
350,0,1.0,1.0,2.0,4.0,0.0,0.42,0.0,85.0,1.0,0.0,19.498046875,2.0,7.32258064516129,0.0,6.09677419354839,0.0,1.0,1.08571428571429,0.0,134.0,0.25,0.0,4.0,9.0,0.5898135557723735,0.4101864442276265,1,1.6022448949477939
359,0,11.0,1.0,0.0,5.0,0.0,0.59,0.0,90.0,1.0,0.0,27.0,1.0,5.90243902439024,1.0,4.92682926829268,1.0,1.0,1.0,0.0,52.0,0.9167702414772728,0.0,4.0,10.0,0.5670923150071674,0.4329076849928326,1,1.091182216550345
1419,0,4.0,1.0,0.0,8.0,0.0,0.52,2.0,83.0,1.0,0.0,6.4990234375,2.0,5.40740740740741,1.0,9.51851851851852,0.0,1.0,1.27586206896552,0.0,90.0,0.545454545454545,0.0,1.0,3.0,0.5794854625760415,0.42051453742395845,1,6.323515540687589
1420,0,0.0,1.0,0.0,2.0,2.0,0.34,0.0,79.0,2.0,2.0,19.499881863594055,3.0,4.28571428571429,1.0,5.64285714285714,0.0,1.0,0.6875,0.0,29.0,0.444444444444444,0.0,2.0,2.0,0.6247316266009129,0.3752683733990872,1,0.08433126541310232
360,0,6.0,2.0,0.0,2.0,1.0,0.29,0.0,100.0,3.0,1.0,16.5,2.0,6.43548387096774,0.0,5.24193548387097,1.0,0.0,1.10526315789474,0.0,49.0,0.333333333333333,0.0,2.0,8.0,0.6191556430774321,0.38084435692256785,1,2.2764063132331254
409,0,7.0,2.0,1.0,6.0,1.0,0.3949939143657684,0.0,66.0,2.0,7.0,13.0,2.0,6.0,0.0,7.05,1.0,1.0,1.20833333333333,0.0,78.0,0.25,0.0,4.0,6.0,0.5257154935299717,0.4742845064700283,1,0.06023704889617498
411,0,37.0,1.0,27.0,6.0,14.0,0.46,1.0,97.0,1.0,4.0,6.499882817268372,2.0,10.2378640776699,0.0,6.83980582524272,0.0,1.0,1.02739726027397,0.0,3.32666015625,0.283950617283951,6.0,5.0,20.0,0.5164224699631974,0.4835775300368026,2,1019.0278810887789
1444,0,27.0,1.0,9.0,6.0,0.0,0.79,0.0,88.0,1.0,1.0,16.0,2.0,6.75,1.0,4.32142857142857,1.0,1.0,0.915254237288136,0.0,42.0,0.916748046875,0.0,2.0,1.0,0.7928088695637784,0.2071911304362216,1,0.9838244732625491
412,0,16.0,1.0,8.0,4.0,29.0,0.3,0.0,96.0,3.0,2.0,24.49537980556488,7.0,5.9811320754717,0.0,8.05031446540881,1.0,1.0,1.21764705882353,0.0,22.27001953125,0.26984126984127,11.0,3.0,21.0,0.5017087131203894,0.49829128687961055,2,877.3404768190776
1445,0,8.0,1.0,7.0,2.0,3.0,0.33,0.0,93.0,1.0,1.0,15.4970703125,2.0,4.87234042553191,0.0,6.84042553191489,1.0,1.0,0.919191919191919,0.0,1981.0,0.243243243243243,5.0,4.0,7.0,0.5871532070995966,0.41284679290040344,1,6.829712951486101
428,0,7.0,2.0,2.0,2.0,0.0,0.31,0.0,87.0,2.0,2.0,16.499755859375,2.0,4.02941176470588,0.0,5.29411764705882,1.0,1.0,1.3,0.0,292.0,0.357142857142857,0.0,4.0,9.0,0.5266370936292557,0.47336290637074424,1,0.421597892321695
1453,0,2.0,3.0,0.0,2.0,0.0,0.36,0.0,50.0,1.0,0.0,15.499148547649384,2.0,6.0,2.0,9.25,1.0,1.0,2.5,0.0,0.0,1.0,0.0,1.0,0.0,0.5082169231119114,0.4917830768880886,1,0.7589456785966981
446,0,1.0,3.0,0.0,5.0,1.0,0.33,0.0,96.0,2.0,0.0,29.49951171875,2.0,5.46774193548387,0.0,5.85483870967742,1.0,1.0,2.73846153846154,0.0,131.0,0.230769230769231,0.0,5.0,7.0,0.7635132544439793,0.23648674555602064,1,0.42163905997058837
1461,0,7.0,1.0,0.0,6.0,0.0,0.67,0.0,65.0,1.0,0.0,19.0,2.0,5.23076923076923,1.0,5.76923076923077,1.0,1.0,0.941176470588235,0.0,66.0,0.91668701171875,0.0,1.0,2.0,0.9347993818733167,0.06520061812668332,1,0.6885906792211075
465,0,11.0,1.0,4.0,8.0,0.0,0.68,0.0,100.0,2.0,1.0,6.499267578125,2.0,7.0,0.0,6.96296296296296,1.0,0.0,0.939393939393939,0.0,0.455078125,0.363636363636364,0.0,4.0,8.0,0.5862676744174187,0.4137323255825813,2,156.88386557242742
467,0,11.0,1.0,2.302001953125,3.0,0.0,0.44,0.0,92.0,1.0,2.0,19.0,2.0,7.61458333333333,0.0,3.875,1.0,1.0,0.613207547169811,0.0,0.4541015625,0.25,2.0,6.0,11.0,0.5037075924631188,0.4962924075368812,2,697998046875.0
1467,0,4.499634504318237,1.0,6.0,4.0,6.0,0.44,0.0,94.0,2.0,2.0,24.0,3.0,5.58730158730159,0.0,5.20634920634921,1.0,1.0,1.07575757575758,0.0,1.29345703125,0.368421052631579,0.0,2.0,6.0,0.5656348257023034,0.43436517429769655,2,10500365495681.762
479,0,4.498291015625,2.0,12.0,4.0,3.0,0.32,0.0,100.0,2.0,3.0,15.498414099216461,2.0,6.25806451612903,2.0,5.96774193548387,1.0,1.0,1.23287671232877,0.0,51.0,0.333333333333333,0.0,2.0,9.0,0.5471757507904409,0.45282424920955916,2,20501708984375.0
494,0,2.0,2.0,1.0,5.0,8.0,0.35,0.0,86.0,2.0,0.0,19.499879598617554,2.0,5.7741935483871,1.0,7.35483870967742,1.0,1.0,1.69444444444444,0.0,78.0,0.375,0.0,3.0,4.0,0.6241648337700876,0.37583516622991237,1,0.08433164733953236
550,0,4.0,4.0,0.0,1.0,0.0,0.08,0.0,56.0,2.0,0.0,16.49987882375717,1.0,7.66666666666667,3.0,19.5833333333333,5.0,2.0,2.64285714285714,1.0,39.0,0.6,0.0,2.0,3.0,0.5455391109860598,0.4544608890139402,1,0.08433177799857416
5,0,3.0,1.0,0.0,1.0,0.0,0.19,0.0,94.0,2.0,0.0,27.4990234375,5.0,3.30841121495327,0.0,3.91588785046729,0.0,1.0,0.761467889908257,0.0,412.0,0.25,0.0,6.0,7.0,0.5153516325023189,0.4846483674976812,1,5.480402091341986
589,0,7.0,1.0,6.0,0.0,9.0,0.08,0.0,89.0,1.0,2.0,19.497926354408264,2.0,6.24675324675325,0.0,6.8961038961039,1.0,0.0,1.34146341463415,0.0,19.0,0.5,0.0,2.0,3.0,0.5355831337687769,0.4644168662312231,1,2.9512467364071204
640,0,12.0,1.0,1.498046875,4.0,0.0,0.51,0.0,90.0,1.0,1.0,9.0,2.0,6.0,2.0,5.0,1.0,1.0,0.894736842105263,0.0,36.0,0.25,0.0,2.0,5.0,0.7261465540595423,0.2738534459404577,1,19501953125000.0
641,0,2.0,2.0,1.490478515625,7.0,1.0,0.63,0.0,86.0,1.0,2.0,18.0,2.0,7.95522388059702,0.0,4.58208955223881,0.0,1.0,1.22972972972973,0.0,141.0,0.2,0.0,6.0,9.0,0.7722549655679615,0.22774503443203856,1,53509521484375.0
647,0,43.0,2.0,4.0,2.0,2.0,0.28,0.0,100.0,3.0,3.0,1.496826171875,2.0,4.91414141414141,0.0,5.59090909090909,0.0,0.0,0.858447488584475,0.0,254.0,0.333333333333333,0.0,4.0,9.0,0.6009058973385164,0.39909410266148365,1,9.19047177730268
1498,0,3.0,2.0,0.0,5.0,3.0,0.45,0.0,74.0,1.0,3.0,11.0,2.0,4.66666666666667,1.0,4.26666666666667,1.0,1.0,1.05263157894737,0.0,14.5,0.333333333333333,0.0,1.0,3.0,0.5045759402184242,0.4954240597815757,1,1.011736139214209
710,0,2.0,1.0,2.0,3.0,0.0,0.42,0.0,76.0,2.0,0.0,17.49927020072937,2.0,2.41666666666667,0.0,4.95833333333333,1.0,1.0,0.6,0.0,214.0,0.125,0.0,2.0,6.0,0.5180805164695417,0.4819194835304584,1,1.602038614472722
714,0,0.0,1.0,1.49951171875,14.0,0.0,1.22,0.0,0.0,1.0,0.0,10.0,1.0,6.0,3.0,7.25,2.0,1.0,0.833333333333333,0.0,15.0,0.5,0.0,2.0,3.0,0.8837933063807086,0.11620669361929134,1,2500488281250.0
717,0,2.0,1.0,2.0,2.0,1.0,0.14,2.0,52.0,1.0,0.0,6.498291015625,2.0,2.86440677966102,0.0,9.16949152542373,0.0,1.0,1.03076923076923,0.0,217.0,0.285714285714286,0.0,4.0,11.0,0.508396881228731,0.4916031187712691,1,6.15501635376515
719,0,1.0,1.0,2.0,4.0,0.0,0.16,5.0,73.0,1.0,1.0,15.48779296875,2.0,5.09401709401709,0.0,10.7777777777778,0.0,1.0,0.524590163934426,0.0,150.0,0.375,0.0,4.0,9.0,0.6643099940105007,0.3356900059894993,1,9.02337229044263
721,0,0.0,1.0,4.0,5.0,0.0,0.24,4.0,78.0,1.0,0.0,24.498046875,2.0,3.35294117647059,1.0,15.0,1.0,1.0,0.904761904761905,0.0,69.0,0.25,0.0,6.0,4.0,0.7522068906601601,0.24779310933983986,1,2.1081129645551555
1513,0,0.0,3.0,2.0,3.0,0.0,0.3,2.0,65.0,1.0,0.0,8.0,1.0,3.75,1.0,7.837646484375,1.0,1.0,1.33333333333333,0.0,14.0,0.6,0.0,2.0,1.0,0.7691059326666445,0.2308940673333555,1,0.05635393715243042
726,0,0.0,1.0,3.0,3.0,0.0,0.22,2.0,68.0,1.0,0.0,1.49951171875,2.0,5.1304347826087,1.0,9.73913043478261,1.0,1.0,0.615384615384615,0.0,37.0,0.5,0.0,4.0,4.0,0.5073023463159123,0.4926976536840877,1,3.6254701674838756
1519,0,0.0,1.0,3.0,4.0,0.0,0.37,1.0,64.0,1.0,0.0,17.0,1.0,3.375,2.0,7.25,1.0,1.0,1.1,0.0,11.0,0.9166666666666667,0.0,1.0,2.0,0.6362568130116388,0.3637431869883611,1,0.5901794145406265
749,0,0.0,1.0,3.0,0.0,0.0,0.1,0.0,69.0,1.0,0.0,14.49951171875,2.0,3.875,1.0,8.5,1.0,1.0,0.458333333333333,0.0,71.0,0.571428571428571,0.0,4.0,0.0,0.6258091111134827,0.37419088888651725,1,1.7706205789235516
753,0,0.0,1.0,2.0,0.0,0.0,0.06,0.0,96.0,1.0,0.0,14.499269485473633,2.0,1.69747899159664,0.0,2.81512605042017,1.0,1.0,0.286885245901639,0.0,14.0,0.428571428571429,0.0,4.0,5.0,0.75629097685818,0.24370902314181997,1,1.096170665473707
755,0,0.0,2.0,4.0,1.0,0.0,0.09,2.0,66.0,2.0,0.0,14.498046875,2.0,4.1,0.0,8.7,1.0,1.0,1.125,0.0,9.0,0.5,0.0,4.0,4.0,0.6194828674804637,0.38051713251953634,1,2.9512264139007565
758,0,0.0,1.0,2.0,5.0,0.0,0.62,1.0,0.0,3.0,0.0,9.0,1.0,1.75,1.0,6.5,1.0,1.0,1.14285714285714,0.0,5.0,0.9166717529296875,0.0,1.0,4.0,0.7318836917496431,0.2681163082503569,1,0.393464950258012
777,0,1.0,1.0,16.0,5.0,1.0,0.55,0.0,97.0,2.0,1.0,13.49462890625,2.0,17.5104895104895,0.0,5.17482517482518,0.0,1.0,0.681818181818182,0.0,3.4716796875,0.225806451612903,4.0,5.0,14.0,0.5109138292087851,0.48908617079121486,2,210.93100799504248
