,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
514,6,0,4,12,4,6,211,1,4,0,0.29,0,0,1,0,2,1,5.63157894736842,1,4.36842105263158,1,0,0.428571428571429,0,4,2
522,1,0,1,4,0,2,124,1,0,0,0.27,0,0,1,0,24,0,3.57777777777778,1,2.94444444444444,1,0,0.444444444444444,0,4,6
397,6,0,4,0,0,4,27,1,7,10,0.11,0,16,4,0,13.0,1,3.6875,1,7.4375,1,0,0.571428571428571,0,1,2
460,0,0,1,0,0,1,40,3,6,1,0.45,0,14,5,2,1,1,5.06666666666667,2,3.73333333333333,2,0,1.0,0,1,0
364,18,1,2,6,0,3,77,2,14,4,0.09,1,57,1,2,8.5,3,4.03389830508475,0,6.74576271186441,0,0,0.0,1,4,6
345,60,2,1,58,1,3,482,22,50,33,0.14,1,49.0,4,0,1.5,1,6.10091743119266,0,7.44495412844037,0,0,0.0,0,4,5
476,0,0,1,3,0,2,15,2,0,0,0.23,0,7,6,0,1,1,3.28571428571429,1,3.42857142857143,1,0,1.0,0,1,0
37,13,1,2,11,1,2,261,3,17,22,0.32,0,8.5,3,4,10.5,1,3.43564356435644,0,3.92079207920792,0,0,0.0,0,2,2
456,1,0,3,0,0,3,32,2,6,1,0.13,0,20,6,3,1,0,6.08695652173913,2,3.78260869565217,2,0,1.0,0,1,0
845,40,0,1,16,0,2,38,1,0,0,0.09,0,39,1,0,35,1,4.59523809523809,2,6.80952380952381,1,0,0.0,0,1,0
450,0,0,1,1,0,2,29,4,0,2,0.38,0,8,5,2,1,1,5.44444444444444,4,4.33333333333333,2,0,1.0,0,1,0
256,5,0,1,3,1,2,283,2,2,30,0.33,0,33.0,3,3,24,2,9.75,1,3.73148148148148,1,0,0.333333333333333,0,4,7
451,0,0,1,0,0,2,22,1,0,0,1.69,0,48.5,3,0,3,1,3.5,3,3.0,2,0,1.0,0,1,0
356,1,0,1,1,0,2,30,1,3,2,0.32,1,8,1,0,18,0,3.09090909090909,0,5.0,0,0,1.0,0,4,0
223,13,0,1,0,1,3,167,2,97,3,0.08,2,111,2,0,13.5,3,8.38260869565217,1,8.49565217391304,1,0,0.333333333333333,1,4,8
479,0,0,1,3,0,2,15,2,0,0,0.23,0,7,6,0,1,1,3.28571428571429,1,3.0,1,0,1.0,0,1,0
478,0,0,1,3,0,2,15,2,0,0,0.23,0,7,6,0,1,1,3.28571428571429,1,3.42857142857143,1,0,1.0,0,1,0
195,19,0,1,1,0,2,19,3,0,2,0.06,0,7,1,0,5,0,2.60869565217391,0,3.97826086956522,2,0,1.0,0,1,2
363,12,1,2,0,1,3,75,2,2,11,0.21,1,29,3,0,15.0,1,3.75862068965517,1,6.72413793103448,1,0,1.0,0,3,2
467,27,0,1,9,7,2,5431,18,12,17,1.18,0,39,2,0,13.5,2,2.50670640834575,0,3.36512667660209,0,0,0.333333333333333,6,5,22
458,0,0,2,0,0,2,34,6,7,2,0.16,0,20,6,22,3,1,11.4782608695652,3,4.39130434782609,2,0,0.5,0,1,0
56,64,1,2,20,1,4,349,25,23,32,0.13,1,191,4,3,20.0,1,4.53030303030303,0,4.83333333333333,0,0,0.0,0,2,4
