,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
56,,,,,,,,,,,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,,,,,,,,,,,
522,1,0,1,4,0,2,124,1,0,0,0.27,0,0,1,0,24,1,3.57777777777778,1,2.94444444444444,1,0,0.0,0,4,6
845,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,
345,,,,,,,,,,,,,,,,,,,,,,,,,,
256,5,0,1,3,1,2,283,2,2,30,0.33,0,108,3,3,24,2,9.75,1,3.73148148148148,1,0,0.0,0,4,7
195,19,0,1,1,0,2,19,3,0,2,0.06,0,7,1,0,5,2,1.7,0,3.97826086956522,2,0,1.0,0,1,2
476,0,0,1,3,0,2,15,2,0,0,0.23,0,7,6,0,6,1,2.08333333333333,1,3.42857142857143,1,0,1.0,0,1,0
363,,,,,,,,,,,,,,,,,,,,,,,,,,
356,1,0,1,1,0,2,30,1,3,2,0.32,1,11,1,0,18,2,3.09090909090909,0,5.0,0,0,0.0,0,4,0
397,,,,,,,,,,,,,,,,,,,,,,,,,,
450,0,0,1,1,0,2,29,4,0,2,0.38,0,8,5,2,1,1,5.44444444444444,4,4.33333333333333,2,0,1.0,0,1,0
451,0,0,1,0,0,2,22,1,0,0,1.69,0,2,3,0,3,1,3.5,3,3.0,2,0,0.0,0,1,0
456,1,0,3,0,0,3,32,6,6,1,0.13,0,20,6,3,11,1,6.08695652173913,2,3.78260869565217,2,0,0.0,0,1,0
458,0,0,2,0,0,2,34,6,7,2,0.16,0,20,6,22,13,1,11.4782608695652,3,4.39130434782609,2,0,0.0,0,1,0
460,0,0,1,0,0,1,40,3,6,1,0.45,0,14,5,2,9,1,5.06666666666667,2,3.73333333333333,2,0,0.0,0,1,0
467,,,,,,,,,,,,,,,,,,,,,,,,,,
479,0,0,1,3,0,2,15,2,0,0,0.23,0,7,6,0,6,1,3.28571428571429,1,3.0,1,0,0.0,0,1,0
478,0,0,1,3,0,2,15,2,0,0,0.23,0,7,6,0,1,1,3.28571428571429,1,3.42857142857143,1,0,1.0,0,1,0
514,6,0,4,12,4,6,211,1,4,0,0.29,0,0,1,0,0,1,5.63157894736842,1,4.36842105263158,1,0,0.428571428571429,0,4,2
