Antecedent,Antecedent Coverage %,Confidence,Lift
-0.01 < OWN_COMMIT <= 0.07,0.34452,1.0,1.31184
OWN_COMMIT <= -0.01,0.08885,0.99468,1.30486
CountClassCoupled <= 0.55,0.17864,0.94974,1.2459
0.99 < MINOR_LINE <= 1.485 & 0.745 < CountDeclClass <= 1.06,0.14792,0.94569,1.24059
RatioCommentToCode > 1.345,0.1914,0.94321,1.23734
MaxInheritanceTree <= 1.115,0.20747,0.9385,1.23116
CountClassDerived > 0.665 & -0.295 < CountDeclClassMethod <= 0.05,0.10633,0.93333,1.22439
AvgLineBlank <= -0.25,0.09452,0.91,1.19378
1.115 < MaxInheritanceTree <= 1.9,0.17108,0.90331,1.18501
MAJOR_LINE <= -0.075,0.10822,0.8952,1.17436
