test_idx,candidate_id,CountDeclMethodPrivate,AvgEssential,AvgLineComment,CountLineComment,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
26,0,6.0,1.0,0.0,32.959716796875,0.0,383.0,0.3,0.0,100.0,2.0,5.0,4.0,1.0,12.6617647058824,0.0,0.0,0.0,0.384615384615385,0.0,0.5,4.0,6.0,16.0,0.529634952545166,0.470365047454834,1,18.333474833806005
1530,0,4.0,2.0,1.0,63.0,0.0,23.0,0.33,0.0,100.0,1.0,0.0,4.0,2.0,7.91666666666667,0.0,1.0,0.0,0.482758620689655,0.0,0.307688570022583,0.0,2.0,0.0,0.9908506870269775,0.009149322286248207,1,292311429977.417
1531,0,0.0,1.0,1.0,37.0,0.0,3.0,0.3,0.0,69.0,1.0,0.0,2.0,2.0,9.38461538461539,1.0,1.0,1.0,0.866666666666667,0.0,0.5428362369537353,0.0,2.0,0.0,0.6644744873046875,0.3355255424976349,1,257163763046.2647
1574,0,1.0,3.0,1.0,47.0,5.0,1.0,0.19,1.0,86.0,2.0,0.0,17.0,1.0,4.82352941176471,0.0,1.0,1.0,1.5,0.0,0.5428362369537353,0.0,2.0,0.0,0.721325159072876,0.278674840927124,1,257163763046.2647
1575,0,0.0,1.0,0.0,29.0,1.0,1.0,0.31,0.0,65.0,2.0,0.0,13.0,1.0,3.3,2.0,1.0,1.0,1.0,0.0,0.7142787456512452,0.0,2.0,0.0,0.5052477121353149,0.49475228786468506,1,85721254348.75488
1581,0,1.0,3.0,12.0,66.0,1.0,2.0,0.25,3.9990234375,50.0,3.0,0.0,30.0,1.0,30.25,2.0,2.0,1.0,2.66666666666667,0.0,0.4,0.0,2.0,1.0,0.7599090337753296,0.24009095132350922,1,6000976562500.0
1591,0,0.0,1.0,0.0,28.0,1.0,0.0,0.32,0.0,0.0,1.0,2.0,2.0,2.0,4.58620689655172,1.0,0.0,1.0,0.0,0.0,0.5428362290064497,0.0,2.0,1.0,0.7223853468894958,0.27761465311050415,1,123830437660.21729
1600,0,0.0,1.0,1.0,37.0,0.0,3.0,0.3,0.0,69.0,1.0,0.0,2.0,2.0,10.1538461538462,1.0,1.0,1.0,0.866666666666667,0.0,0.5428362290064497,0.0,2.0,1.0,0.7126891016960144,0.2873108983039856,1,123830437660.21729
1604,0,1.0,1.0,4.0,51.0,2.0,4.0,1.27,0.0,79.0,1.0,1.0,4.0,1.0,2.16666666666667,1.0,1.0,1.0,0.875,0.0,0.5428362290064497,0.0,2.0,1.0,0.7991684675216675,0.20083151757717133,1,123830437660.21729
1605,0,1.0,1.0,5.0,65.0,2.0,4.0,1.81,0.0,85.0,1.0,1.0,4.0,1.0,2.28571428571429,2.0,0.0,1.0,0.666666666666667,0.0,0.4443902174631757,0.0,2.0,1.0,0.5471397638320923,0.4528602659702301,1,222276449203.49127
1670,0,2.0,1.0,1.0,31.0,2.0,0.0,0.16,2.0,73.0,2.0,0.0,22.0,1.0,4.66666666666667,0.0,0.0,1.0,0.583333333333333,0.0,0.5428362290064497,0.0,2.0,0.0,0.8668138980865479,0.13318607211112976,1,123830437660.21729
1695,0,1.0,1.0,1.0,58.0,7.0,0.0,0.23,2.0,82.0,2.0,3.0,22.0,1.0,4.58823529411765,1.0,1.0,1.0,0.666666666666667,0.0,0.5428362290064497,0.0,2.0,1.0,0.7967320680618286,0.2032679319381714,1,123830437660.21729
1789,0,0.0,1.0,0.0,29.0,2.0,1.0,0.33,1.0,0.0,2.0,0.0,9.0,2.0,2.5,1.0,2.0,1.0,0.625,0.0,0.3076171875000001,0.0,3.0,0.0,0.9116461277008057,0.08835387229919434,1,359049479166.6669
1795,0,0.0,1.0,0.0,29.0,1.0,7.0,0.36,2.0,0.0,2.0,0.0,5.0,2.0,4.33333333333333,1.0,2.0,1.0,0.5,0.0,0.5428362290064497,0.0,2.0,1.0,0.9676836133003235,0.032316360622644424,1,123830437660.21729
1798,0,1.0,1.0,3.0,37.0,1.0,0.0,0.45,1.0,50.0,2.0,0.0,8.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.5428362290064497,0.0,3.0,0.0,0.9371234774589539,0.06287652999162674,1,123830437660.21729
1799,0,1.0,1.0,3.0,45.0,1.0,2.0,0.51,1.0,50.0,2.0,0.0,8.0,1.0,3.66666666666667,1.0,2.0,1.0,1.0,0.0,0.5428362290064497,0.0,3.0,0.0,0.7120189666748047,0.2879810035228729,1,123830437660.21729
1805,0,0.0,1.0,0.0,29.0,1.0,3.0,0.39,2.0,0.0,2.0,0.0,8.0,2.0,3.0,1.0,2.0,1.0,0.833333333333333,0.0,0.6249904235204063,0.0,3.0,0.0,0.5156185030937195,0.4843814969062805,1,41676243146.26062
1806,0,0.0,1.0,0.0,29.0,1.0,7.0,0.34,2.0,0.0,2.0,0.0,8.0,2.0,4.33333333333333,1.0,2.0,1.0,0.5,0.0,0.5428362290064497,0.0,3.0,0.0,0.8676142692565918,0.1323857605457306,1,123830437660.21729
1814,0,6.0,1.0,2.0,133.99536383152008,0.0,3.0,0.37,1.0,93.0,2.0,0.0,29.0,3.0,2.96,0.0,0.0,1.0,1.18518518518519,0.0,0.3076171875000001,0.0,2.0,1.0,0.5203232765197754,0.479676753282547,2,359049479166.6669
1816,0,2.0,1.0,3.0,30.9970703125,0.0,0.0,0.38,1.0,91.0,1.0,0.0,16.0,1.0,6.0,0.0,1.0,1.0,1.35714285714286,0.0,0.8,0.0,3.0,0.0,0.5290292501449585,0.4709707498550415,1,2.3807880978168416
1817,0,3.0,1.0,0.0,42.0,0.0,11.0,0.22,0.0,86.0,1.0,0.0,8.0,2.0,2.64285714285714,0.0,1.0,1.0,1.3125,0.0,0.5428362369537353,0.0,2.0,1.0,0.8558046817779541,0.1441953033208847,1,257163763046.2647
1850,0,1.0,1.0,2.0,56.0,0.0,2.0,0.12,6.0,38.0,2.0,0.0,27.0,2.0,4.41666666666667,0.0,0.0,1.0,1.23529411764706,0.0,0.30761718750000006,0.0,2.0,1.0,0.6079211831092834,0.39207881689071655,1,492382812499.99994
1851,0,1.0,1.0,1.0,41.0,0.0,2.0,0.1,3.0,30.0,2.0,0.0,24.0,2.0,4.25,0.0,0.0,1.0,1.16666666666667,0.0,0.30761718750000006,0.0,2.0,1.0,0.9248594045639038,0.07514061033725739,1,492382812499.99994
1853,0,4.0,1.0,1.0,42.0,0.0,3.0,0.09,3.0,66.0,2.0,0.0,26.99999839067459,2.0,4.41176470588235,0.0,0.0,1.0,1.17391304347826,0.0,0.3076171875000001,0.0,1.0,1.0,0.6608951091766357,0.33910492062568665,1,359049479166.6669
1855,0,7.0,1.0,1.0,55.0,2.0,28.0,0.21,0.0,90.0,1.0,0.0,4.0,1.0,3.70833333333333,1.0,1.0,1.0,0.75,0.0,0.3076171875,0.0,1.0,0.0,0.9297118186950684,0.07028821110725403,1,692382812500.0
1883,0,3.0,1.0,0.0,49.0,0.0,0.0,0.33,0.0,97.0,2.0,0.0,5.0,1.0,2.10714285714286,1.0,2.0,1.0,0.516129032258065,0.0,0.5428504586219786,0.0,2.0,1.0,0.693955659866333,0.3060443103313446,1,57149541378.02142
