,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
359,2,1,2,2,1,5,5,4,0.1,1,47,4,1,2,37,0,4.18367346938776,0,7.08163265306122,0,1,0.578947368421053,0,3,3
49,11.5,1,2,17,1,2,9,29,0.15,1,8.5,4,4,3,16.0,3,4.53631284916201,0,4.7877094972067,0,1,0.0,0,3,3
358,5,1,2,0,1,2,2,0,0.21,1,7.0,4,3,0,7.0,1,3.75862068965517,1,6.51724137931035,1,1,0.0,0,3,2
439,2.5,0,1,8,7,18,0,12.0,1.14,0,37,2,2,0,80,2,2.47551342812006,0,3.46287519747235,0,1,0.733812949640288,0,5,4
340,11.5,2,1,58,1,26,2.5,34,0.14,1,33.5,4,4,0,9.5,2,6.12669683257919,0,7.59276018099547,0,1,0.520833333333333,0,4,5
30,8,1,2,14,2,6,2,12.0,0.41,0,30.0,3,2,4,24,2,3.72151898734177,0,4.27848101265823,0,1,0.777777777777778,0,2,2
351,1,0,1,1,0,1,3,2,0.32,1,11,2,1,0,11.0,2,3.09090909090909,0,5.0,0,1,1.0,0,4,0
471,3,0,3,9,3,1,4,0,0.24,0,0,7,1,0,11,1,5.18181818181818,1,4.63636363636364,1,1,0.545454545454545,0,4,2
189,19,0,1,1,0,3,0,2,0.06,0,7,2,1,0,5,1,2.60869565217391,0,3.95652173913043,2,1,0.0,0,1,2
390,6,0,4,0,0,1,7,10,0.11,0,16,6,4,0,11.0,1,3.6875,1,7.6875,1,1,0.4,0,1,1
339,3,0,2,0,0,1,7,4,0.19,0,15,3,1,0,19,1,5.0,2,6.33333333333333,1,1,0.0,0,4,0
252,3,0,1,3,1,2,2,30,0.27,0,98,2,3,3,24,2,9.64285714285714,1,4.11224489795918,1,1,0.590909090909091,0,3,7
