,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
471,6,0,3,9,3,2.5,4,0.0,0.24,0,0,7,1,0,11,1,5.18181818181818,1,4.63636363636364,1,1,0.0,0,4,2
252,3,0,1,3,1,1,3,10.5,0.27,0,98,2,3,3,4.0,2,1.41666666666667,1,4.11224489795918,1,1,0.0,0,3,7
390,6,0,4,0,0,1,7,10,0.11,0,16,6,4,0,11.0,1,3.6875,1,7.6875,1,1,0.4,0,1,1
351,1,0,1,1,0,1,3,1,0.32,1,11,2,1,0,18,2,3.09090909090909,0,5.0,0,1,1.0,0,4,0
339,3,0,2,0,0,1,7,1,0.19,0,15,3,1,0,19,1,5.0,2,6.33333333333333,1,1,0.5,0,4,0
358,12,1,2,0,1,2,2,1,0.21,1,29,4,3,0,26,1,3.75862068965517,1,6.51724137931035,1,1,0.5,0,3,2
359,12,1,2,2,1,13,13,1,0.1,1,47,4,1,2,11.0,3,4.18367346938776,0,7.08163265306122,0,1,0.578947368421053,0,3,7
189,19,0,1,1,0,1,0,2,0.06,0,7,2,1,0,5,2,2.60869565217391,0,3.95652173913043,2,1,0.0,0,1,2
439,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,
340,,,,,,,,,,,,,,,,,,,,,,,,,
