,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,0,0,1,0,0,0,43,1,0,3,0.67,0,10,69.5,2,0,12,2,3.4,1,2.9,1,1,0.679245283018868,0,1,1.0,0,3,3
520,1,0,1,0,10,1,10,1,0,0,0.1,0,0,59.5,1,0,20,1,2.1,1,5.4,3,1,2.25,0,28,1.0,0,1,0
553,0,0,1,0,11,0,1,1,0,0,0.01,0,0,0,1,0,12,1,1.72727272727273,1,3.81818181818182,2,1,2.25,0,16,1.0,0,2,1
474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,11,1,2,4,13,1,127.0,1,0,1,0.25,0,59,88,5,0,11.0,1,4.36111111111111,0,5.76388888888889,1,1,0.810810810810811,0,11,0.0,0,6,6
653,6,3,1,1,27,0,39,8,3,6,0.13,0,21,41.5,3,0,12.5,2,6.60416666666667,1,4.60416666666667,2,1,0.385964912280702,0,56,0.0,0,6,0
515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,2,0,1,0,2,0,795.0,23,0,2,0.16,0,60,53.5,4,0,10.5,2,2.62903225806452,0,4.83870967741935,2,1,0.909090909090909,0,0,0.0,0,4,7
660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,0,0,2,0,7,0,294.5,2,0,0,0.31,0,1,88.0,1,0,9.0,2,3.375,2,7.625,2,1,2.7,0,44,0.0,0,4,6
668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,3,0,1,1,4,0,5.5,2,0,4,0.28,1,18,63.5,3,0,12.5,2,6.22727272727273,0,5.40909090909091,1,1,0.48,0,69,0.0,0,3,5
1051,12,0,2,6,28,0,98.0,3,0,11,0.06,0,20,96.0,2,0,7.0,1,3.60416666666667,0,3.02083333333333,1,0,0.730769230769231,0,4,0.0,0,1,3
692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,0,0,1,0,2,0,98.0,5,0,8,0.25,0,9,95.5,3,0,9.0,2,3.27272727272727,1,5.45454545454545,1,1,2.66666666666667,0,39,0.25,0,1,4
702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
