,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
7,1,0,1,0,7,2,133,2,8,1,0.67,0,100,3,0,17,2,2.0,0,0,0,6,0.6875,0,2,2
185,,,,,,,,,,,,,,,,,,,,,,,,,,
291,7,0,1,0,6,2,650,18,23,8,0.81,0,96,4,43,35,2,2.93827160493827,0,0,0,1,0.315789473684211,0,5,5
292,,,,,,,,,,,,,,,,,,,,,,,,,,
396,,,,,,,,,,,,,,,,,,,,,,,,,,
416,,,,,,,,,,,,,,,,,,,,,,,,,,
474,0,0,1,0,7,2,33,1,0,0,1.43,2,100,1,0,8,2,3.0,3,7,1,19,0.2,0,1,1
516,,,,,,,,,,,,,,,,,,,,,,,,,,
534,,,,,,,,,,,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,,,,,,,,,,,
187,7,0,1,0,4,2,323,11,4,13,0.54,1,100,5,1,19,2,3.5,0,0,0,1,0.380952380952381,3,5,5
538,3,0,1,0,4,2,204,4,1,13,0.68,0,87,1,1,28,2,15.1034482758621,0,1,0,0,0.153846153846154,0,4,5
549,,,,,,,,,,,,,,,,,,,,,,,,,,
563,0,0,1,0,9,2,113,3,1,0,0.81,1,93,2,0,22,2,3.44444444444444,0,1,0,0,0.461538461538462,0,4,6
569,0,1,3,0,11,6,192,1,3,4,0.41,4,79,1,2,28,2,5.76923076923077,2,1,0,76,0.263157894736842,0,3,3
578,0,0,1,0,5,1,191,1,0,12,0.99,0,93,1,0,1,2,4.85185185185185,1,1,0,8,0.486,0,2,5
584,0,0,2,0,5,3,49,1,0,2,0.48,1,30,2,3,9,1,4.6,3,2,0,18,0.375,0,3,3
588,0,0,1,0,6,4,80,1,2,1,0.83,1,0,3,0,5,1,10.0,4,3,0,2,0.2,0,2,1
264,0,3,1,0,5,1,362,1,0,10,1.0,0,91,2,1,9,1,7.69642857142857,1,1,0,6,0.222222222222222,0,3,4
610,,,,,,,,,,,,,,,,,,,,,,,,,,
365,,,,,,,,,,,,,,,,,,,,,,,,,,
742,,,,,,,,,,,,,,,,,,,,,,,,,,
631,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,0,0,1,0,4,2,27,1,0,0,0.38,5,0,3,0,15,1,1.5,1,2,0,2,0.333333333333333,0,3,0
371,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,0,0,1,0,2,1,30,2,1,1,0.75,1,100,5,0,0,2,0.5,0,0,0,0,0.5,0,2,0
1236,,,,,,,,,,,,,,,,,,,,,,,,,,
468,0,0,1,0,3,1,82,1,1,1,2.73,0,87,5,4,1,1,5.0,0,2,0,1,0.428571428571429,0,1,2
515,,,,,,,,,,,,,,,,,,,,,,,,,,
