,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
7,1,0,1,0,7,2,133,2,8,1,0.67,0,100,3,0,2,2,2.0,0,0,0,217,0.6875,0,2,2
185,1,0,1,1,6,2,40,1,9,0,0.73,1,96,3,9,15,1,2.69230769230769,1,0,0,47,0.3,0,3,6
187,,,,,,,,,,,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,,,,,,,,,,
291,7,0,1,0,6,2,650,18,23,8,0.81,0,96,4,43,35,2,2.93827160493827,0,0,0,1,0.315789473684211,0,5,5
292,6,0,1,2,6,2,40,7,17,6,0.65,0,95,5,12,26,2,4.58823529411765,0,0,0,585,0.37037037037037,3,4,6
365,0,0,1,0,7,2,315,8,10,8,1.09,1,100,5,34,5,2,3.09090909090909,0,0,0,2,0.285714285714286,0,4,5
371,3,0,1,0,6,1,244,2,5,7,1.69,0,84,6,1,6,1,1.5000000000000009,0,1,0,30,0.4,0,5,2
396,20,1,1,1,5,2,520,17,14,17,0.66,1,100,6,10,11,3,3.32051282051282,0,0,0,1,0.454545454545455,0,3,3
416,1,1,1,0,6,2,162,2,10,4,0.74,0,95,4,238,20,2,3.25,0,1,0,1,0.285714285714286,0,4,2
468,0,0,1,0,3,1,82,1,1,1,2.73,0,87,5,4,1,1,5.0,0,2,0,1,0.428571428571429,0,1,2
474,0,0,1,0,7,2,33,1,0,0,1.43,2,100,1,0,8,2,3.0,3,7,1,19,0.2,0,1,1
515,8,7,1,0,7,2,635,11,11,8,0.85,0,94,3,4,30,3,3.74285714285714,0,0,0,1,0.391304347826087,1,4,5
516,2,1,1,1,4,1,141,3,2,3,0.84,0,92,1,2,8,3,2.73076923076923,0,0,0,1,0.333333333333333,0,3,2
534,,,,,,,,,,,,,,,,,,,,,,,,,,
538,3,0,1,0,4,2,40,4,1,13,0.68,0,87,1,1,28,2,15.1034482758621,0,1,0,78,0.153846153846154,0,4,5
549,,,,,,,,,,,,,,,,,,,,,,,,,,
563,0,0,1,0,9,2,113,3,1,0,0.81,1,93,2,0,22,2,3.44444444444444,0,1,0,0,0.461538461538462,0,4,6
569,,,,,,,,,,,,,,,,,,,,,,,,,,
578,0,0,1,0,5,1,191,1,0,12,0.99,0,93,1,0,1,2,4.85185185185185,1,1,0,8,0.486,0,2,5
584,0,0,2,0,5,3,49,1,0,2,0.48,1,30,2,3,9,1,4.6,3,2,0,18,0.375,0,3,3
588,,,,,,,,,,,,,,,,,,,,,,,,,,
610,10,1,1,2,8,2,610,1,6,12,1.09,0,94,1,1,37,1,8.31481481481481,0,0,0,1,0.375,3,3,8
631,,,,,,,,,,,,,,,,,,,,,,,,,,
742,9,6,1,15,3,2,307,11,0,12,0.36,0,82,2,7,15,2,3.28169014084507,0,0,0,1,0.266666666666667,0,2,6
1020,0,0,1,0,4,2,27,1,0,0,0.38,5,0,3,0,15,1,1.5,1,2,0,2,0.333333333333333,0,3,0
1168,1,0,1,0,4,1,68,2,2,1,0.43,1,86,5,0,9,1,1.46666666666667,1,1,0,10,0.4,0,1,2
1234,0,0,1,0,2,1,30,2,1,1,0.75,1,100,5,0,0,2,0.5,0,0,0,0,0.5,0,2,0
1236,,,,,,,,,,,,,,,,,,,,,,,,,,
