,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,effort
7,1.0,0.0,1.0,0.0,8.0,2.0,133.0,2.0,8.0,1.0,0.67,0.0,100.0,3.0,0.0,17.0,2.0,2.0,0.0,0.0,0.0,217.0,0.6,0.0,2.0,2.0,6.692776194916483e-06
185,1.0,0.0,1.0,1.0,6.0,2.0,114.0,1.0,9.0,0.0,2.9,7.0,96.0,3.0,9.0,15.0,1.0,2.69230769230769,1.0,0.0,0.0,47.0,0.3,0.0,3.0,6.0,0.0008153526518992482
187,7.0,0.0,1.0,0.0,4.0,2.0,323.0,11.0,4.0,13.0,5.3,1.0,100.0,5.0,1.0,19.0,1.0,3.5,0.0,0.0,0.0,106.0,0.380952380952381,3.0,5.0,5.0,9.356482079292405e-05
238,2.0,14.0,1.0,0.0,7.0,2.0,1660.0,14.0,41.0,15.0,1.0,0.0,100.0,0.0,34.0,57.0,3.0,10.3222222222222,0.0,0.0,0.0,1022.0,1.1,2.0,4.0,8.0,6.090368244171529e-07
264,0.0,3.0,1.0,0.0,5.0,1.0,362.0,1.0,0.0,10.0,1.0,4.0,91.0,2.0,1.0,9.0,1.0,7.69642857142857,1.0,1.0,0.0,17.0,0.6,0.0,3.0,4.0,5.767828197500435e-05
279,0.0,0.0,1.0,0.0,7.0,2.0,227.0,2.0,8.0,3.0,1.19,0.0,79.0,6.0,2.0,12.0,1.0,0.5,0.0,1.0,2.0,0.0,0.333333333333333,0.0,5.0,4.0,0.0001326463347005591
291,7.0,0.0,1.0,0.0,6.0,2.0,650.0,18.0,23.0,8.0,0.81,0.0,96.0,4.0,43.0,35.0,2.0,2.93827160493827,0.0,0.0,0.0,952.0,1.1,0.0,5.0,5.0,2.290994829401427e-07
292,6.0,0.0,1.0,2.0,6.0,2.0,492.0,7.0,17.0,6.0,0.65,0.0,95.0,5.0,12.0,26.0,2.0,0.4,0.0,0.0,0.0,585.0,0.37037037037037,3.0,4.0,6.0,1.4748126342611911e-05
365,0.0,0.0,8.0,0.0,7.0,2.0,315.0,8.0,10.0,8.0,1.09,1.0,100.0,5.0,34.0,5.0,2.0,3.09090909090909,0.0,0.0,0.0,167.0,0.5,0.0,4.0,5.0,0.00017679206427945182
371,3.0,0.0,1.0,0.0,6.0,1.0,244.0,2.0,5.0,7.0,1.69,0.0,84.0,6.0,1.0,6.0,1.0,0.8,0.0,1.0,0.0,30.0,0.4,0.0,3.0,2.0,4.816160389475854e-05
396,20.0,1.0,1.0,1.0,5.0,2.0,520.0,17.0,14.0,17.0,1.6,1.0,100.0,6.0,10.0,11.0,3.0,3.32051282051282,0.0,0.0,0.0,442.0,0.454545454545455,0.0,3.0,3.0,9.256834057058683e-07
416,1.0,1.0,1.0,0.0,6.0,2.0,162.0,2.0,10.0,4.0,0.74,0.0,95.0,7.0,238.0,20.0,2.0,3.25,0.0,1.0,1.0,255.0,0.285714285714286,0.0,4.0,2.0,3.172607028356644e-05
468,0.0,0.0,1.0,0.0,16.0,1.0,82.0,1.0,1.0,1.0,2.73,0.0,87.0,5.0,4.0,1.0,1.0,5.0,0.0,2.0,0.0,56.0,0.428571428571429,0.0,1.0,2.0,0.004762866397965193
474,0.0,0.0,1.0,0.0,7.0,2.0,33.0,1.0,0.0,7.0,1.43,2.0,100.0,1.0,0.0,8.0,2.0,3.0,3.0,7.0,1.0,63.0,0.2,0.0,1.0,1.0,0.0016018489829439098
493,16.0,5.0,2.0,0.0,6.0,3.0,434.0,7.0,6.0,4.0,0.48,1.0,92.0,2.0,3.0,20.0,2.0,16.051724137931,0.0,1.0,0.0,137.0,0.7,1.0,4.0,5.0,3.7402273059372604e-05
515,8.0,7.0,1.0,0.0,7.0,2.0,635.0,11.0,11.0,8.0,0.85,0.0,94.0,3.0,4.0,30.0,3.0,3.74285714285714,0.0,0.0,0.0,263.0,0.8,1.0,4.0,3.0,4.316373777735194e-06
516,2.0,1.0,1.0,1.0,4.0,1.0,141.0,3.0,2.0,3.0,0.84,11.0,92.0,1.0,2.0,8.0,3.0,2.73076923076923,0.0,0.0,0.0,52.0,0.333333333333333,0.0,3.0,2.0,0.0019338344436646837
534,2.0,0.0,1.0,0.0,5.0,2.0,495.0,6.0,0.0,16.0,0.67,0.0,93.0,1.0,0.0,21.0,2.0,2.4,0.0,1.0,0.0,8.0,0.9,0.0,4.0,4.0,5.413963894973506e-07
538,3.0,0.0,1.0,0.0,4.0,2.0,204.0,4.0,1.0,13.0,6.2,0.0,87.0,1.0,1.0,28.0,2.0,15.1034482758621,0.0,1.0,1.0,78.0,0.153846153846154,0.0,4.0,5.0,0.0002781193116538905
549,0.0,0.0,2.0,1.0,9.0,3.0,363.0,4.0,10.0,4.0,2.0,1.0,92.0,1.0,1.0,29.0,3.0,3.3125,1.0,1.0,0.0,359.0,0.346153846153846,3.0,5.0,3.0,3.472473783960872e-06
563,0.0,0.0,1.0,0.0,9.0,2.0,113.0,3.0,1.0,0.0,0.81,1.0,93.0,2.0,0.0,22.0,2.0,3.44444444444444,0.0,1.0,0.0,25.0,1.1,0.0,4.0,6.0,8.97916172470925e-06
569,3.0,1.0,3.0,0.0,11.0,6.0,192.0,1.0,3.0,4.0,0.41,4.0,79.0,1.0,2.0,28.0,2.0,5.76923076923077,2.0,1.0,0.0,76.0,1.0,0.0,3.0,3.0,5.434864524866967e-06
578,0.0,1.0,1.0,0.0,5.0,1.0,191.0,1.0,0.0,12.0,0.99,0.0,93.0,1.0,0.0,1.0,2.0,4.85185185185185,1.0,1.0,0.0,8.0,0.333333333333333,0.0,2.0,5.0,1.1006335281171786e-05
584,0.0,0.0,2.0,0.0,5.0,3.0,49.0,8.0,0.0,2.0,0.48,1.0,30.0,2.0,3.0,9.0,1.0,4.6,3.0,2.0,2.0,51.0,0.375,0.0,3.0,3.0,0.004310213555548281
588,0.0,0.0,1.0,6.0,6.0,4.0,80.0,1.0,2.0,1.0,0.83,1.0,0.0,3.0,0.0,5.0,1.0,10.0,4.0,3.0,0.0,5.0,0.8,0.0,2.0,1.0,0.002722279468612032
610,10.0,1.0,1.0,2.0,8.0,2.0,610.0,1.0,6.0,12.0,1.09,0.0,94.0,1.0,1.0,37.0,1.0,8.31481481481481,0.0,0.0,0.0,242.0,0.8,3.0,3.0,8.0,2.0461391048165467e-07
631,2.0,4.0,1.0,5.0,6.0,2.0,578.0,9.0,11.0,17.0,8.8,0.0,100.0,1.0,1.0,30.0,2.0,5.75,0.0,0.0,0.0,470.0,0.485714285714286,4.0,3.0,7.0,5.63325054253605e-05
742,9.0,6.0,1.0,15.0,3.0,2.0,307.0,11.0,0.0,12.0,0.36,0.0,82.0,7.0,7.0,15.0,2.0,3.28169014084507,0.0,0.0,0.0,119.0,0.3,0.0,2.0,6.0,0.00010764208331770497
802,0.0,0.0,17.0,1.0,12.0,26.0,43.0,1.0,0.0,0.0,2.2,9.0,0.0,1.0,0.0,0.0,1.0,16.0,16.0,6.0,5.0,13.0,0.5,0.0,2.0,2.0,0.0004506424001726739
809,9.0,0.0,1.0,0.0,7.0,2.0,509.0,9.0,2.0,1.0,0.79,0.0,100.0,3.0,1.0,47.0,2.0,1.8,0.0,0.0,0.0,202.0,0.238095238095238,3.0,2.0,6.0,6.565766663024775e-06
1020,0.0,0.0,1.0,0.0,4.0,2.0,27.0,1.0,0.0,0.0,2.0,5.0,0.0,3.0,0.0,15.0,1.0,1.5,1.0,2.0,0.0,7.0,0.333333333333333,0.0,3.0,0.0,0.0012151692811195325
1168,1.0,6.0,1.0,0.0,4.0,1.0,88.0,2.0,2.0,1.0,0.43,1.0,86.0,8.0,0.0,9.0,1.0,1.46666666666667,1.0,1.0,0.0,10.0,0.4,0.0,1.0,2.0,0.0014559088843214552
1234,0.0,0.0,1.0,0.0,2.0,1.0,30.0,2.0,1.0,1.0,10.6,1.0,100.0,5.0,0.0,5.0,2.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,2.0,0.0,0.004386141647950592
1236,2.0,1.0,1.0,0.0,3.0,1.0,105.0,8.0,3.0,2.0,4.8,2.0,100.0,2.0,0.0,36.0,2.0,1.61538461538462,0.0,0.0,0.0,7.0,0.4,0.0,5.0,2.0,0.00042584326512196125
