test_idx,candidate_id,CountDeclMethodPrivate,AvgEssential,AvgLineComment,CountLineComment,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
1934,0,0.0,1.0,8.0,689.0,0.0,0.0,3.3,0.0,0.0,0.0,1.0,22.0,0.0,0.9,0.0,0.0,1.0,0.0,0.0,0.5,0.0,7.0,6.0,0.9014110824189501,0.09858891758105008
1934,1,153.0,2.0,7.0,1689.0,5.0,46.0,0.22,4.0,97.0,2.0,1.0,190.0,2.0,8.7,1.0,1.0,1.0,1.9,0.0,0.6,3.0,6.0,12.0,0.7554539205652377,0.24454607943476223
1934,2,21.0,1.0,4.0,685.0,17.0,7.0,0.34,0.0,100.0,3.0,6.0,77.0,2.0,5.1,0.0,1.0,0.0,1.1,0.0,0.7,1.0,7.0,10.0,0.7548250422533316,0.24517495774666848
1934,3,0.0,1.0,8.0,678.0,0.0,0.0,3.34,0.0,0.0,0.0,1.0,22.0,0.0,0.7,0.0,0.0,1.0,0.0,0.0,0.3,0.0,7.0,6.0,0.90444535798758,0.09555464201241987
1934,4,0.0,0.0,0.0,519.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,2.0,0.0,0.7120990707428283,0.28790092925717164
1934,5,21.0,1.0,4.0,685.0,17.0,7.0,0.34,0.0,100.0,3.0,6.0,77.0,2.0,5.1,0.0,1.0,0.0,1.1,0.0,0.7,1.0,7.0,10.0,0.7548250422533316,0.24517495774666848
208,0,0.0,1.0,0.0,261.0,0.0,9.0,0.99,0.0,93.0,1.0,1.0,15.0,2.0,1.1,0.0,0.0,1.0,0.4,0.0,0.2,0.0,2.0,2.0,0.5950996003099944,0.4049003996900055
208,1,0.0,1.0,0.0,261.0,0.0,9.0,0.99,0.0,93.0,1.0,1.0,15.0,2.0,1.1,0.0,0.0,1.0,0.4,0.0,0.2,0.0,2.0,2.0,0.5950996003099944,0.4049003996900055
208,2,3.0,1.0,7.0,228.0,0.0,2.0,0.93,0.0,80.0,2.0,0.0,1.0,2.0,3.1,1.0,1.0,1.0,0.8,0.0,1.0,0.0,1.0,1.0,0.9119722311832356,0.08802776881676434
208,3,7.0,1.0,3.0,200.0,0.0,4.0,0.28,0.0,89.0,1.0,1.0,34.0,1.0,6.3,1.0,1.0,1.0,0.4,0.0,0.8,0.0,2.0,1.0,0.8650845358102481,0.13491546418975184
208,4,10.0,1.0,9.0,267.0,0.0,27.0,0.6,5.0,100.0,1.0,0.0,4.0,2.0,6.9,0.0,1.0,0.0,1.7,0.0,1.0,0.0,1.0,0.0,0.8973844715999972,0.10261552840000267
208,5,7.0,1.0,3.0,200.0,0.0,4.0,0.28,0.0,89.0,1.0,1.0,34.0,1.0,6.3,1.0,1.0,1.0,0.4,0.0,0.8,0.0,2.0,1.0,0.8650845358102481,0.13491546418975184
208,6,0.0,1.0,0.0,261.0,0.0,9.0,0.99,0.0,93.0,1.0,1.0,15.0,2.0,1.1,0.0,0.0,1.0,0.4,0.0,0.2,0.0,2.0,2.0,0.5950996003099944,0.4049003996900055
208,7,7.0,1.0,3.0,200.0,0.0,4.0,0.28,0.0,89.0,1.0,1.0,34.0,1.0,6.3,1.0,1.0,1.0,0.4,0.0,0.8,0.0,2.0,1.0,0.8650845358102481,0.13491546418975184
208,8,0.0,1.0,0.0,261.0,0.0,9.0,0.99,0.0,93.0,1.0,1.0,15.0,2.0,1.1,0.0,0.0,1.0,0.4,0.0,0.2,0.0,2.0,2.0,0.5950996003099944,0.4049003996900055
209,0,10.0,1.0,9.0,267.0,0.0,27.0,0.6,5.0,100.0,1.0,0.0,4.0,2.0,6.9,0.0,1.0,0.0,1.7,0.0,1.0,0.0,1.0,0.0,0.8973844715999972,0.10261552840000267
209,1,2.0,1.0,1.0,374.0,0.0,2.0,1.54,0.0,84.0,2.0,0.0,2.0,2.0,0.9,0.0,0.0,1.0,0.2,0.0,0.3,0.0,1.0,1.0,0.6002532948700123,0.39974670512998767
