Antecedent,Antecedent Coverage %,Confidence,Lift
CountClassCoupled <= 1.2,0.20893,1.0,1.04771
CountClassBase <= 0.89,0.17813,1.0,1.04771
-0.008 < OWN_COMMIT <= 0.12,0.31518,0.99858,1.04622
1.2 < CountClassCoupled <= 4.05,0.21786,0.99795,1.04556
CountOutput_Mean <= 1.34,0.20134,0.99778,1.04539
1.34 < CountOutput_Mean <= 2.4,0.19821,0.9955,1.04299
MaxNesting_Mean <= 0.005,0.27455,0.99512,1.0426
-1.07 < CountDeclMethodPrivate <= 0.11,0.53348,0.99498,1.04245
0.98 < MINOR_LINE <= 1.34,0.30804,0.9942,1.04163
PercentLackOfCohesion <= 0,0.29375,0.99392,1.04134
