Antecedent,Antecedent Coverage %,Confidence,Lift
CountClassCoupled <= 1.3,0.19821,1.0,1.05263
4.4 < CountLineComment <= 21,0.17143,0.9974,1.04989
CountOutput_Mean <= 1.48,0.19866,0.99551,1.0479
1.3 < CountClassCoupled <= 4.45,0.19509,0.99542,1.04781
-0.008 < OWN_COMMIT <= 0.156,0.31607,0.99294,1.0452
CountClassBase <= 0.892,0.17946,0.99254,1.04478
1.48 < CountOutput_Mean <= 2.52,0.20357,0.99123,1.0434
-2.4 < CountDeclClassMethod <= 0.1,0.48795,0.98902,1.04107
MaxNesting_Mean <= 0.015,0.25536,0.98776,1.03975
0.892 < CountClassBase <= 1.012,0.375,0.9869,1.03885
