,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
0,0,1,1,3,2,5,3,0,4,8,1.02,0,100,2,5,318,1,3.0,1,4.55555555555556,1,1,0.571428571428571,0,0.461538461538462,0,12,0
9,0,0,1,2,202,6,3,0,4,6,1.1,0,55,2,0,8,1,3.0,1,4.16666666666667,1,1,0.909090909090909,1,0.375,0,5,2
10,1,0,6,346,0,5,1,0,10,7,0.61,2,80,4,0,4,1,4.125,1,4.875,1,1,2.1,0,0.3,4,4,3
37,0,0,1,2,1,6,3,0,5,11,0.99,0,72,2,0,5,1,2.72727272727273,1,4.09090909090909,1,1,0.2,347,0.357142857142857,0,5,2
30,0,0,1,2,1,4,3,0,4,7,0.83,0,71,2,0,9,1,2.85714285714286,1,4.14285714285714,1,1,0.416666666666667,423,0.1,0,4,1
14,1,0,1,3,3,0,1,11,13,3,0.27,0,82,4,2,5,1,6.06666666666667,1,5.86666666666667,0,1,0.722222222222222,245,0.428571428571429,0,2,3
1360,5,2,2,7,3,4,4,0,18,11,0.59,0,69,3,0,5,1,4.44444444444444,1,4.38888888888889,1,1,1.17391304347826,490,1.0,0,3,6
33,0,1,1,3,2,6,3,0,4,8,1.06,0,100,2,0,12,1,3.22222222222222,1,4.55555555555556,1,1,0.5,319,0.1,0,3,1
42,3,0,1,0,0,0,1,0,17,9,0.25,0,76,3,2,5,1,4.0,1,7.16666666666667,1,1,0.928571428571429,229,0.333333333333333,0,3,2
27,0,0,1,2,1,5,3,0,5,12,1.03,0,75,2,1,12,1,3.08333333333333,1,4.16666666666667,1,1,0.352941176470588,346,0.1,0,4,3
44,0,0,2,3,1,1,244,1,10,10,0.47,0,75,4,2,4,1,3.36363636363636,0,3.27272727272727,1,0,0.882352941176471,3,0.375,0,4,0
48,0,0,1,2,1,5,3,0,6,13,0.87,0,11,2,364,1,1,3.69230769230769,1,4.0,1,1,0.5,72,0.363636363636364,0,6,1
82,0,0,1,0,0,4,1,0,5,0.428571428571429,1.08,0,0,4,0,2,1,1.0,1,1.6,1,1,0.0,0,133,0,2,1
73,7,0,1,7,0,2,10,0,35,58,0.6,1,86,3,3,14,2,2.84615384615385,0,3.61538461538462,0,1,0.539473684210526,1173,0.1,0,1,6
85,2,0,1,0,0,3,1,0,0,5,0.39,0,0.428571428571429,4,0,3,1,2.0,192,1.85714285714286,1,1,0.0,0,0,0,2,2
89,0,0,4,0,0,0,2,0,2,5,0.83,0,87,124,1,4,1,1.0,0,2.2,1,1,0.0,0,0.428571428571429,0,2,1
90,2,0,1,0,0.5,4,2,0,0,6,0.5,0,0,0,0,4,1,2.0,0,2.75,1,1,0.545454545454545,0,167,0,5,1
65,0,0,1,2,0,5,3,0,4,6,0.81,0,66,2,0,10,1,3.5,2,5.0,2,1,0.545454545454545,452,0.1,0,4,4
92,0,0,1,0,0,13,1,0,0,7,1.2,0,0,267,0,3,1,1.0,1,1.71428571428571,4,1,0.0,1,0.5,0,1,2
63,0,0,1,1,0,8,2,0,5,10,0.1,0,70,2,1,9,1,5.2,2,6.7,2,1,1.42857142857143,361,0.15000000000000002,0,3,1
95,0,0,1,0,0,4,1,0,0,3,0.43,261,0,4,0,5,1,1.0,1,2.33333333333333,2,1,0.0,2,0,0.333333333333333,3,3
94,1,0,1,0,0,0,1,0,0,1,0.54,0,0,4,0,8,1,2.0,1,5.5,5,1,0.75,54,0.4,0,2,2
