,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
0,0,1,1,3,2,5,3,0,4,8,2.45,0,100,2,0,9,1,3.0,1,4.55555555555556,1,1,0.571428571428571,134,0.461538461538462,0,5,1
9,0,0,1,2,1,6,3,0,4,6,2.45,0,55,2,0,5,1,3.0,1,4.16666666666667,1,1,0.909090909090909,134,0.375,0,5,2
14,1,0,1,3,3,0,1,11,13,3,0.25,0,82,4,2,5,1,6.06666666666667,1,5.86666666666667,0,1,0.722222222222222,134,0.428571428571429,0,2,2
27,0,0,1,2,1,5,3,0,5,12,2.45,0,75,2,1,9,1,3.08333333333333,1,4.16666666666667,1,1,0.352941176470588,134,0.384615384615385,0,4,7
30,0,0,1,2,1,4,3,0,4,7,0.25,0,71,2,0,5,1,2.85714285714286,1,4.14285714285714,1,1,0.416666666666667,134,0.384615384615385,0,4,0
33,0,1,1,3,2,6,3,0,4,8,2.45,0,100,2,0,9,1,3.22222222222222,1,4.55555555555556,1,1,0.5,134,0.333333333333333,0,3,1
37,0,0,1,2,1,6,3,0,5,11,2.45,0,72,2,0,9,1,2.72727272727273,1,4.09090909090909,1,1,0.2,134,0.357142857142857,0,5,2
1360,5,2,2,7,3,4,4,0,18,11,0.25,0,69,3,0,5,1,4.44444444444444,1,4.38888888888889,1,1,1.17391304347826,134,1.0,0,3,2
42,3,0,1,0,0,0,1,0,17,9,0.2,0,76,3,2,5,1,4.0,1,7.16666666666667,1,1,0.928571428571429,134,0.333333333333333,0,3,1
63,0,0,1,1,0,8,2,0,5,10,0.25,0,70,2,1,5,1,5.2,2,6.7,2,1,1.42857142857143,134,0.333333333333333,0,3,0
82,0,0,1,0,0,4,1,0,0,5,2.45,0,0,4,0,4,1,1.0,1,1.6,1,1,0.0,54,0.428571428571429,0,2,0
89,0,0,1,0,0,0,2,0,2,5,0.25,0,87,4,0,6,1,1.0,0,2.2,1,1,0.0,124,0.428571428571429,0,2,0
90,2,0,1,0,0,0,2,0,0,6,0.25,0,0,4,0,6,1,2.0,0,2.75,1,1,0.545454545454545,167,0.5,0,3,2
92,0,0,1,0,0,13,1,0,0,7,2.45,0,0,4,0,4,1,1.0,1,1.71428571428571,1,1,0.0,267,0.5,0,2,3
94,1,0,1,0,0,0,1,0,0,1,0.25,0,0,4,0,5,1,2.0,1,5.5,5,1,0.75,54,0.4,0,2,1
95,0,0,1,0,0,4,1,0,0,3,0.25,5,0,4,0,4,1,1.0,1,2.33333333333333,2,1,0.0,261,0.333333333333333,0,3,2
101,0,0,1,0,0,0,1,0,1,10,0.25,0,0,4,0,4,1,1.8,0,1.2,1,1,0.416666666666667,161,0.4,0,2,1
104,1,0,1,0,0,0,2,0,2,7,0.25,0,91,4,0,6,1,1.5,0,2.125,1,1,0.0,228,0.428571428571429,0,2,1
120,0,0,1,0,0,0,2,0,0,8,0.25,1,0,4,0,4,1,1.125,1,2.0,2,1,0.0,222,0.375,0,4,7
134,0,1,1,3,2,4,3,0,4,6,0.25,0,100,2,0,5,1,5.28571428571429,2,4.85714285714286,1,1,0.818181818181818,134,0.333333333333333,0,2,3
324,0,1,1,0,8,5,3,0,4,10,0.25,0,12,3,0,5,2,4.27272727272727,2,4.63636363636364,2,1,0.933333333333333,55,0.333333333333333,0,3,2
350,16,0,1,18,12,2,11,5,27,78,0.25,0,95,2,0,9,2,3.19191919191919,0,3.23232323232323,0,1,0.756521739130435,134,0.375,0,3,6
364,0,0,3,0,0,17,1,4,0,1,0.25,2,0,2,0,5,1,4.0,3,11.2,2,1,2.375,134,0.375,0,2,7
379,1,0,1,0,0,0,2,0,9,7,0.1,0,61,2,0,5,1,3.25,0,4.0,1,1,0.545454545454545,54,0.25,0,2,2
556,0,0,1,0,0,2,2,0,5,4,0.25,0,25,2,1,5,1,5.75,3,7.0,4,1,1.125,54,0.375,0,4,2
660,7,0,1,2,0,2,3,0,7,13,0.25,0,75,2,0,9,2,3.9,0,3.65,0,1,0.68,55,0.428571428571429,0,1,2
675,1,0,1,1,0,3,1,0,0,6,0.05,9,71,4,0,5,1,4.42857142857143,1,7.85714285714286,2,1,0.666666666666667,134,0.666666666666667,0,2,0
757,0,0,1,2,0,4,2,0,7,8,2.45,0,71,2,1,5,1,20.25,1,4.625,1,1,0.583333333333333,134,0.545454545454545,0,5,6
761,0,0,1,1,0,2,2,0,5,6,0.25,0,45,2,0,5,1,4.5,2,4.83333333333333,3,1,0.333333333333333,134,0.5,0,7,0
876,2,0,1,0,0,2,1,6,7,26,0.25,0,76,2,0,9,2,3.67647058823529,0,3.14705882352941,1,1,0.805555555555556,55,0.5,0,2,2
941,28,0,5,10,3,0,1,1,11,7,0.0,0,88,1,0,4,2,5.11111111111111,1,4.80555555555556,1,1,1.68421052631579,55,0.5,0,5,2
