,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
101,0,0,1,0,0,0,1,0,1,10,2,0,0,4,0,0,1,1.8,0,1.2,1,1,0.416666666666667,161,0.4,0,3,0.3
9,0,0,1,2,1,6,3,0,4,6,8,0,55,2,0,202,1,3.0,1,4.16666666666667,1,1,0.909090909090909,1.1,0.375,0,5,2
30,0,0,1,2,1,4,3,0,4,7,0.0,0,71,2,0,9,1,2.85714285714286,1,4.14285714285714,1,1,0.416666666666667,423,0.384615384615385,0,4,0
44,0,0,2,3,1,1,4,1,10,10,3,0,75,4,2,0,1,3.36363636363636,0,3.27272727272727,1,0,0.882352941176471,244,0.375,0,0.47,4
6,0,0,1,2,1,5,3,0,5,12,0.05,0,75,2,0,12,1,2.75,1,4.16666666666667,1,1,0.352941176470588,361,0.333333333333333,0,5,1
82,0,0,1,0,0,4,1,0,0,5,133,0,0,4,0,1.08,1,1.0,1,1.6,1,1,0.0,2,0.428571428571429,0,2,1
14,1,0,1,3,3,0,1,11,13,3,0.15000000000000002,0,82,4,2,8,1,6.06666666666667,1,5.86666666666667,0,1,0.722222222222222,245,0.428571428571429,0,2,0
0,0,1,1,3,2,5,3,0,4,8,318,0,100,2,0,1.02,1,3.0,1,4.55555555555556,1,1,0.571428571428571,0,0.461538461538462,0,5,12
27,0,0,1,2,1,5,3,0,5,12,346,0,75,2,1,1.03,1,3.08333333333333,1,4.16666666666667,1,1,0.352941176470588,3,0.384615384615385,0,4,12
63,0,0,1,1,0,8,2,0,5,10,0.05,0,70,2,1,9,1,5.2,2,6.7,2,1,1.42857142857143,361,0.333333333333333,0,3,0
90,2,0,1,0,0,0,2,0,0,6,4,0,0,4,0,1,1,2.0,0,2.75,1,1,0.545454545454545,167,0.5,0,0.5,5
1360,5,2,2,7,3,4,4,0,18,11,0.59,0,69,3,0,8,1,4.44444444444444,1,4.38888888888889,1,1,1.17391304347826,490,1.0,0,3,0
104,1,0,1,0,0,0,2,0,2,7,4,0,91,4,0,0,1,1.5,0,2.125,1,1,0.0,228,0.428571428571429,0,0.27,3
92,0,0,1,0,0,13,1,0,0,7,1,0,0,4,0,2,1,1.0,1,1.71428571428571,1,1,0.0,267,0.5,0,1.2,3
37,0,0,1,2,1,6,3,0,5,11,12,0,72,2,0,347,1,2.72727272727273,1,4.09090909090909,1,1,0.2,0.99,0.357142857142857,0,5,2
26,0,0,1,2,1,5,3,0,4,9,0.05,0,74,2,0,11,1,3.33333333333333,1,4.11111111111111,1,1,0.642857142857143,326,0.333333333333333,0,4,0
