,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
0,0.0,1.0,1.0,3.0,2.0,220.0,3.0,0.0,4.0,8.0,1.02,51.0,100.0,2.0,0.0,12.0,1.0,3.0,1.0,4.55555555555556,1.0,1.0,0.571428571428571,318.0,0.461538461538462,0.0,5.0,0.0
6,0.0,0.0,1.0,2.0,15.0,5.0,3.0,0.0,5.0,12.0,0.88,0.0,75.0,2.0,0.0,12.0,1.0,2.75,1.0,4.16666666666667,1.0,410.0,0.352941176470588,361.0,0.333333333333333,0.0,5.0,3.0
9,0.0,0.0,1.0,2.0,1.0,6.0,3.0,0.0,4.0,6.0,10.22,0.0,55.0,2.0,71.0,8.0,1.0,3.0,1.0,4.16666666666667,1.0,1.0,0.909090909090909,202.0,0.375,0.0,5.0,2.0
10,1.0,0.0,4.0,6.0,0.0,5.0,1.0,0.0,10.0,7.0,0.61,2.0,80.0,4.0,130.0,4.0,1.0,4.125,32.0,4.875,1.0,1.0,2.1,346.0,0.3,0.0,4.0,3.0
13,3.0,0.0,2.0,2.0,0.0,144.0,1.0,0.0,9.0,7.0,0.49,1.0,79.0,4.0,0.0,3.0,1.0,3.5,1.0,3.8,1.0,1.0,2.6,216.0,0.3,0.0,4.0,3.0
14,1.0,0.0,1.0,3.0,3.0,0.0,1.0,11.0,13.0,3.0,0.27,0.0,82.0,4.0,2.0,8.0,1.0,6.06666666666667,1.0,5.86666666666667,0.0,1.0,4.1,1072.0,0.428571428571429,0.0,2.0,3.0
26,0.0,0.0,1.0,2.0,1.0,5.0,3.0,0.0,4.0,95.0,0.79,0.0,74.0,2.0,0.0,11.0,1.0,3.33333333333333,1.0,4.11111111111111,1.0,1.0,4.5,326.0,0.333333333333333,0.0,4.0,4.0
27,0.0,0.0,1.0,2.0,1.0,5.0,3.0,0.0,5.0,12.0,1.95,0.0,75.0,2.0,1.0,12.0,1.0,3.08333333333333,1.0,4.16666666666667,1.0,325.0,0.352941176470588,346.0,0.384615384615385,0.0,4.0,3.0
30,0.0,0.0,1.0,2.0,1.0,171.0,3.0,0.0,4.0,7.0,8.21,0.0,71.0,2.0,0.0,9.0,1.0,2.85714285714286,1.0,4.14285714285714,1.0,1.0,0.416666666666667,423.0,0.384615384615385,0.0,4.0,1.0
33,0.0,1.0,1.0,3.0,2.0,6.0,16.0,0.0,4.0,8.0,1.06,0.0,100.0,2.0,165.0,12.0,1.0,3.22222222222222,1.0,4.55555555555556,1.0,1.0,0.5,319.0,0.333333333333333,0.0,3.0,1.0
37,0.0,0.0,1.0,2.0,1.0,6.0,3.0,17.0,5.0,11.0,0.99,0.0,72.0,2.0,0.0,12.0,1.0,2.72727272727273,1.0,4.09090909090909,1.0,156.0,0.2,347.0,0.357142857142857,0.0,5.0,2.0
1360,5.0,2.0,2.0,7.0,3.0,4.0,4.0,0.0,18.0,11.0,0.59,0.0,69.0,3.0,0.0,8.0,1.0,4.44444444444444,1.0,4.38888888888889,1.0,286.0,1.17391304347826,490.0,1.0,0.0,3.0,6.0
42,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,9.0,0.25,32.0,76.0,3.0,2.0,8.0,1.0,4.0,1.0,7.16666666666667,1.0,1.0,0.928571428571429,668.0,0.333333333333333,0.0,3.0,2.0
44,42.0,0.0,2.0,3.0,1.0,1.0,4.0,1.0,10.0,86.0,0.47,0.0,75.0,4.0,2.0,3.0,1.0,3.36363636363636,0.0,3.27272727272727,1.0,0.0,0.882352941176471,244.0,0.375,0.0,4.0,0.0
48,0.0,0.0,1.0,2.0,1.0,5.0,3.0,0.0,6.0,13.0,0.87,0.0,72.0,2.0,1.0,11.0,1.0,3.69230769230769,1.0,4.0,1.0,1.0,5.2,901.0,0.363636363636364,0.0,6.0,1.0
63,0.0,0.0,1.0,1.0,0.0,8.0,2.0,0.0,5.0,10.0,11.98,0.0,70.0,2.0,128.0,9.0,1.0,5.2,2.0,6.7,2.0,1.0,1.42857142857143,361.0,0.333333333333333,0.0,3.0,1.0
65,0.0,0.0,1.0,2.0,0.0,5.0,3.0,0.0,4.0,6.0,1.95,0.0,66.0,2.0,0.0,10.0,1.0,3.5,2.0,5.0,2.0,325.0,0.545454545454545,452.0,0.384615384615385,0.0,4.0,4.0
72,3.0,0.0,2.0,3.0,0.0,5.0,1.0,0.0,15.0,8.0,0.55,71.0,78.0,4.0,0.0,5.0,1.0,5.81818181818182,2.0,6.36363636363636,5.0,1.0,1.30769230769231,455.0,0.5,0.0,3.0,3.0
73,7.0,68.0,1.0,7.0,0.0,2.0,10.0,0.0,35.0,58.0,3.88,1.0,86.0,3.0,3.0,14.0,2.0,2.84615384615385,0.0,3.61538461538462,0.0,1.0,0.539473684210526,1173.0,0.384615384615385,0.0,1.0,6.0
82,0.0,0.0,1.0,0.0,0.0,96.0,1.0,0.0,0.0,5.0,1.08,0.0,0.0,4.0,0.0,45.0,1.0,1.0,1.0,1.6,1.0,1.0,0.0,133.0,0.428571428571429,0.0,2.0,1.0
85,2.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,0.39,0.0,0.0,4.0,128.0,3.0,1.0,2.0,0.0,1.85714285714286,1.0,1.0,0.0,14.0,0.428571428571429,0.0,2.0,2.0
86,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,14.0,0.12,76.0,0.0,4.0,0.0,10.0,1.0,4.14285714285714,27.0,3.85714285714286,2.0,1.0,0.235294117647059,312.0,0.285714285714286,0.0,3.0,1.0
89,30.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,0.83,0.0,87.0,4.0,0.0,4.0,1.0,1.0,0.0,2.2,1.0,115.0,0.0,124.0,0.428571428571429,0.0,2.0,1.0
90,2.0,0.0,1.0,0.0,0.0,344.0,2.0,0.0,40.0,6.0,0.5,0.0,0.0,4.0,0.0,4.0,1.0,2.0,0.0,2.75,1.0,1.0,0.545454545454545,167.0,0.5,0.0,5.0,1.0
92,0.0,0.0,1.0,0.0,0.0,13.0,1.0,0.0,57.0,7.0,1.2,0.0,0.0,4.0,0.0,3.0,1.0,49.1,1.0,1.71428571428571,1.0,1.0,0.0,267.0,0.5,0.0,1.0,2.0
