Model,ModelAbbr,Explainer,N,left_mass_0_0.2,right_mass_0.8_1.0,right_skew_index,bowley_skew,fisher_skew,p_0_0.2,p_0.2_0.4,p_0.4_0.6,p_0.6_0.8,p_0.8_1.0,median
RandomForest,RF,LIME,538,0.5353159851301115,0.17657992565055763,0.35873605947955384,0.4301243777805262,0.9021089988250386,0.5353159851301115,0.14869888475836432,0.08736059479553904,0.05204460966542751,0.17657992565055763,0.16147393064676255
RandomForest,RF,LIME-HPO,536,0.5261194029850746,0.15298507462686567,0.373134328358209,0.35944333583846627,0.9696218288504811,0.5261194029850746,0.16791044776119404,0.11007462686567164,0.04291044776119403,0.15298507462686567,0.16818320944771165
RandomForest,RF,TimeLIME,425,0.7035294117647058,0.08,0.6235294117647059,0.5660301243358545,1.6860626369868243,0.7035294117647058,0.10823529411764705,0.06823529411764706,0.04,0.08,0.0621847280405111
RandomForest,RF,SQAPlanner,205,0.8926829268292683,0.004878048780487805,0.8878048780487805,0.947643979057592,3.154064888427617,0.8926829268292683,0.04878048780487805,0.04390243902439024,0.00975609756097561,0.004878048780487805,0.0026178010471204
RandomForest,RF,DiCE,1070,0.8149532710280374,0.08037383177570094,0.7345794392523365,0.9566038522848546,2.246312967672963,0.8149532710280374,0.05514018691588785,0.0308411214953271,0.018691588785046728,0.08037383177570094,0.0020366986854026
XGBoost,XGB,LIME,633,0.7109004739336493,0.0995260663507109,0.6113744075829384,0.6782354562170848,1.6875140592588718,0.7109004739336493,0.10584518167456557,0.06003159557661927,0.023696682464454975,0.0995260663507109,0.0414134555066723
XGBoost,XGB,LIME-HPO,615,0.6829268292682927,0.09268292682926829,0.5902439024390245,0.6109805893957152,1.645347576802199,0.6829268292682927,0.13170731707317074,0.06666666666666667,0.026016260162601626,0.09268292682926829,0.0572987356306811
XGBoost,XGB,TimeLIME,475,0.7621052631578947,0.061052631578947365,0.7010526315789474,0.6768972582077016,2.068157476898041,0.7621052631578947,0.09894736842105263,0.05052631578947368,0.02736842105263158,0.061052631578947365,0.0314303499266015
XGBoost,XGB,SQAPlanner,249,0.9076305220883534,0.004016064257028112,0.9036144578313252,0.7777777777777777,3.944364898507474,0.9076305220883534,0.060240963855421686,0.01606425702811245,0.012048192771084338,0.004016064257028112,0.0059171597633136
XGBoost,XGB,DiCE,1505,0.8451827242524917,0.045182724252491695,0.8,0.9428545391149532,2.6894053463332117,0.8451827242524917,0.053820598006644516,0.037209302325581395,0.018604651162790697,0.045182724252491695,0.0019841269841272
SVM,SVM,LIME,345,0.47246376811594204,0.18840579710144928,0.28405797101449276,0.385721628457761,0.7324267616124359,0.47246376811594204,0.1681159420289855,0.0927536231884058,0.0782608695652174,0.18840579710144928,0.2222222222222221
SVM,SVM,LIME-HPO,347,0.4956772334293948,0.16714697406340057,0.3285302593659942,0.36882072173387054,0.8691461094510251,0.4956772334293948,0.17579250720461095,0.09221902017291066,0.069164265129683,0.16714697406340057,0.2048873401123087
SVM,SVM,TimeLIME,257,0.47470817120622566,0.21011673151750973,0.2645914396887159,0.5363542546205082,0.6953946224819411,0.47470817120622566,0.1556420233463035,0.07782101167315175,0.08171206225680934,0.21011673151750973,0.2156862745098039
SVM,SVM,SQAPlanner,72,0.4444444444444444,0.06944444444444445,0.375,2.2204460492503126e-16,0.920726954430704,0.4444444444444444,0.2638888888888889,0.1111111111111111,0.1111111111111111,0.06944444444444445,0.25
SVM,SVM,DiCE,1047,0.6380133715377269,0.049665711556829036,0.5883476599808978,0.8008068145580626,1.3778021253002808,0.6380133715377269,0.14708691499522444,0.11652340019102196,0.04871060171919771,0.049665711556829036,0.0331988642403229
LightGBM,LGBM,LIME,585,0.6752136752136753,0.09401709401709402,0.5811965811965812,0.6203514034009586,1.637469377205996,0.6752136752136753,0.14188034188034188,0.06324786324786325,0.02564102564102564,0.09401709401709402,0.05603194075319
LightGBM,LGBM,LIME-HPO,575,0.6313043478260869,0.10956521739130434,0.5217391304347826,0.5328977021885836,1.4219086186841248,0.6313043478260869,0.1426086956521739,0.09217391304347826,0.02434782608695652,0.10956521739130434,0.0917551960563521
LightGBM,LGBM,TimeLIME,433,0.8036951501154734,0.05542725173210162,0.7482678983833718,0.6328070142804361,2.3404814979943827,0.8036951501154734,0.08083140877598152,0.03695150115473441,0.023094688221709007,0.05542725173210162,0.0283018867924528
LightGBM,LGBM,SQAPlanner,265,0.8264150943396227,0.01509433962264151,0.8113207547169812,0.915789473684212,2.610574130868941,0.8264150943396227,0.07924528301886792,0.06037735849056604,0.018867924528301886,0.01509433962264151,0.0042105263157894
LightGBM,LGBM,DiCE,1301,0.8385857033051499,0.05918524212144504,0.7794004611837049,0.9696454653763809,2.531648581035539,0.8385857033051499,0.05073020753266718,0.03766333589546503,0.013835511145272867,0.05918524212144504,0.001031991744066
CatBoost,CatB,LIME,507,0.1794871794871795,0.39644970414201186,-0.21696252465483237,0.15726465876871326,-0.16237450647484508,0.1794871794871795,0.1834319526627219,0.15187376725838264,0.08875739644970414,0.39644970414201186,0.572649858601148
CatBoost,CatB,LIME-HPO,486,0.2222222222222222,0.38271604938271603,-0.16049382716049382,0.06850681202334574,-0.16155740560049206,0.2222222222222222,0.16666666666666666,0.11522633744855967,0.11316872427983539,0.38271604938271603,0.5958617607578771
CatBoost,CatB,TimeLIME,453,0.6048565121412803,0.10154525386313466,0.5033112582781457,0.4467950175743393,1.319705410766681,0.6048565121412803,0.1545253863134658,0.09713024282560706,0.04194260485651214,0.10154525386313466,0.1174596743541865
