Model,Explainer,Flip Rate
SVM,LIME,0.8963133640552995
SVM,LIME-HPO,0.8932411674347158
SVM,TimeLIME,0.6144393241167435
SVM,SQAPlanner,0.22580645161290322
SVM,All,0.6574500768049155
RF,LIME,0.9583333333333334
RF,LIME-HPO,0.950109649122807
RF,TimeLIME,0.6085526315789473
RF,SQAPlanner,0.4281798245614035
RF,All,0.7362938596491229
XGB,LIME,0.93900563813429
XGB,LIME-HPO,0.9410558687852384
XGB,TimeLIME,0.6309584828293183
XGB,SQAPlanner,0.4520758585340851
XGB,All,0.740773962070733
LGBM,LIME,0.9401353461738677
LGBM,LIME-HPO,0.937532535137949
LGBM,TimeLIME,0.6158250910983862
LGBM,SQAPlanner,0.4846434148880791
LGBM,All,0.7445340968245705
CatB,LIME,0.9520624303232998
CatB,LIME-HPO,0.9509476031215162
CatB,TimeLIME,0.596989966555184
CatB,SQAPlanner,0.4721293199554069
CatB,All,0.7430323299888517
