Project,DeFlip,DeFlip_actionable,LIME-HPO,LIME-HPO_all,SQAPlanner_confidence,SQAPlanner_confidence_all,SQAPlanner_coverage,SQAPlanner_coverage_all,SQAPlanner_lift,SQAPlanner_lift_all,TimeLIME,TimeLIME_all
activemq@0,0.4279744086543844,0.20079904188011063,0.5836326402597269,0.33094348762236453,0.2592495747312062,0.2592495747312062,0.6525527399102153,0.6525527399102153,0.2592495747312062,0.25924957473120624,0.7594076084174122,0.4129259280299587
activemq@1,0.30101627686382765,0.14996876111948154,0.43288669149497055,0.27161519812547436,0.30760648735373625,0.30760648735373625,0.5231695299689049,0.5231695299689049,0.30760648735373625,0.30760648735373625,0.4110119137137301,0.2667339243963629
activemq@2,0.21048367408826743,0.14424733889538793,0.5203912078027717,0.28620844331694506,0.17141709847131048,0.1782976610322859,0.5849379311875015,0.5431669157391343,0.17141709847131048,0.17829766103228592,0.42090500110316703,0.18481047944831466
activemq@3,0.28526898157962427,0.22961393518891152,0.626783258305809,0.25690707178056854,0.19547270266351044,0.1864256546342934,0.522983724808177,0.522983724808177,0.19547270266351044,0.1864256546342934,0.6675953441386803,0.4596539594489649
camel@0,0.49442386204870314,0.18096738550972216,0.5509076016723155,0.36277408060248695,0.30342387518268565,0.2990707997100745,0.41417738325647885,0.4640825447666937,0.30342387518268565,0.3111811113594322,0.6200266723069515,0.28216736649345264
camel@1,0.2708767210468544,0.05791650578684556,0.4091904384764852,0.2516368324968951,0.19980678544917874,0.19980678544917874,0.0851793850696691,0.0851793850696691,0.19980678544917874,0.19980678544917874,0.5097516802985322,0.3065083381330972
camel@2,0.2985902867485283,0.07398862549310245,0.4601480414227911,0.2727284633766171,,,,,,,0.49919953571515846,0.2546044994809171
derby@0,0.19434723745240584,0.12142943764290529,0.5842095176744577,0.2376702909850849,0.3733402782630552,0.357110914263081,0.48456394731950053,0.43679534824105387,0.37446346288291055,0.30894125034307235,0.5121720886411137,0.33907694760919627
derby@1,0.1859586213447624,0.14069224515100356,0.5653274186604829,0.2499093239909173,0.2309216983790891,0.26104077380798185,0.502142978593885,0.5634354722893732,0.23423920020353167,0.2406296642742063,0.5614096446299764,0.14410018740008573
groovy@0,0.26317122166106943,0.2840886299561575,0.45372809630862226,0.24183393309660248,,,0.38888888888888895,0.38888888888888895,,,0.40991245489996264,0.21062670524874197
groovy@1,0.27936157902236,0.2069132712000762,0.49986693048605996,0.31939088988371883,0.24582478424090085,0.24582478424090085,0.3362556909068537,0.3362556909068537,0.24582478424090085,0.24582478424090085,0.592878731417389,0.36467904578485166
hbase@0,0.3533860033989405,0.2360512032231365,0.6236994679085428,0.32665435335635606,0.20625768004454031,0.230417703404614,0.5025353666004456,0.5547059217600575,0.20625768004454031,0.2127168551888839,0.6339243393544574,0.438937467475308
hbase@1,0.2858549293397529,0.17584492436619523,0.5003576784464839,0.26106013820559715,0.2501315802725308,0.2480033449271253,0.3601182932678095,0.3601182932678095,0.2501315802725308,0.2480033449271253,0.5027438709147316,0.24862817361056916
hive@0,0.21741148928632759,0.14130315140942282,0.580610789071409,0.2952222595562743,0.18085571769510023,0.20210580442891607,0.4144876104807187,0.4144876104807187,0.18085571769510023,0.17663464798842204,0.5920986115683627,0.3481080116173767
hive@1,0.3611791380404246,0.18793739234605417,0.5500409771231427,0.33441178260914745,0.33730549415519345,0.2947818076895141,0.5042351823268915,0.46960972061579315,0.33730549415519345,0.2947818076895141,0.5427068353107652,0.17383742563794952
jruby@0,0.3484412142294325,0.22217914594808125,0.6297124563408344,0.3186230104978993,0.2586077340936846,0.25107699982552234,0.5043953353757579,0.5043953353757579,0.2586077340936846,0.2510769998255223,0.524257031885099,0.23765629509006933
jruby@1,0.1834038189945365,0.14617510196423458,0.6067920089096183,0.28582416013195866,0.24416239878331622,0.24387017421233365,0.3365147445234105,0.3365147445234105,0.24416239878331622,0.24387017421233365,0.688713126541848,0.27297086540200327
jruby@2,0.2999440688308314,0.15729478445223127,0.5604037044291119,0.35643812664952645,0.21450671829128112,0.2906183095693823,0.4850260757329985,0.4607269547790947,0.21450671829128112,0.2906183095693823,0.48572378162730095,0.30731295267165315
lucene@0,0.4203632228147589,0.31416130113968854,0.5646963649288755,0.35910472102631036,0.5180863779411962,0.5108219191990283,0.4595108959199303,0.4595108959199303,0.5180863779411962,0.5104614653926491,0.6105664436570055,0.35049536359871075
lucene@1,0.19446429233809145,0.1684864463151199,0.5026289915214108,0.3495266731216936,0.2039278456745876,0.2881786020936372,0.32059285710174035,0.3185853529654581,0.2039278456745876,0.2881786020936372,0.3973885099182404,0.2768489836270774
lucene@2,0.5196166318405288,0.2165396829036389,0.39924790723299514,0.343821691373474,0.3404189059711811,0.3404189059711811,0.5244863507206177,0.5244863507206177,0.3404189059711811,0.3404189059711811,0.5941962946337411,0.372663921280924
wicket@0,,0.16341611730277886,,,0.407236073440312,0.41320983677226897,0.5966715534900394,0.6102421214424304,0.407236073440312,0.41320983677226897,0.4727229657958859,0.2834435537602637
wicket@1,0.14719021114846667,0.3236236761133202,0.44541875528946195,0.20759905571378218,0.1875071781477499,0.1875071781477499,0.3479327807324277,0.35384291332766404,0.1875071781477499,0.1875071781477499,0.5306555221360386,0.27775068233247513
