Model,Explainer,Min,Max,Mean
RandomForest,LIME,0.48614184923966625,1.1640847453184644,0.6888040979258425
RandomForest,LIME-HPO,0.48975580975142896,1.1645713422833452,0.6921550012044883
RandomForest,TimeLIME,0.2255618659831179,0.9161764233533887,0.438405371364513
RandomForest,SQAPlanner_confidence,0.0767218970466543,0.9325441193466941,0.43795675236107035
RandomForest,Mean,0.3195453555052169,1.0443441575754733,0.5643303057139786
SVM,LIME,0.5964836053992262,1.3238474072305897,0.9063957922865165
SVM,LIME-HPO,0.6040319167225502,1.3239876495454352,0.9176831340469234
SVM,TimeLIME,0.587051064599491,1.3608462653642297,0.886157092503386
SVM,SQAPlanner_confidence,0.3005600167557611,1.2149657428251257,0.6648727374295298
SVM,Mean,0.5220316508692571,1.305911766241345,0.8437771890665889
XGBoost,LIME,0.383001860059331,1.063484530793602,0.562956684255241
XGBoost,LIME-HPO,0.40370093122281686,1.077215485657824,0.5911856981412242
XGBoost,TimeLIME,0.1900565767839928,0.9080851844816322,0.4128073985399061
XGBoost,SQAPlanner_confidence,0.06102522601678973,0.9026612722219437,0.35804906433713746
XGBoost,Mean,0.2594461485207326,0.9878616182887505,0.48124971131837724
CatBoost,LIME,0.45127548012857427,1.15573391615974,0.6652796019415945
CatBoost,LIME-HPO,0.40745646080700343,1.0911575015758612,0.6270691178799718
CatBoost,TimeLIME,0.24609119470100121,0.9399678272412587,0.4751694580541666
CatBoost,SQAPlanner_confidence,0.10753026509286583,0.9769402101624516,0.4266201473766378
CatBoost,Mean,0.3030883501823612,1.040949863784828,0.5485345813130926
LightGBM,LIME,0.2866259969411986,0.9653577883977674,0.48639972944689297
LightGBM,LIME-HPO,0.34785052089611845,1.0204406512372806,0.5497914637992773
LightGBM,TimeLIME,0.161430091771801,0.8659850229347837,0.3765106779148674
LightGBM,SQAPlanner_confidence,0.10579625869909806,0.9688268410893048,0.41118774569438044
LightGBM,Mean,0.22542571707705403,0.9551525759147841,0.45597240421385454
