Model,Method,Explainer,Min,Max,Mean
RandomForest,random,DiCE,1.6722294908301771,2.324323913506836,1.9237492290948814
RandomForest,kdtree,DiCE,0.6778918756570473,0.9794989447600044,0.8310029963260112
SVM,random,DiCE,0.8033055455973636,1.5983612807363647,1.186595696574607
SVM,kdtree,DiCE,0.8268401214847145,1.1634465678832835,0.9938017267285576
XGBoost,random,DiCE,0.8009931632109336,1.4630727301298891,1.0475567056481003
XGBoost,kdtree,DiCE,4953195473808.467,4953195473808.763,4953195473808.611
LightGBM,random,DiCE,1.0504222827421787,1.719764803451507,1.3171098173062408
LightGBM,kdtree,DiCE,5216663318159.992,5216663318160.294,5216663318160.14
CatBoost,random,DiCE,1.4651955533567307,2.123809547322659,1.723382387570284
CatBoost,kdtree,DiCE,0.6446001095875784,0.9581287310815685,0.7915799473853499
