Model,Project,Flip,Computed,#TP,Flip%
RandomForest,activemq@0,52,52,65,0.8
RandomForest,activemq@1,38,38,48,0.7916666666666666
RandomForest,activemq@2,53,53,82,0.6463414634146342
RandomForest,activemq@3,60,60,79,0.759493670886076
RandomForest,camel@0,40,40,60,0.6666666666666666
RandomForest,camel@1,29,29,36,0.8055555555555556
RandomForest,camel@2,20,20,24,0.8333333333333334
RandomForest,derby@0,203,203,426,0.4765258215962441
RandomForest,derby@1,131,131,195,0.6717948717948717
RandomForest,groovy@0,6,6,8,0.75
RandomForest,groovy@1,21,21,25,0.84
RandomForest,hbase@0,80,80,108,0.7407407407407407
RandomForest,hbase@1,122,122,153,0.7973856209150327
RandomForest,hive@0,57,57,78,0.7307692307692307
RandomForest,hive@1,25,25,34,0.7352941176470589
RandomForest,jruby@0,28,28,48,0.5833333333333334
RandomForest,jruby@1,24,24,45,0.5333333333333333
RandomForest,jruby@2,18,18,22,0.8181818181818182
RandomForest,lucene@0,111,111,130,0.8538461538461538
RandomForest,lucene@1,80,80,103,0.7766990291262136
RandomForest,lucene@2,3,3,3,1.0
RandomForest,wicket@0,27,27,39,0.6923076923076923
RandomForest,wicket@1,8,8,13,0.6153846153846154
SVM,activemq@0,50,50,55,0.9090909090909091
SVM,activemq@1,21,21,22,0.9545454545454546
SVM,activemq@2,39,39,39,1.0
SVM,activemq@3,31,31,32,0.96875
SVM,camel@0,31,31,40,0.775
SVM,camel@1,21,21,21,1.0
SVM,camel@2,11,11,11,1.0
SVM,derby@0,294,294,400,0.735
SVM,derby@1,131,131,189,0.6931216931216931
SVM,groovy@0,2,2,2,1.0
SVM,groovy@1,2,2,2,1.0
SVM,hbase@0,77,77,79,0.9746835443037974
SVM,hbase@1,110,110,117,0.9401709401709402
SVM,hive@0,59,59,60,0.9833333333333333
SVM,hive@1,16,16,16,1.0
SVM,jruby@0,29,29,29,1.0
SVM,jruby@1,30,30,35,0.8571428571428571
SVM,jruby@2,7,7,8,0.875
SVM,lucene@0,104,104,104,1.0
SVM,lucene@1,25,25,32,0.78125
SVM,lucene@2,1,1,1,1.0
SVM,wicket@0,8,8,8,1.0
SVM,wicket@1,0,0,0,0.0
XGBoost,activemq@0,70,70,70,1.0
XGBoost,activemq@1,54,54,54,1.0
XGBoost,activemq@2,90,90,90,1.0
XGBoost,activemq@3,90,90,90,1.0
XGBoost,camel@0,51,51,51,1.0
XGBoost,camel@1,34,34,34,1.0
XGBoost,camel@2,28,28,28,1.0
XGBoost,derby@0,360,360,431,0.8352668213457076
XGBoost,derby@1,217,217,217,1.0
XGBoost,groovy@0,8,8,8,1.0
XGBoost,groovy@1,25,25,25,1.0
XGBoost,hbase@0,101,101,101,1.0
XGBoost,hbase@1,167,167,167,1.0
XGBoost,hive@0,84,84,84,1.0
XGBoost,hive@1,68,68,68,1.0
XGBoost,jruby@0,47,47,47,1.0
XGBoost,jruby@1,48,48,48,1.0
XGBoost,jruby@2,23,23,23,1.0
XGBoost,lucene@0,138,138,138,1.0
XGBoost,lucene@1,115,115,115,1.0
XGBoost,lucene@2,5,5,5,1.0
XGBoost,wicket@0,40,40,40,1.0
XGBoost,wicket@1,17,17,17,1.0
LightGBM,activemq@0,76,76,76,1.0
LightGBM,activemq@1,54,54,54,1.0
LightGBM,activemq@2,88,88,88,1.0
LightGBM,activemq@3,87,87,87,1.0
LightGBM,camel@0,44,44,44,1.0
LightGBM,camel@1,37,37,37,1.0
LightGBM,camel@2,24,24,24,1.0
LightGBM,derby@0,333,333,439,0.7585421412300684
LightGBM,derby@1,205,205,205,1.0
LightGBM,groovy@0,12,12,12,1.0
LightGBM,groovy@1,25,25,25,1.0
LightGBM,hbase@0,103,103,103,1.0
LightGBM,hbase@1,156,156,156,1.0
LightGBM,hive@0,87,87,87,1.0
LightGBM,hive@1,61,61,61,1.0
LightGBM,jruby@0,46,46,46,1.0
LightGBM,jruby@1,48,48,48,1.0
LightGBM,jruby@2,23,23,23,1.0
LightGBM,lucene@0,134,134,134,1.0
LightGBM,lucene@1,110,110,110,1.0
LightGBM,lucene@2,4,4,4,1.0
LightGBM,wicket@0,44,44,44,1.0
LightGBM,wicket@1,14,14,14,1.0
CatBoost,activemq@0,68,68,68,1.0
CatBoost,activemq@1,45,45,45,1.0
CatBoost,activemq@2,83,83,83,1.0
CatBoost,activemq@3,87,87,87,1.0
CatBoost,camel@0,50,50,50,1.0
CatBoost,camel@1,39,39,39,1.0
CatBoost,camel@2,22,22,22,1.0
CatBoost,derby@0,311,311,410,0.7585365853658537
CatBoost,derby@1,206,206,206,1.0
CatBoost,groovy@0,8,8,8,1.0
CatBoost,groovy@1,22,22,22,1.0
CatBoost,hbase@0,104,104,104,1.0
CatBoost,hbase@1,158,158,158,1.0
CatBoost,hive@0,71,71,71,1.0
CatBoost,hive@1,55,55,55,1.0
CatBoost,jruby@0,44,44,44,1.0
CatBoost,jruby@1,44,44,44,1.0
CatBoost,jruby@2,21,21,21,1.0
CatBoost,lucene@0,106,106,106,1.0
CatBoost,lucene@1,91,91,91,1.0
CatBoost,lucene@2,6,6,6,1.0
CatBoost,wicket@0,40,40,40,1.0
CatBoost,wicket@1,14,14,14,1.0
