Model,Method,Explainer,Min,Max,Mean
RandomForest,random,DiCE,4.764461557418733,5.138797701878332,4.94557413690722
RandomForest,kdtree,DiCE,0.5291421644994794,0.8258471729259679,0.623056032516689
SVM,random,DiCE,4.379339907511229,4.783802968484731,4.5847681597072425
SVM,kdtree,DiCE,1.002091511061907,1.3137929983893561,1.122505616988863
XGBoost,random,DiCE,6.43644555791343,6.820459046777915,6.622690148025016
XGBoost,kdtree,DiCE,0.20986129309481777,0.5636625925337627,0.3069422756944149
LightGBM,random,DiCE,7.062917855953549,7.439489054733805,7.248574945515916
LightGBM,kdtree,DiCE,0.23950488699297265,0.5580525118445806,0.3356617215291706
CatBoost,random,DiCE,5.559535751103421,5.925250326320808,5.733469193893817
CatBoost,kdtree,DiCE,0.5809723939626554,0.9262294348874813,0.691335853371151
