Model,Other,Baseline,Test,N,p-value,Cliff’s δ,Magnitude,Median(other−CF)
XGB,LIME,CF,Wilcoxon (paired),1740,1.012e-124,0.331,medium,0.741
XGB,LIME-HPO,CF,Wilcoxon (paired),1746,2.548e-139,0.351,medium,0.861
XGB,TimeLIME,CF,Wilcoxon (paired),1155,5.532e-79,0.332,medium,0.549
XGB,SQAPlanner,CF,Wilcoxon (paired),830,1.241e-76,0.351,medium,0.540
RF,LIME,CF,Wilcoxon (paired),1744,7.971e-145,0.305,small,1.199
RF,LIME-HPO,CF,Wilcoxon (paired),1729,3.450e-128,0.273,small,1.066
RF,TimeLIME,CF,Wilcoxon (paired),1106,1.233e-56,0.249,small,0.471
RF,SQAPlanner,CF,Wilcoxon (paired),778,1.873e-74,0.320,small,0.455
SVM,LIME,CF,Wilcoxon (paired),1166,4.275e-149,0.470,medium,2.040
SVM,LIME-HPO,CF,Wilcoxon (paired),1161,5.277e-153,0.463,medium,2.036
SVM,TimeLIME,CF,Wilcoxon (paired),800,5.139e-101,0.386,medium,1.291
SVM,SQAPlanner,CF,Wilcoxon (paired),294,8.639e-35,0.403,medium,0.956
LGBM,LIME,CF,Wilcoxon (paired),1813,1.512e-102,0.297,small,0.696
LGBM,LIME-HPO,CF,Wilcoxon (paired),1806,1.142e-120,0.312,small,0.775
LGBM,TimeLIME,CF,Wilcoxon (paired),1184,1.014e-66,0.327,small,0.527
LGBM,SQAPlanner,CF,Wilcoxon (paired),931,8.665e-88,0.334,medium,0.531
CatB,LIME,CF,Wilcoxon (paired),1716,2.418e-131,0.330,small,1.015
CatB,LIME-HPO,CF,Wilcoxon (paired),1713,1.350e-142,0.339,medium,1.090
CatB,TimeLIME,CF,Wilcoxon (paired),1076,2.059e-73,0.335,medium,0.751
CatB,SQAPlanner,CF,Wilcoxon (paired),847,3.666e-91,0.330,small,0.630
