Model,Explainer,Mean
RandomForest,LIME,5.4493355999121755
RandomForest,LIME-HPO,5.391251092928144
RandomForest,TimeLIME,3.237034959185095
RandomForest,SQAPlanner,1.9848674609510577
RandomForest,CF,3.188507629527783
RandomForest,Mean,3.850199348500851
SVM,LIME,8.491916325891273
SVM,LIME-HPO,8.675560862933356
SVM,TimeLIME,5.46715241091458
SVM,SQAPlanner,3.191919551889246
SVM,CF,4.728447487021074
SVM,Mean,6.110999327729905
XGBoost,LIME,3.4554273094074572
XGBoost,LIME-HPO,3.7076940857477685
XGBoost,TimeLIME,2.6741828460169597
XGBoost,SQAPlanner,1.8628273777726447
XGBoost,CF,2.0304145586143854
XGBoost,Mean,2.746109235511843
CatBoost,LIME,5.132058319855381
CatBoost,LIME-HPO,5.192518915415086
CatBoost,TimeLIME,3.6060353562855174
CatBoost,SQAPlanner,2.1483764136792036
CatBoost,CF,2.8176051258385555
CatBoost,Mean,3.779318826214748
LightGBM,LIME,3.862367692339954
LightGBM,LIME-HPO,4.104546788780115
LightGBM,TimeLIME,2.9568187368653187
LightGBM,SQAPlanner,2.015269092145238
LightGBM,CF,2.3823983405223155
LightGBM,Mean,3.064280130130588
