Model,Explainer,N,mean,median,std
CatB,CF,1794,2.8176051258385555,1.537802805576563,4.10428874738051
CatB,LIME,1716,5.132058319855381,3.0015039821486362,6.895882107990369
CatB,LIME-HPO,1713,5.192518915415086,3.2068717643360385,6.759646616246118
CatB,SQAPlanner,847,2.1483764136792036,1.7711206230726957,2.046427713916745
CatB,TimeLIME,1076,3.6060353562855174,2.3445294929866916,4.368550314583499
LGBM,CF,1921,2.3823983405223155,1.2819165689185703,3.4826394888068744
LGBM,LIME,1813,3.862367692339954,2.3349363617349046,5.445448580419205
LGBM,LIME-HPO,1806,4.104546788780115,2.33521835580008,6.069335425161275
LGBM,SQAPlanner,931,2.015269092145238,1.5590696261128727,1.9420413012902462
LGBM,TimeLIME,1184,2.9568187368653187,1.8888728162521349,4.890072755475555
RF,CF,1820,3.188507629527783,1.6716212843154628,4.5759163633308475
RF,LIME,1748,5.449335599912175,3.1538743954099013,7.653049336414442
RF,LIME-HPO,1733,5.391251092928144,2.9932514212718333,7.8385976828635
RF,SQAPlanner,781,1.9848674609510577,1.6972981486407914,1.787629473281857
RF,TimeLIME,1110,3.237034959185095,1.9250677761073631,3.881868255582718
SVM,CF,1283,4.728447487021074,3.0920173981954324,5.2464586583525445
SVM,LIME,1167,8.491916325891273,7.034539016117294,7.490952569611474
SVM,LIME-HPO,1163,8.675560862933356,6.669280762854703,9.856180022501425
SVM,SQAPlanner,294,3.191919551889246,2.4008855897753056,2.8480951006419204
SVM,TimeLIME,800,5.46715241091458,4.549278971316906,4.26966626166804
XGB,CF,1859,2.0304145586143854,1.0750344906151512,2.88994025365326
XGB,LIME,1832,3.4554273094074572,2.0399159938801366,4.344940051424611
XGB,LIME-HPO,1836,3.7076940857477685,2.1467508958965746,4.891540284542704
XGB,SQAPlanner,882,1.862827377772645,1.4565710528271743,1.7140235940634045
XGB,TimeLIME,1231,2.6741828460169597,1.726969432001952,3.155500662372464
