Model,Explainer,Mean
SVM,LIME,8.491916325891273
SVM,LIME-HPO,8.675560862933356
SVM,TimeLIME,5.467152410914581
SVM,SQAPlanner_confidence,3.1919195518892463
SVM,Mean,6.456637287907113
RandomForest,LIME,5.449335599912175
RandomForest,LIME-HPO,5.391251092928144
RandomForest,TimeLIME,3.237034959185095
RandomForest,SQAPlanner_confidence,1.9848674609510577
RandomForest,Mean,4.015622278244118
XGBoost,LIME,3.4554273094074572
XGBoost,LIME-HPO,3.7076940857477685
XGBoost,TimeLIME,2.6741828460169597
XGBoost,SQAPlanner_confidence,1.862827377772645
XGBoost,Mean,2.9250329047362076
LightGBM,LIME,13.1500109872357
LightGBM,LIME-HPO,11.42036094870406
LightGBM,TimeLIME,4.275312681269249
LightGBM,Mean,9.615228205736337
CatBoost,LIME,13.27886110544192
CatBoost,LIME-HPO,12.118284022022301
CatBoost,TimeLIME,4.823866010556383
CatBoost,Mean,10.073670379340202
