Model,Method,Project,Flip,Computed,#TP,Flip%
RandomForest,kfeature,activemq@0,63,63,65,0.9692307692307692
RandomForest,kfeature,activemq@1,48,48,48,1.0
RandomForest,kfeature,activemq@2,79,79,82,0.9634146341463414
RandomForest,kfeature,activemq@3,74,74,79,0.9367088607594937
RandomForest,kfeature,camel@0,58,58,60,0.9666666666666667
RandomForest,kfeature,camel@1,35,35,36,0.9722222222222222
RandomForest,kfeature,camel@2,24,24,24,1.0
RandomForest,kfeature,derby@0,398,398,426,0.9342723004694836
RandomForest,kfeature,derby@1,0,0,195,0.0
RandomForest,kfeature,groovy@0,0,0,8,0.0
RandomForest,kfeature,groovy@1,0,0,25,0.0
RandomForest,kfeature,hbase@0,0,0,108,0.0
RandomForest,kfeature,hbase@1,0,0,153,0.0
RandomForest,kfeature,hive@0,0,0,78,0.0
RandomForest,kfeature,hive@1,0,0,34,0.0
RandomForest,kfeature,jruby@0,0,0,48,0.0
RandomForest,kfeature,jruby@1,0,0,45,0.0
RandomForest,kfeature,jruby@2,0,0,22,0.0
RandomForest,kfeature,lucene@0,0,0,130,0.0
RandomForest,kfeature,lucene@1,0,0,103,0.0
RandomForest,kfeature,lucene@2,0,0,3,0.0
RandomForest,kfeature,wicket@0,0,0,39,0.0
RandomForest,kfeature,wicket@1,0,0,13,0.0
SVM,kfeature,activemq@0,0,0,55,0.0
SVM,kfeature,activemq@1,0,0,22,0.0
SVM,kfeature,activemq@2,0,0,39,0.0
SVM,kfeature,activemq@3,0,0,32,0.0
SVM,kfeature,camel@0,0,0,40,0.0
SVM,kfeature,camel@1,0,0,21,0.0
SVM,kfeature,camel@2,3,3,11,0.2727272727272727
SVM,kfeature,derby@0,0,0,400,0.0
SVM,kfeature,derby@1,0,0,189,0.0
SVM,kfeature,groovy@0,0,0,2,0.0
SVM,kfeature,groovy@1,0,0,2,0.0
SVM,kfeature,hbase@0,0,0,79,0.0
SVM,kfeature,hbase@1,0,0,117,0.0
SVM,kfeature,hive@0,0,0,60,0.0
SVM,kfeature,hive@1,0,0,16,0.0
SVM,kfeature,jruby@0,0,0,29,0.0
SVM,kfeature,jruby@1,0,0,35,0.0
SVM,kfeature,jruby@2,0,0,8,0.0
SVM,kfeature,lucene@0,0,0,104,0.0
SVM,kfeature,lucene@1,0,0,32,0.0
SVM,kfeature,lucene@2,0,0,1,0.0
SVM,kfeature,wicket@0,0,0,8,0.0
SVM,kfeature,wicket@1,0,0,0,0.0
XGBoost,kfeature,activemq@0,70,70,70,1.0
XGBoost,kfeature,activemq@1,54,54,54,1.0
XGBoost,kfeature,activemq@2,90,90,90,1.0
XGBoost,kfeature,activemq@3,90,90,90,1.0
XGBoost,kfeature,camel@0,51,51,51,1.0
XGBoost,kfeature,camel@1,34,34,34,1.0
XGBoost,kfeature,camel@2,28,28,28,1.0
XGBoost,kfeature,derby@0,0,0,431,0.0
XGBoost,kfeature,derby@1,0,0,217,0.0
XGBoost,kfeature,groovy@0,0,0,8,0.0
XGBoost,kfeature,groovy@1,0,0,25,0.0
XGBoost,kfeature,hbase@0,0,0,101,0.0
XGBoost,kfeature,hbase@1,0,0,167,0.0
XGBoost,kfeature,hive@0,0,0,84,0.0
XGBoost,kfeature,hive@1,0,0,68,0.0
XGBoost,kfeature,jruby@0,0,0,47,0.0
XGBoost,kfeature,jruby@1,0,0,48,0.0
XGBoost,kfeature,jruby@2,0,0,23,0.0
XGBoost,kfeature,lucene@0,0,0,138,0.0
XGBoost,kfeature,lucene@1,0,0,115,0.0
XGBoost,kfeature,lucene@2,0,0,5,0.0
XGBoost,kfeature,wicket@0,0,0,40,0.0
XGBoost,kfeature,wicket@1,0,0,17,0.0
LightGBM,kfeature,activemq@0,76,76,76,1.0
LightGBM,kfeature,activemq@1,54,54,54,1.0
LightGBM,kfeature,activemq@2,88,88,88,1.0
LightGBM,kfeature,activemq@3,87,87,87,1.0
LightGBM,kfeature,camel@0,44,44,44,1.0
LightGBM,kfeature,camel@1,37,37,37,1.0
LightGBM,kfeature,camel@2,24,24,24,1.0
LightGBM,kfeature,derby@0,0,0,439,0.0
LightGBM,kfeature,derby@1,0,0,205,0.0
LightGBM,kfeature,groovy@0,0,0,12,0.0
LightGBM,kfeature,groovy@1,0,0,25,0.0
LightGBM,kfeature,hbase@0,0,0,103,0.0
LightGBM,kfeature,hbase@1,0,0,156,0.0
LightGBM,kfeature,hive@0,0,0,87,0.0
LightGBM,kfeature,hive@1,0,0,61,0.0
LightGBM,kfeature,jruby@0,0,0,46,0.0
LightGBM,kfeature,jruby@1,0,0,48,0.0
LightGBM,kfeature,jruby@2,0,0,23,0.0
LightGBM,kfeature,lucene@0,0,0,134,0.0
LightGBM,kfeature,lucene@1,0,0,110,0.0
LightGBM,kfeature,lucene@2,0,0,4,0.0
LightGBM,kfeature,wicket@0,0,0,44,0.0
LightGBM,kfeature,wicket@1,0,0,14,0.0
CatBoost,kfeature,activemq@0,68,68,68,1.0
CatBoost,kfeature,activemq@1,45,45,45,1.0
CatBoost,kfeature,activemq@2,83,83,83,1.0
CatBoost,kfeature,activemq@3,87,87,87,1.0
CatBoost,kfeature,camel@0,50,50,50,1.0
CatBoost,kfeature,camel@1,39,39,39,1.0
CatBoost,kfeature,camel@2,22,22,22,1.0
CatBoost,kfeature,derby@0,0,0,410,0.0
CatBoost,kfeature,derby@1,0,0,206,0.0
CatBoost,kfeature,groovy@0,0,0,8,0.0
CatBoost,kfeature,groovy@1,0,0,22,0.0
CatBoost,kfeature,hbase@0,0,0,104,0.0
CatBoost,kfeature,hbase@1,0,0,158,0.0
CatBoost,kfeature,hive@0,0,0,71,0.0
CatBoost,kfeature,hive@1,0,0,55,0.0
CatBoost,kfeature,jruby@0,0,0,44,0.0
CatBoost,kfeature,jruby@1,0,0,44,0.0
CatBoost,kfeature,jruby@2,0,0,21,0.0
CatBoost,kfeature,lucene@0,0,0,106,0.0
CatBoost,kfeature,lucene@1,0,0,91,0.0
CatBoost,kfeature,lucene@2,0,0,6,0.0
CatBoost,kfeature,wicket@0,0,0,40,0.0
CatBoost,kfeature,wicket@1,0,0,14,0.0
