Model,Method,Project,Flip,Computed,#TP,Flip%
RandomForest,kfeature,activemq@0,62,62,65,0.9538461538461539
RandomForest,kfeature,activemq@1,47,47,48,0.9791666666666666
RandomForest,kfeature,activemq@2,81,81,82,0.9878048780487805
RandomForest,kfeature,activemq@3,77,77,79,0.9746835443037974
RandomForest,kfeature,camel@0,56,56,60,0.9333333333333333
RandomForest,kfeature,camel@1,36,36,36,1.0
RandomForest,kfeature,camel@2,22,22,24,0.9166666666666666
RandomForest,kfeature,derby@0,380,380,426,0.892018779342723
RandomForest,kfeature,derby@1,177,177,195,0.9076923076923077
RandomForest,kfeature,groovy@0,8,8,8,1.0
RandomForest,kfeature,groovy@1,24,24,25,0.96
RandomForest,kfeature,hbase@0,104,104,108,0.9629629629629629
RandomForest,kfeature,hbase@1,150,150,153,0.9803921568627451
RandomForest,kfeature,hive@0,77,77,78,0.9871794871794872
RandomForest,kfeature,hive@1,34,34,34,1.0
RandomForest,kfeature,jruby@0,45,45,48,0.9375
RandomForest,kfeature,jruby@1,37,37,45,0.8222222222222222
RandomForest,kfeature,jruby@2,21,21,22,0.9545454545454546
RandomForest,kfeature,lucene@0,129,129,130,0.9923076923076923
RandomForest,kfeature,lucene@1,100,100,103,0.970873786407767
RandomForest,kfeature,lucene@2,3,3,3,1.0
RandomForest,kfeature,wicket@0,38,38,39,0.9743589743589743
RandomForest,kfeature,wicket@1,13,13,13,1.0
SVM,kfeature,activemq@0,55,55,55,1.0
SVM,kfeature,activemq@1,22,22,22,1.0
SVM,kfeature,activemq@2,39,39,39,1.0
SVM,kfeature,activemq@3,32,32,32,1.0
SVM,kfeature,camel@0,33,33,40,0.825
SVM,kfeature,camel@1,21,21,21,1.0
SVM,kfeature,camel@2,11,11,11,1.0
SVM,kfeature,derby@0,319,319,400,0.7975
SVM,kfeature,derby@1,142,142,189,0.7513227513227513
SVM,kfeature,groovy@0,2,2,2,1.0
SVM,kfeature,groovy@1,2,2,2,1.0
SVM,kfeature,hbase@0,79,79,79,1.0
SVM,kfeature,hbase@1,117,117,117,1.0
SVM,kfeature,hive@0,60,60,60,1.0
SVM,kfeature,hive@1,16,16,16,1.0
SVM,kfeature,jruby@0,29,29,29,1.0
SVM,kfeature,jruby@1,35,35,35,1.0
SVM,kfeature,jruby@2,8,8,8,1.0
SVM,kfeature,lucene@0,104,104,104,1.0
SVM,kfeature,lucene@1,28,28,32,0.875
SVM,kfeature,lucene@2,1,1,1,1.0
SVM,kfeature,wicket@0,8,8,8,1.0
SVM,kfeature,wicket@1,0,0,0,0.0
XGBoost,kfeature,activemq@0,70,70,70,1.0
