Model,Method,Project,Flip,Computed,#TP,Flip%
RandomForest,random,activemq@0,57,57,65,0.8769230769230769
RandomForest,random,activemq@1,47,47,48,0.9791666666666666
RandomForest,random,activemq@2,67,67,82,0.8170731707317073
RandomForest,random,activemq@3,75,75,79,0.9493670886075949
RandomForest,random,camel@0,55,55,60,0.9166666666666666
RandomForest,random,camel@1,35,35,36,0.9722222222222222
RandomForest,random,camel@2,24,24,24,1.0
RandomForest,random,derby@0,355,355,426,0.8333333333333334
RandomForest,random,derby@1,167,167,195,0.8564102564102564
RandomForest,random,groovy@0,7,7,8,0.875
RandomForest,random,groovy@1,19,19,25,0.76
RandomForest,random,hbase@0,99,99,108,0.9166666666666666
RandomForest,random,hbase@1,145,145,153,0.9477124183006536
RandomForest,random,hive@0,75,75,78,0.9615384615384616
RandomForest,random,hive@1,32,32,34,0.9411764705882353
RandomForest,random,jruby@0,42,42,48,0.875
RandomForest,random,jruby@1,39,39,45,0.8666666666666667
RandomForest,random,jruby@2,19,19,22,0.8636363636363636
RandomForest,random,lucene@0,115,115,130,0.8846153846153846
RandomForest,random,lucene@1,95,95,103,0.9223300970873787
RandomForest,random,lucene@2,3,3,3,1.0
RandomForest,random,wicket@0,37,37,39,0.9487179487179487
RandomForest,random,wicket@1,13,13,13,1.0
SVM,random,activemq@0,51,51,55,0.9272727272727272
SVM,random,activemq@1,22,22,22,1.0
SVM,random,activemq@2,36,36,39,0.9230769230769231
SVM,random,activemq@3,32,32,32,1.0
SVM,random,camel@0,34,34,40,0.85
SVM,random,camel@1,21,21,21,1.0
SVM,random,camel@2,11,11,11,1.0
SVM,random,derby@0,341,341,400,0.8525
SVM,random,derby@1,154,154,189,0.8148148148148148
SVM,random,groovy@0,2,2,2,1.0
SVM,random,groovy@1,2,2,2,1.0
SVM,random,hbase@0,70,70,79,0.8860759493670886
SVM,random,hbase@1,108,108,117,0.9230769230769231
SVM,random,hive@0,58,58,60,0.9666666666666667
SVM,random,hive@1,15,15,16,0.9375
SVM,random,jruby@0,21,21,29,0.7241379310344828
SVM,random,jruby@1,34,34,35,0.9714285714285714
SVM,random,jruby@2,8,8,8,1.0
SVM,random,lucene@0,91,91,104,0.875
SVM,random,lucene@1,27,27,32,0.84375
SVM,random,lucene@2,1,1,1,1.0
SVM,random,wicket@0,8,8,8,1.0
SVM,random,wicket@1,0,0,0,0.0
XGBoost,random,activemq@0,62,62,70,0.8857142857142857
XGBoost,random,activemq@1,54,54,54,1.0
XGBoost,random,activemq@2,78,78,90,0.8666666666666667
XGBoost,random,activemq@3,85,85,90,0.9444444444444444
XGBoost,random,camel@0,48,48,51,0.9411764705882353
XGBoost,random,camel@1,34,34,34,1.0
XGBoost,random,camel@2,26,26,28,0.9285714285714286
XGBoost,random,derby@0,417,417,431,0.9675174013921114
XGBoost,random,derby@1,206,206,217,0.9493087557603687
XGBoost,random,groovy@0,8,8,8,1.0
XGBoost,random,groovy@1,22,22,25,0.88
XGBoost,random,hbase@0,98,98,101,0.9702970297029703
XGBoost,random,hbase@1,164,164,167,0.9820359281437125
XGBoost,random,hive@0,82,82,84,0.9761904761904762
XGBoost,random,hive@1,49,49,68,0.7205882352941176
XGBoost,random,jruby@0,43,43,47,0.9148936170212766
XGBoost,random,jruby@1,48,48,48,1.0
XGBoost,random,jruby@2,22,22,23,0.9565217391304348
XGBoost,random,lucene@0,125,125,138,0.9057971014492754
XGBoost,random,lucene@1,112,112,115,0.9739130434782609
XGBoost,random,lucene@2,4,4,5,0.8
XGBoost,random,wicket@0,40,40,40,1.0
XGBoost,random,wicket@1,16,16,17,0.9411764705882353
LightGBM,random,activemq@0,63,63,76,0.8289473684210527
LightGBM,random,activemq@1,54,54,54,1.0
LightGBM,random,activemq@2,76,76,88,0.8636363636363636
LightGBM,random,activemq@3,83,83,87,0.9540229885057471
LightGBM,random,camel@0,42,42,44,0.9545454545454546
LightGBM,random,camel@1,37,37,37,1.0
LightGBM,random,camel@2,24,24,24,1.0
LightGBM,random,derby@0,396,396,439,0.9020501138952164
LightGBM,random,derby@1,197,197,205,0.9609756097560975
LightGBM,random,groovy@0,12,12,12,1.0
LightGBM,random,groovy@1,22,22,25,0.88
LightGBM,random,hbase@0,100,100,103,0.970873786407767
LightGBM,random,hbase@1,154,154,156,0.9871794871794872
LightGBM,random,hive@0,84,84,87,0.9655172413793104
LightGBM,random,hive@1,46,46,61,0.7540983606557377
LightGBM,random,jruby@0,42,42,46,0.9130434782608695
LightGBM,random,jruby@1,48,48,48,1.0
LightGBM,random,jruby@2,21,21,23,0.9130434782608695
LightGBM,random,lucene@0,124,124,134,0.9253731343283582
LightGBM,random,lucene@1,108,108,110,0.9818181818181818
LightGBM,random,lucene@2,3,3,4,0.75
LightGBM,random,wicket@0,43,43,44,0.9772727272727273
LightGBM,random,wicket@1,12,12,14,0.8571428571428571
CatBoost,random,activemq@0,54,54,68,0.7941176470588235
CatBoost,random,activemq@1,45,45,45,1.0
CatBoost,random,activemq@2,69,69,83,0.8313253012048193
CatBoost,random,activemq@3,76,76,87,0.8735632183908046
CatBoost,random,camel@0,47,47,50,0.94
CatBoost,random,camel@1,39,39,39,1.0
CatBoost,random,camel@2,22,22,22,1.0
CatBoost,random,derby@0,390,390,410,0.9512195121951219
CatBoost,random,derby@1,189,189,206,0.9174757281553398
CatBoost,random,groovy@0,8,8,8,1.0
CatBoost,random,groovy@1,18,18,22,0.8181818181818182
CatBoost,random,hbase@0,95,95,104,0.9134615384615384
CatBoost,random,hbase@1,149,149,158,0.9430379746835443
CatBoost,random,hive@0,68,68,71,0.9577464788732394
CatBoost,random,hive@1,45,45,55,0.8181818181818182
CatBoost,random,jruby@0,40,40,44,0.9090909090909091
CatBoost,random,jruby@1,44,44,44,1.0
CatBoost,random,jruby@2,19,19,21,0.9047619047619048
CatBoost,random,lucene@0,94,94,106,0.8867924528301887
CatBoost,random,lucene@1,88,88,91,0.967032967032967
CatBoost,random,lucene@2,4,4,6,0.6666666666666666
CatBoost,random,wicket@0,39,39,40,0.975
CatBoost,random,wicket@1,13,13,14,0.9285714285714286
