Model,Method,Explainer,Min,Max,Mean
RandomForest,random,DiCE,4.6803453693578785,5.0445060834718385,4.856105987443365
RandomForest,kdtree,DiCE,0.38115398485706364,0.7343018622162873,0.4741279122723132
SVM,random,DiCE,4.147108197891395,4.529932168713962,4.341267839965125
SVM,kdtree,DiCE,0.7273590899248259,1.0353741079593235,0.8478886894391424
XGBoost,random,DiCE,5.374239967117814,5.74622760463657,5.554081018283224
XGBoost,kdtree,DiCE,0.18079053108858018,0.5750242678984846,0.2729854767171727
LightGBM,random,DiCE,6.694619900578767,7.059635995237032,6.874159430194943
LightGBM,kdtree,DiCE,0.1406213669218203,0.542268402644788,0.22590470703979004
CatBoost,random,DiCE,5.440476691027133,5.792542307714756,5.606983704428745
CatBoost,kdtree,DiCE,0.4030035103163791,0.7688172677952215,0.5071222149173665
