Model,Method,Explainer,Min(best_mean),Max(best_mean),Mean(best_mean)
RandomForest,random,DiCE,0.018398766979438368,441.42595385368776,2.5224265285142935
RandomForest,kdtree,DiCE,0.030915197684148268,41.24689603524781,0.8454145114276149
SVM,random,DiCE,0.06458675424192664,23.944461186357614,1.061978901413403
SVM,kdtree,DiCE,0.030915197684148268,11.651851098106166,0.7277261493165588
XGBoost,random,DiCE,0.018427976580833266,186.53914344593827,1.3302962606444018
XGBoost,kdtree,DiCE,0.00923361924590754,1471099055720955.8,5198229878873.37
LightGBM,random,DiCE,0.019654575210130767,186.41531850210626,1.6540114392017853
LightGBM,kdtree,DiCE,0.030915197684148268,1471099055720955.8,5636394849506.346
CatBoost,random,DiCE,0.006271440020530845,322.73431714057153,2.4009096177653606
CatBoost,kdtree,DiCE,0.030915197684148268,41.24689603524781,0.7786814384715383
