Model,Other,Baseline,Test,N,p_value,cliffs_delta,magnitude,median_other_minus_CF
XGB,LIME,CF,Wilcoxon (paired),1740,1.0117324188124274e-124,0.3309453032104637,medium,0.7412655373142567
XGB,LIME-HPO,CF,Wilcoxon (paired),1746,2.547679593709937e-139,0.3507565648335124,medium,0.8607636939449131
XGB,TimeLIME,CF,Wilcoxon (paired),1155,5.531826458675555e-79,0.3315432619328723,medium,0.5490043985984814
XGB,SQAPlanner,CF,Wilcoxon (paired),830,1.2411177088727546e-76,0.35132675279430975,medium,0.5396008300455059
RF,LIME,CF,Wilcoxon (paired),1744,7.971189144770309e-145,0.30547164327497683,small,1.1990639566165913
RF,LIME-HPO,CF,Wilcoxon (paired),1729,3.4499278080423747e-128,0.2731878635504096,small,1.065620233703395
RF,TimeLIME,CF,Wilcoxon (paired),1106,1.2332752759076913e-56,0.24856201092838995,small,0.47090693803720896
RF,SQAPlanner,CF,Wilcoxon (paired),778,1.873069139503764e-74,0.3196251676898778,small,0.45480980236565094
SVM,LIME,CF,Wilcoxon (paired),1166,4.275202264608272e-149,0.46970628646411033,medium,2.039572760500656
SVM,LIME-HPO,CF,Wilcoxon (paired),1161,5.27736654264514e-153,0.46311987126842,medium,2.036225929882354
SVM,TimeLIME,CF,Wilcoxon (paired),800,5.138613713765754e-101,0.3862625,medium,1.2913382268638154
SVM,SQAPlanner,CF,Wilcoxon (paired),294,8.639333213488546e-35,0.4028876856865195,medium,0.956059524438259
LGBM,LIME,CF,Wilcoxon (paired),1813,1.5121979532389286e-102,0.2969428674258869,small,0.6964637570718242
LGBM,LIME-HPO,CF,Wilcoxon (paired),1806,1.1419594112458209e-120,0.31150594364300616,small,0.7746952853410005
LGBM,TimeLIME,CF,Wilcoxon (paired),1184,1.0137090139655938e-66,0.3266383993791088,small,0.5267426913105246
LGBM,SQAPlanner,CF,Wilcoxon (paired),931,8.665105706882741e-88,0.33375636421112626,medium,0.5313847411590096
CatB,LIME,CF,Wilcoxon (paired),1716,2.4182363101861775e-131,0.32958009356610757,small,1.0153317927301635
CatB,LIME-HPO,CF,Wilcoxon (paired),1713,1.349949963327241e-142,0.33948252588546296,medium,1.0901137472972258
CatB,TimeLIME,CF,Wilcoxon (paired),1076,2.0594503372027143e-73,0.33458976520501377,medium,0.7507280001193609
CatB,SQAPlanner,CF,Wilcoxon (paired),847,3.6657196645684225e-91,0.32967665585461015,small,0.6295364338764439
